"DATES" "FL894104005.Q" "FL384104005.Q" "FL154104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q" "FL894104005.Q" "FL384004005.Q" "FL154004005.Q" "FL104004005.Q" "FL114004005.Q" "FL214004005.Q" "FL314004005.Q" "FL264004005.Q" "FL794004005.Q" "FL714004005.Q" "FL764004005.Q" "FL724004005.Q" "FL754004005.Q" "FL734004005.Q" "FL744004005.Q" "FL444004005.Q" "FL474004005.Q" "FL514004005.Q" "FL544004005.Q" "FL574004005.Q" "FL224004005.Q" "FL344004005.Q" "FL634004005.Q" "FL654004005.Q" "FL554004005.Q" "FL564004005.Q" "FL404004005.Q" "FL413065005.Q" "FL674004005.Q" "FL614004005.Q" "FL644004005.Q" "FL664004005.Q" "FL504004005.Q"
"196304" 954452 877027 281156 173742 52632 26406 89243 253848 30795 46630 3152 2568 584 0 5028 0 0 11524 525 0 26401 0 0 0 954452 252486 159802 33877 3553 23347 31907 15893 686073 33684 252759 249922 2371 0 466 144546 6313 18746 123282 24829 25556 0 0 2823 1823 0 15288 525 0 33672 0 1921 306
"196401" 963659 885612 285171 175095 53563 27417 90376 253990 31549 46498 3553 2926 627 0 4336 0 0 10953 551 0 27105 0 0 0 963659 255618 162153 34174 3266 23420 32605 15514 692527 33223 252101 249062 2559 0 480 148432 6375 18937 125010 25413 26376 0 0 2894 1957 0 14674 551 0 34815 0 1479 290
"196402" 985025 902452 294495 179194 55004 28909 92222 252628 32462 50111 3713 3077 636 0 4998 0 0 11689 581 0 29130 0 0 0 985025 257956 163627 34007 3404 23678 33240 15619 711450 34517 258841 255810 2542 0 489 152208 6728 19124 126590 25933 27209 0 0 3092 2003 0 15619 581 0 36414 0 2257 334
"196403" 1002111 918197 301450 181254 56694 29318 94132 255348 33199 50715 3884 3243 641 0 5081 0 0 11929 602 0 29219 0 0 0 1002111 259846 164853 33282 3437 24237 34037 16292 725973 35011 264247 260981 2768 0 498 156731 7005 19317 128312 26358 27818 0 0 3175 2034 0 15609 602 0 36928 0 2564 262
"196404" 1028822 940874 310302 187535 58504 29009 95624 259900 34997 52951 4192 3508 684 0 5610 0 0 12068 624 0 30457 0 0 0 1028822 263830 166179 34123 3779 25012 34737 16908 748084 36595 276102 272996 2601 0 505 160161 7197 19532 130255 27176 28325 0 0 3197 2051 0 16007 624 0 37907 0 2674 281
"196501" 1041896 952184 313866 191659 59563 30138 97184 259774 36416 53296 4251 3579 672 0 4953 0 0 12083 676 0 31333 0 0 0 1041896 266715 168815 33580 3495 25390 35435 16492 758689 37199 277153 273643 2986 0 524 163936 7309 19754 132304 27857 29275 0 0 3545 2131 0 16065 676 0 38995 0 2104 386
"196502" 1063594 969125 323235 197157 61340 31601 99513 256280 36633 57836 4879 4201 678 0 5901 0 0 13234 730 0 33092 0 0 0 1063594 267697 169363 32660 3662 25894 36118 16197 779700 38714 286073 282725 2801 0 547 167072 7770 19966 133910 28372 30078 0 0 3449 2112 0 17253 730 0 40665 0 3132 404
"196503" 1078514 982544 330159 200334 63013 32129 101624 255285 36732 59238 4864 4195 669 0 6185 0 0 13854 797 0 33538 0 0 0 1078514 269712 170535 32228 3670 26655 36624 16568 792234 39287 291223 287761 2890 0 572 170649 8027 20219 135888 28632 30663 0 0 3822 2084 0 17634 797 0 41151 0 1721 437
"196504" 1107340 1008014 338731 207560 64710 32311 103174 261528 37454 61872 5016 4331 685 0 6456 0 0 14182 869 0 35349 0 0 0 1107340 273106 170030 33916 4040 27504 37616 17385 816849 40594 305066 301645 2825 0 596 173532 8241 20561 137843 29081 31261 0 0 3861 2061 0 18265 869 0 42669 0 2449 496
"196601" 1123517 1021715 341823 212691 66859 33620 104665 262057 38074 63728 5055 4371 684 0 6079 0 0 15048 949 0 36597 0 0 0 1123517 281796 177474 33962 3701 27832 38827 16822 824899 40246 303050 299503 2920 0 627 177360 8341 20831 140513 30192 32293 0 0 4308 2113 0 19182 949 0 43423 0 1605 493
