"DATES" "FL764090005.Q" "FL723025000.Q" "FL763013005.Q" "FL743020003.Q" "FL764005005.Q" "FL763069175.Q" "FL763061105.Q" "FL763061705.Q" "FL763062005.Q" "FL763063005.Q" "FL763068005.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763064105.Q" "FL723064203.Q" "FL763069705.Q" "FL763090005.Q" "FL764190005.Q" "FL764110005.Q" "FL714010005.Q" "FL904010005.Q" "FL764116005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL763131005.Q" "FL763135005.Q" "FL762150005.Q" "FL764104005.Q" "FL763169175.Q" "FL763163005.Q" "FL723169305.Q" "FL723178003.Q" "FL763190005.Q" "FL764004005.Q" "FL723066303.Q"
"196403" 298498 4780 17121 150 270251 2354 61341 4314 32827 1417 77088 42948 38783 9160 19 0 3175 3021 276835 6542 1660 1303 3579 137688 9200 3977 124511 99924 23209 75 3884 3207 677 0 784 4729 264247 0
"196404" 311330 4532 17850 151 282172 2505 63575 5206 33675 1386 82629 43976 39765 9435 20 0 3385 3240 289171 7133 2762 654 3717 144621 6510 4189 133922 102510 25077 540 4192 3419 773 0 834 4264 276102 0
"196501" 311669 4840 17277 151 282450 2084 59614 5343 35034 1438 84834 44799 40682 8598 24 0 3325 3626 289439 6584 1223 974 4387 137950 8350 4128 125472 106950 27097 773 4251 3358 893 0 673 5161 277153 0
"196502" 323446 4978 18229 148 292589 2253 57419 5218 36686 1495 89966 46548 43133 9844 27 0 3355 4147 300551 7832 1995 1277 4560 142756 11796 4034 126926 109897 28507 850 4879 3389 1490 0 592 5238 286073 0
"196503" 325774 5370 17797 146 295626 2328 56553 5376 38051 1381 91533 48353 44334 7689 28 0 3314 3521 302838 7077 1528 1145 4404 140093 7370 4227 128496 113218 29818 1136 4864 3347 1517 0 683 5949 291223 0
"196504" 341636 4851 18447 144 310981 1970 60197 5794 38822 1267 98737 49675 45212 9277 30 0 3392 3821 318213 7249 2344 1075 3830 149995 5525 4382 140088 116712 30983 1749 5016 3426 1590 0 702 5807 305066 0
"196601" 338027 5470 17941 149 307418 2031 56033 5926 39773 1181 98197 50650 45871 7723 33 0 3388 3661 314607 6596 1967 593 4036 142174 5120 4266 132788 119939 32342 943 5055 3422 1633 0 947 6611 303050 0
"196602" 352622 5234 18564 158 320063 1700 54062 6553 40783 1169 106723 52306 47382 9349 36 0 3420 5183 328523 7868 2244 1467 4157 149019 10997 4134 133888 124268 32963 1399 5148 3454 1694 0 549 7309 314098 0
"196603" 351577 5830 18070 168 319531 1791 54251 5726 41636 1247 105617 53606 47919 7700 38 0 3370 4608 327391 10154 2626 1964 5564 142472 6000 4358 132114 125974 33409 1592 5098 3404 1694 0 550 8142 315163 0
"196604" 362978 5450 19794 176 329422 1943 56785 6093 41221 1323 109605 54355 48182 9874 41 0 3603 4533 338361 11277 2683 1901 6693 152061 4992 4558 142511 127755 33302 1674 5333 3639 1694 0 671 6288 323110 0
"196701" 363498 5970 18619 187 331430 2638 58437 6651 43634 1626 106884 54481 48030 9005 44 0 3704 3588 338830 7848 1289 558 6001 145283 5520 4449 135314 133856 36445 1364 5638 3741 1897 0 823 7573 326085 0
"196702" 374011 4854 19505 200 340897 2818 54823 7607 47136 1951 112240 55656 49622 8998 46 0 4131 4424 348711 8487 1398 1434 5655 148330 5152 4381 138797 139442 37013 1241 6092 4172 1920 0 508 7598 335984 0
"196703" 385201 6252 20039 214 350605 3091 60775 7949 48354 2121 109952 57382 50851 10081 49 0 4146 3945 360066 10254 1406 2003 6845 152597 7022 4628 140947 143764 37517 788 6142 4187 1955 0 583 8421 344621 0
"196704" 403266 5931 21092 226 366907 2911 63253 9130 50342 2262 117038 58894 51691 11334 52 0 4317 4793 376980 11817 2624 1934 7259 164460 5234 4894 154332 145827 39204 1659 6323 4360 1963 0 590 7100 359838 0
"196801" 401173 6250 21232 231 363692 3221 62000 9430 51666 2311 113528 59969 51962 9550 55 0 4336 5432 374829 10998 2734 164 8100 154724 5320 4852 144552 150560 40094 1460 6342 4379 1963 0 579 10072 358423 0
"196802" 411097 5190 21462 237 374314 2923 59425 9325 52954 2346 121086 61792 54327 10077 59 0 4286 5608 383914 13589 2230 1920 9439 159767 4970 4837 149960 153539 38407 3152 6468 4329 2139 0 490 8502 368464 0
"196803" 426370 6660 22413 243 387327 3348 63386 9726 55748 2376 120302 63579 56550 12250 62 0 4327 5400 399127 15610 3335 1751 10524 163900 9040 5146 149714 157433 42058 3800 6592 4370 2222 0 582 9152 379342 0
"196804" 447874 7195 21859 249 407028 2924 65306 10426 58893 2455 130366 65476 58464 12654 64 0 4428 7115 419828 15605 3670 2531 9404 177997 5010 5374 167613 159756 45929 2586 6693 4472 2221 0 539 10723 398738 0
"196901" 441679 6490 22066 257 399626 3278 59358 10103 59090 2471 129501 66914 59197 9650 64 0 4464 8776 413386 17616 3031 1386 13199 165182 5510 5391 154281 163126 41578 5486 6806 4709 2097 0 674 12919 394376 0
"196902" 455425 6258 20808 266 412210 3460 54899 10143 60412 2037 139500 68865 61695 11135 64 0 4880 11003 426107 23586 2521 3965 17100 172249 5639 5368 161242 163847 38957 6519 8183 6174 2009 0 541 12226 405891 0
"196903" 456207 6950 22508 275 409732 3596 54070 9329 60055 1967 138726 70168 62703 9050 68 0 5232 11510 426878 19700 3839 2345 13516 169481 7610 5590 156281 164757 32472 9395 9894 7879 2015 0 649 20530 405846 0
"196904" 471382 7320 22085 284 424515 3524 55598 10086 59536 1924 148318 70517 63395 11545 72 0 5451 11727 441935 22877 3623 2410 16844 182762 5054 5798 171910 166366 30874 8707 11837 9800 2037 0 617 17895 418349 0
"197001" 465935 6940 22568 305 416398 3608 52125 10434 60481 1850 144686 70962 62526 9650 76 0 5352 14372 435835 21274 3791 1941 15542 170152 6140 5819 158193 167915 31878 9169 14881 11883 2998 0 1027 19540 412024 0
"197002" 480451 7090 21991 334 428864 3859 52224 10489 63231 2097 152735 71399 64022 8727 81 0 5973 16199 448193 20842 2892 3089 14861 177276 8076 5836 163364 172409 35447 6315 16707 13636 3071 0 769 18429 426029 0
"197003" 494382 7260 23938 364 440474 4569 56506 11433 66004 2379 151413 72501 65434 10150 85 0 5848 16498 463539 19936 3166 3232 13538 177860 8470 6109 163281 174777 49201 5095 13688 10524 3164 0 942 22041 436087 0
"197004" 517196 7047 24150 387 461353 4937 62516 13927 70204 2982 154812 73275 65625 12986 89 0 7058 17201 486275 18108 4596 3056 10456 192413 7938 6350 178125 180632 54396 4650 12713 9478 3235 0 957 22407 455336 0
"197101" 521217 7230 25932 408 461545 5358 62385 14701 74525 3057 150227 74424 65927 10850 91 0 7173 18929 491472 14438 2941 4192 7305 179380 4520 6040 168820 192117 59314 5776 13606 8937 4669 0 1185 25656 457777 0
"197102" 537334 7634 24550 443 478415 5067 60863 16304 77703 3389 158907 76639 68903 10546 94 0 7645 18647 506268 13193 2995 4222 5976 191663 8412 5797 177454 199178 58942 5723 14210 9454 4756 0 750 22610 475420 0
"197103" 550380 8100 25424 507 486086 5236 59418 16436 79794 3665 158850 80008 71740 10850 89 0 8148 22115 521075 11867 2909 2534 6424 189075 8920 5799 174356 202731 63183 8856 15046 10129 4917 0 862 29455 483295 0
"197104" 578230 7541 27788 514 512462 5449 65631 17936 82811 3922 166027 82515 74325 13761 85 0 7889 22036 548531 12235 4382 2007 5846 205896 10169 6038 189689 209303 67116 8666 15169 9941 5228 0 930 29217 506505 0
"197201" 586268 8050 28471 561 516773 4887 63365 18825 85352 4361 165772 85614 75646 12850 101 0 7985 24428 556213 9282 3703 366 5213 195519 8740 6426 180353 218691 68085 12774 16394 10237 6157 0 885 34583 511807 0
"197202" 604520 6799 27482 623 536315 4709 60995 19773 87041 4791 174329 90113 80008 14448 108 0 7069 26232 573200 10875 3429 1828 5618 199240 9083 6905 183252 222899 73916 13113 15942 9111 6831 0 600 36615 528828 0
"197203" 624769 8840 26692 676 550949 4569 61276 20076 89009 5012 176908 95048 83393 15550 108 0 6602 31010 593264 9570 4584 -741 5727 203275 9470 7574 186231 227815 79740 14307 16534 9036 7498 0 730 41293 541893 0
"197204" 663087 8648 25647 683 587511 5468 68068 21980 89960 5235 191806 99314 87001 18571 108 0 6898 33700 629281 10307 5955 -2435 6787 225942 10870 7901 207171 233957 84991 10836 17883 9604 8279 0 730 44636 575730 0
"197301" 679284 8889 26873 688 597815 4375 61998 22112 90620 5096 206493 103548 89240 14210 123 0 6859 38160 642765 7192 4149 -764 3807 210480 11382 7468 191630 240956 97605 18307 18903 10384 8519 0 1005 48317 590341 0
"197302" 704827 7666 24818 694 623750 4234 58642 24468 91740 5042 222436 109114 94107 13864 103 0 7237 40662 664730 6514 3818 -2241 4937 216646 10423 8410 197813 245058 104501 21842 20224 11592 8632 0 715 49230 617020 0
"197303" 736276 9671 30962 832 640019 4699 55934 27119 92612 5273 229588 114788 97529 12356 121 0 8170 46622 691723 10959 7558 522 2879 211371 8203 8520 194648 240784 123690 27441 22280 13483 8797 0 815 54384 635712 0
"197304" 760825 10688 27060 969 668777 4966 59196 29558 95656 5575 239830 119068 99620 15151 157 0 8892 44439 716720 4131 4357 -1823 1597 239015 9862 10865 218288 246767 122962 27090 23075 13862 9213 0 815 52866 662361 0
"197401" 772761 9709 28410 850 676071 5288 58276 30411 97783 5670 245562 121882 99294 11737 168 0 10166 47555 727262 9365 4255 -1433 6543 218431 8607 11104 198720 255930 128279 32223 25843 16313 9530 0 1075 56117 674332 0
