"DATES" "FL104090005.Q" "FL103091003.Q" "FL103020003.Q" "FL103030003.Q" "FL103034003.Q" "FL102050003.Q" "FL104004005.Q" "FL103069100.Q" "FL103061103.Q" "FL103061703.Q" "FL103062003.Q" "FL103065003.Q" "FL103066005.Q" "FL103064203.Q" "FL103070005.Q" "FL103090005.Q" "FL103092005.Q" "FL103076003.Q" "FL103092403.Q" "FL103094105.Q" "FL103093005.Q" "FL104190005.Q" "FL104104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL103168005.Q" "FL103169005.Q" "FL103165005.Q" "FL103170005.Q" "FL103178000.Q" "FL103190005.Q" "FL103192005.Q" "FL573074005.Q" "FL103193005.Q" "FL103075005.Q" "FL103164103.Q" "FL104120005.Q" "FL104140005.Q" "FL104150005.Q" "FL104001005.Q"
"196101" 178778 189 26462 3272 0 0 28104 562 15225 936 2780 26 8575 0 82604 38147 31393 4796 75 0 1883 226360 145070 623 0 76577 37427 8881 21561 60270 10921 10099 5244 657 4198 22334 410353 98138 46932 118123 49426
"196102" 184740 213 27769 3863 0 0 28373 613 14636 1233 2782 28 9081 0 85285 39237 32389 4905 76 0 1867 229871 147399 726 0 78530 37130 8988 22025 61734 10584 10154 5347 674 4133 23551 411555 100555 46844 119162 51109
"196103" 188471 238 27903 4606 0 0 27208 245 13288 1248 3191 30 9206 0 88755 39761 32846 5013 77 0 1825 233392 148007 1017 0 79237 36904 8640 22208 63376 11557 10452 5400 697 4355 25379 423621 101445 46562 121495 50719
"196104" 193123 236 31673 4100 0 0 29154 1089 14096 1248 2395 33 10293 0 87577 40383 33387 5134 80 0 1782 242111 152668 1094 0 80611 38349 9392 23221 65676 13274 10493 5286 740 4467 21901 437674 103832 48836 127786 54837
"196201" 192911 234 28211 5395 0 0 28678 562 14217 1238 3376 38 9247 31 88610 41752 33854 5268 83 0 2547 241347 153438 1131 0 81437 37827 9469 23574 64315 12916 10678 5330 749 4598 24295 427931 105011 48427 125658 53264
"196202" 196108 296 29469 5554 0 0 28336 907 13061 1184 3069 44 10071 82 89888 42483 34525 5416 87 0 2455 245815 156844 1092 0 82981 39181 9619 23972 65041 13001 10929 5418 686 4825 24847 326582 106953 49892 127934 53622
"196203" 200530 788 30249 4903 0 0 27287 1079 11645 1308 3056 50 10149 134 93774 43395 35133 5561 88 0 2613 250954 158338 1363 0 83558 39719 9221 24477 67540 13996 11080 5473 716 4890 26234 345363 108035 50303 131839 53162
"196204" 205087 790 34564 5000 0 0 28799 1304 12307 1275 2697 54 11162 168 92000 43766 35793 5684 90 0 2199 257379 163052 1198 0 84643 41862 9806 25544 68611 14355 11361 5673 768 4920 23389 424314 110187 52866 135832 58105
"196301" 205448 828 27771 5344 0 0 32021 1092 16367 930 3366 56 10210 187 93755 45542 36685 5792 90 0 2975 257569 164290 1214 0 85579 41391 10198 25907 68025 13596 11659 5733 803 5122 25730 447981 111486 52803 134424 55885
"196302" 210406 1065 29185 5160 0 0 32316 1008 15252 1314 3766 56 10920 193 95454 47033 37577 5894 89 0 3473 262384 167119 987 0 86695 42428 10480 26528 69619 13743 11903 5868 834 5202 25835 469026 113223 53896 137258 56943
