"DATES" "FL754090005.Q" "FL753013003.Q" "FL754005005.Q" "FL753069603.Q" "FL753061103.Q" "FL753061703.Q" "FL753062003.Q" "FL753063003.Q" "FL753068005.Q" "FL753065005.Q" "FL753067000.Q" "FL753064103.Q" "FL293169750.Q" "FL753093005.Q" "FL754190005.Q" "FL754110005.Q" "FL754116005.Q" "FL754112005.Q" "FL753127005.Q" "FL753131005.Q" "FL753135005.Q" "FL752150000.Q" "FL753169600.Q" "FL753190005.Q" "FL753192003.Q" "FL753194503.Q" "FL753193005.Q" "FL754004005.Q"
"197602" 29995 0 26282 2015 861 371 229 274 21519 162 617 234 3957 -244 30607 9770 6490 3280 6800 819 6811 0 3996 2411 910 0 1501 29388
"197603" 30452 0 26580 2386 783 302 235 262 21673 128 589 222 3920 -48 31121 9699 8849 850 6993 855 7147 0 3959 2468 942 0 1526 29689
"197604" 33754 0 29473 2542 1162 325 249 262 23761 89 869 214 4505 -224 34486 10616 8129 2487 8605 874 7392 0 4550 2449 999 0 1450 32895
"197701" 32265 0 28183 2720 977 258 169 252 22642 91 834 240 4539 -457 33065 9301 8942 359 7786 903 7639 0 4584 2852 1031 0 1821 31648
"197702" 32973 0 28792 2393 876 240 181 251 23816 102 694 239 4688 -507 33847 9327 9318 9 8705 946 7926 0 4735 2208 1065 0 1143 32547
"197703" 35721 0 31647 2677 1054 232 318 293 25768 81 988 236 4663 -589 36676 9162 8255 907 11130 949 8057 0 4710 2668 1099 0 1569 35086
"197704" 39181 0 34868 2619 1189 211 297 419 28505 55 1328 245 5131 -818 40224 9748 9003 745 11624 1106 9376 0 5182 3188 1170 0 2018 38426
"197801" 43004 200 38271 2903 1132 242 263 464 31496 67 1430 274 4836 -303 44143 13106 8265 4841 11098 1198 10186 0 4885 3670 1204 0 2466 41403
"197802" 46827 489 41506 3287 1283 331 206 480 34304 86 1258 271 4858 -26 48070 14798 9833 4965 11832 1268 10627 0 4906 4639 1248 0 3391 44835
"197803" 51429 474 46035 3467 1294 342 187 533 38225 96 1612 279 4390 530 52786 16055 13000 3055 12375 1476 12398 0 4434 6048 1292 0 4756 48534
"197804" 60497 578 54469 3588 1450 409 164 561 46634 103 1442 118 4830 620 61978 20191 12358 7833 14083 1797 15106 0 4930 5871 1375 0 4496 57739
"197901" 62944 617 56224 3500 1290 369 154 681 48591 119 1400 120 4890 1213 64560 20859 17142 3717 14066 1845 15296 0 4990 7504 1524 0 5980 59594
"197902" 68069 800 61343 3329 1526 359 178 700 53316 136 1680 119 5280 646 69932 23782 16474 7308 16046 2038 16821 0 5550 5695 1673 0 4022 64824
"197903" 77893 893 70589 3704 1658 394 197 1153 61490 465 1408 120 6020 391 79916 31611 20166 11445 14753 2288 18888 0 6440 5936 1822 0 4114 75081
"197904" 76332 566 69480 3981 1953 430 230 692 59809 856 1400 129 6340 -54 78529 30774 18145 12629 14840 2276 18260 0 6750 5629 1994 0 3635 74291
"198001" 77562 766 70669 3961 2010 377 261 688 61028 1248 965 131 7030 -903 79949 34809 19565 15244 10391 2221 17986 0 7450 7092 2409 0 4683 76603
"198002" 82301 788 72179 3709 2125 354 336 579 62356 1639 960 121 7617 1717 84894 35928 14070 21858 13601 2278 17802 0 8103 7182 2614 4024 544 78715
"198003" 89679 512 79271 4363 2447 353 384 600 67960 1929 1110 125 8138 1758 92497 36878 19053 17825 14716 2604 20832 0 8894 8573 2888 4563 1122 86174
