"DATES" "FL174090005.Q" "FL153091003.Q" "FL173020005.Q" "FL173030005.Q" "FL173034005.Q" "FL174023005.Q" "FL163069103.Q" "FL313161400.Q" "FL173061105.Q" "FL153061705.Q" "FL173062005.Q" "FL153063005.Q" "FL153064105.Q" "FL153064205.Q" "FL543140003.Q" "FL543150005.Q" "FL573150005.Q" "FL363154005.Q" "FL173099005.Q" "FL174190005.Q" "FL173165105.Q" "FL173165005.Q" "FL153166000.Q" "FL153169405.Q" "FL153167005.Q" "FL173199005.Q"
"197004" 1933489 0 133949 422270 0 887850 16569 52089 31652 15944 47144 29738 650213 44501 123345 40960 124958 95189 104968 645191 290877 116751 133660 17021 6909 79973
"197101" 2038681 0 134607 443998 0 951751 14884 52533 28155 14952 46097 31977 712824 50329 124827 42102 134734 98371 108291 654676 294887 119797 134072 17257 6988 81676
"197102" 2063017 0 140317 459734 0 944005 13765 53182 23773 13113 46375 34744 708482 50571 126393 43385 136512 101910 110761 677142 301530 124956 138912 17494 7859 86390
"197103" 2079910 0 142377 473451 0 934105 13728 53772 25445 13938 46564 37206 693654 49798 128005 44749 141119 103975 112129 696107 309589 130240 143465 17779 8465 86570
"197104" 2163590 0 147465 488758 0 983541 13768 54416 20684 14616 45970 37357 743724 53006 129626 46131 148018 106772 113279 718382 316570 134557 149243 18034 9450 90528
"197201" 2246646 0 146396 507817 0 1029010 13000 55202 22621 12832 46559 37719 785993 55084 131265 47585 158246 109903 116424 732313 323757 138288 148847 18236 11267 91918
"197202" 2272937 0 146569 526159 0 1020986 12073 56037 20252 11669 46909 38169 781697 54180 132932 49169 163417 114179 119526 763397 333413 145333 156222 18493 12661 97274
"197203" 2332508 0 150647 546502 0 1039405 9464 56797 20753 10944 47181 38783 801771 53712 134626 50718 170943 116974 122693 787618 344699 151541 161529 18751 13058 98041
"197204" 2500352 0 159398 561847 0 1160646 9333 57667 20790 8899 47684 38506 921384 56383 136349 52063 183316 121531 125202 816401 354553 159046 168757 18984 13080 101981
"197301" 2455140 0 157352 584002 0 1090710 7064 58549 23482 8538 50607 38757 853489 50224 138110 53212 181659 122026 128069 842692 363015 163387 171528 19267 12037 113458
"197302" 2410849 0 161051 599825 0 1022552 8919 59483 23530 8473 51521 38567 786769 45290 139918 54172 177701 124879 130751 878239 374723 167812 180398 19698 10602 125007
"197303" 2509709 0 161938 614537 0 1084593 9660 59885 28355 9482 54174 40526 833421 49090 141735 55084 190676 128454 132692 906113 386281 166159 186695 20594 9926 136458
"197304" 2387539 0 171713 624933 0 946277 14111 60354 29309 8333 55136 41469 693870 43695 143522 56089 182208 127910 134887 929237 396252 162892 192980 21205 8918 146990
"197401" 2395648 0 168103 645179 263 923238 14668 61121 36056 5739 56629 43127 664408 41490 145272 57019 188647 129799 138128 946185 404240 168019 190460 21651 8277 153539
"197402" 2344761 0 167306 663551 570 849820 17685 61934 30113 6971 57899 45766 591895 37557 146977 57733 183906 133858 141040 981936 415107 175643 196777 22322 7792 164295
"197403" 2200478 0 169694 671457 1386 710322 22024 62525 33949 11511 62394 47998 440798 29123 148706 58695 166895 130388 142935 1012015 425307 183854 201241 23209 7554 170850
"197404" 2257457 0 176618 681443 2379 727077 22495 63338 34153 13670 62164 54410 445034 31813 150528 60372 181175 133822 144043 1033195 431947 189572 201926 23904 7390 178456
"197501" 2415010 0 163676 704320 3620 842616 30347 64349 30751 11530 62603 57758 547842 37436 152431 62694 205777 140694 139182 1039534 436763 194187 195912 24368 7372 180932
"197502" 2569312 0 173790 723375 3661 919973 26437 65430 32486 8770 63059 55844 625664 42283 154402 65593 232741 152667 143110 1061825 447524 198005 195933 24755 7476 188132
"197503" 2517673 0 176537 738004 3708 843274 21915 66407 40447 7682 65177 60059 544752 36835 156422 68877 232562 151092 147197 1086624 459432 200493 201183 25151 7772 192594
"197504" 2622412 0 178013 759395 3696 894891 19746 67363 45698 7585 66809 64342 584599 38749 158474 72349 248404 156397 150793 1115959 470961 203105 206996 25522 8286 201089
"197601" 2776389 0 174038 786907 3557 991285 20641 68460 43575 6964 69757 61293 677976 42619 160562 76120 268445 161705 153770 1134689 482908 208604 204908 25811 9626 202832
"197602" 2854063 0 180450 811851 3341 1014759 21250 69621 39634 7595 73874 63655 696689 42441 162688 80343 269840 172726 158065 1170515 497576 212097 213148 26189 11223 210281
"197603" 2906497 0 183008 834647 3322 1026301 18956 70923 38734 6994 74962 67677 707098 40957 164857 84666 273122 174138 162436 1204853 515195 216589 220688 26550 11645 214186
"197604" 2988167 0 190470 861984 3381 1053073 16851 72018 32235 11693 72859 74338 731643 41436 167073 88740 279670 176861 166915 1241656 531372 220661 228961 26890 12510 221262
"197701" 2980678 0 191065 896589 2939 1001287 24022 73203 35730 7500 73367 75567 674072 37826 169321 92446 280506 175718 170807 1271415 546430 226299 229155 27304 12936 229292
"197702" 3056304 0 194844 918854 3017 1023178 28271 74448 26526 7589 77980 75315 691898 41151 171587 95847 290187 182235 176555 1323717 571437 232683 242048 27760 14024 235765
"197703" 3090601 0 203488 946634 2956 997177 28547 75572 30306 7914 76843 75838 661744 40413 173924 99313 294643 191034 181432 1373295 598488 238651 252953 28198 13981 241024
"197704" 3120826 0 207685 967318 3197 977123 31539 76762 30195 8373 78835 79795 631269 40355 176386 103217 302148 195914 187838 1421408 622735 244522 264892 28616 14527 246117
"197801" 3145074 0 208526 996943 4734 946501 31566 77958 32964 8565 84721 78005 593322 39400 178989 107458 308471 197658 195794 1457354 641022 251116 266971 29064 16401 252780
"197802" 3273291 0 215914 1021828 6050 995045 38562 79116 27459 8453 92107 76389 631295 41664 181752 111959 328275 207289 205179 1525850 669193 258431 284526 29676 18950 265075
"197803" 3415138 0 223519 1049474 7215 1045112 38267 79945 32483 8501 97667 72594 671972 43683 184550 116692 353046 220776 214754 1592920 701640 266354 298022 30311 20731 275861
"197804" 3443068 0 225608 1069709 8928 1028480 46230 80691 32805 9911 104168 73633 639962 41080 187257 121630 356982 224900 219574 1652595 732283 274562 311305 31212 17145 286088
"197901" 3560899 0 220225 1090824 15693 1085214 50799 80562 39899 11679 109320 71800 678679 42476 189908 126736 377580 228076 226643 1698622 756971 282690 313819 32242 16326 296574
"197902" 3660242 0 233078 1102568 22681 1112375 53900 80595 43388 11554 116924 70684 692078 43252 192540 131964 391449 235020 238567 1776835 788530 296903 327319 33224 18958 311900
"197903" 3812427 0 245751 1128867 29822 1167593 57345 80570 50620 12627 121212 64315 736067 44837 195135 137504 413559 246553 247643 1852204 822226 310406 341528 34156 20249 323639
"197904" 3925935 0 247276 1145336 39459 1230229 56004 79876 78814 12501 123569 66608 768059 44798 197675 143546 420887 249325 252202 1920658 849919 323251 354616 35944 17458 339470
"198001" 3931155 0 237871 1169325 54525 1172884 60332 75996 88836 19045 124044 59199 705976 39456 200166 150151 431217 250872 264144 1973237 880280 336510 349662 38042 18735 350009
"198002" 4124729 0 241326 1188252 69928 1265627 52550 73392 86209 17495 126304 57823 807724 44130 202612 157384 467000 263942 268658 2014869 896783 350998 345637 40564 18620 362268
"198003" 4354725 0 260577 1218780 70003 1376363 49723 73043 90297 16815 128669 58756 909931 49129 205012 164801 500558 280759 277872 2069768 925869 362629 350336 41398 19972 369564
"198004" 4574327 0 265666 1266855 64366 1498816 52267 72528 103908 18601 130055 59009 1010388 52060 207364 171960 523692 287198 288410 2132377 951995 372510 358044 42612 24737 382480
"198101" 4654044 0 270634 1269595 98522 1504656 55275 70355 98047 14219 143008 56516 1014877 52359 209689 178243 533711 289980 299014 2161552 967181 384126 353902 44358 21807 390178
"198102" 4700596 0 277523 1289325 108564 1478595 47140 69223 93908 14202 151242 56842 992885 53153 212006 183634 538503 299241 313205 2219995 990930 393332 361610 46099 22179 405845
"198103" 4635744 0 287445 1312297 137398 1328681 40112 68299 105463 13479 160075 55714 836797 48742 214238 189900 528439 312536 324810 2267851 1008797 402028 371928 48304 21068 415726
"198104" 4840906 0 311808 1336963 154610 1406321 42000 68190 103864 14225 160273 59970 905159 52640 216308 199792 553903 323658 337543 2315878 1024583 415425 377882 49966 23023 424999
"198201" 4792377 0 306230 1358466 164885 1293340 46011 67495 108697 13754 172579 59709 775114 49981 218192 209369 572454 324861 344580 2337933 1036021 426973 373537 51265 19250 430887
"198202" 4866749 0 305566 1381367 175381 1285541 52849 67442 113222 13602 189638 53537 745220 50031 219864 220367 594246 333513 350904 2391282 1049458 441867 380887 52615 19099 447356
"198203" 5100996 0 317202 1396879 201364 1365466 45611 67589 130865 13570 199590 56546 796029 55666 221501 233354 654310 358494 352426 2429667 1049570 458660 386815 53661 20798 460163
"198204" 5394529 2427 331286 1445815 186712 1536044 48718 68346 120023 13425 201055 53025 966342 65110 223279 242900 687323 373557 365186 2484187 1064357 471669 396718 54187 25791 471465
"198301" 5661152 2536 337496 1519793 164329 1653309 47958 68821 128045 12563 212507 48864 1058391 76160 225167 252335 747896 384467 373824 2499373 1081135 470514 391910 54641 26743 474430
"198302" 5970834 2490 346526 1555160 150654 1815925 42190 69697 144615 12367 230733 44600 1179666 92057 227132 265284 819193 405692 382778 2575726 1110160 485287 403838 54911 32758 488773
"198303" 6080992 2601 348524 1613025 150913 1824414 36474 70565 162655 14074 245180 54235 1146214 95017 229126 272354 828061 422540 389434 2655114 1146811 500338 420612 55050 33781 498522
"198304" 6134441 6937 347170 1663261 149944 1785288 43780 71485 165215 14519 246654 57022 1088573 98040 231100 281650 838345 431451 399295 2741002 1178937 516443 444878 55243 34177 511325
"198401" 6125466 7190 333934 1724417 162806 1725705 43994 72249 180982 15898 254590 33983 1022881 101128 232275 287889 811369 437066 402815 2794650 1208455 537211 452010 55349 31723 509902
"198402" 6205434 7280 344238 1787412 165501 1724017 52361 72937 206613 17083 274778 40464 957625 102156 233344 295754 785004 452804 410080 2893606 1245789 560273 479799 55480 32657 519608
"198403" 6475893 7026 343880 1840163 166430 1821931 55652 73698 222892 19919 290218 38462 1007386 113704 234650 310503 849120 485265 416925 2985556 1280397 583939 501839 55587 30415 533380
"198404" 6670504 6902 366774 1892619 192968 1837816 65640 74515 208698 27693 290436 44659 1008673 117502 236066 328343 897829 498004 413183 3086236 1312616 606863 526584 55640 31834 552699
"198501" 6978170 7017 365736 1927012 200211 1976828 58800 75443 228541 26868 317683 66696 1068300 134497 238143 340677 963650 518700 440196 3191221 1376384 629726 536023 55603 30614 562871
