"DATES" "FL224090005.Q" "FL223020003.Q" "FL223030005.Q" "FL223034003.Q" "FL222050003.Q" "FL224004005.Q" "FL223069103.Q" "FL223061103.Q" "FL223061703.Q" "FL223062003.Q" "FL223063005.Q" "FL223065003.Q" "FL223064105.Q" "FL223064203.Q" "FL223093003.Q" "FL223150005.Q"
"198104" 221346 624 3813 0 0 168968 0 27564 24250 3856 100779 12519 47800 0 141 222646
"198201" 225308 652 3972 0 0 175425 0 29545 27237 3651 102002 12990 45088 0 171 226680
"198202" 231508 760 4610 0 0 181800 0 32417 27893 3848 104416 13226 44136 0 202 232936
"198203" 244264 836 5083 0 0 187950 0 35849 31339 3550 103545 13667 50162 0 233 245736
"198204" 258129 981 5992 0 0 190692 0 36898 34310 3131 102580 13773 60200 0 264 259633
"198301" 271801 1202 7350 0 164 194049 164 39812 35339 2363 102388 13983 68737 0 299 273386
"198302" 290176 1226 7757 0 406 198629 406 43672 36156 2483 101813 14099 81807 0 351 291845
"198303" 294108 1161 7305 0 695 196966 695 46278 36406 2423 97015 14149 87559 0 422 295876
"198304" 300156 1400 8785 0 1000 198821 1000 48910 39252 2000 93008 14651 89641 0 509 302027
"198401" 307692 1623 10104 0 1321 205455 1321 54561 40192 2151 92504 14726 88715 0 474 309703
"198402" 318903 1790 11093 0 1657 216287 1657 59177 38801 2264 99453 14935 87637 0 439 321080
"198403" 337728 2003 12727 0 2040 224130 2040 64331 39492 2068 101238 14961 96406 0 422 340071
"198404" 346509 1999 11960 0 2500 233167 2500 67914 43308 1534 102656 15255 96514 0 369 349021
"198501" 358359 2339 14085 0 3039 232553 3039 73822 43495 1550 95328 15319 105957 0 386 361080
"198502" 371441 2886 14614 0 3656 238139 3656 77190 40841 1278 99829 15345 111742 0 404 374359
"198503" 373172 2496 14149 0 4320 246633 4320 79910 41556 1225 104301 15321 105134 0 440 376292
"198504" 401802 2351 13327 1427 5000 252363 5000 85383 38124 1128 107419 15309 120071 6773 490 405130
"198601" 425562 2300 14072 1494 5714 258496 5714 95028 34901 938 106515 15400 135544 7353 589 429111
"198602" 445309 2200 14183 1480 6480 265727 6480 98507 36024 1196 108323 15197 147760 6799 680 449066
"198603" 448600 2499 11595 1587 7355 278682 7355 104604 37905 1035 112419 15364 140408 5803 671 452550
"198604" 476515 3082 9891 1725 8270 297085 8270 115329 38147 709 119080 15550 150215 5545 702 480662
"198701" 523558 3709 7403 1757 9211 308431 9211 122815 39917 553 120602 15333 184755 7522 770 528008
"198702" 543230 4301 5753 1885 10170 314410 10170 129503 41311 606 117592 15228 196669 9277 765 547991
"198703" 563467 4712 5019 1937 10929 318881 10929 135414 42927 647 113556 15408 210476 10894 619 568493
"198704" 531869 4844 5216 2015 11272 328766 11272 138866 42961 808 119528 15331 170087 9098 571 537167
"198801" 554545 4852 5761 2112 11247 332938 11247 143570 40327 667 121679 15448 188043 9065 527 560145
"198802" 571621 5095 5865 2270 10900 341240 10900 142940 39568 742 131453 15637 196898 8870 483 577533
"198803" 582879 4736 6488 2326 10468 346439 10468 148740 39557 622 131466 15586 204078 7832 512 589040
"198804" 596774 4410 7116 2329 10183 350537 10183 150659 35347 533 138212 15603 212634 7448 2117 603185
"198901" 620613 3685 8123 2428 10320 360635 10320 151057 37920 467 145739 15132 225318 7371 2733 627407
"198902" 659563 3593 8418 2599 10353 371308 10353 151664 43928 403 149842 15118 251759 7614 3919 666743
"198903" 686166 3298 8850 2610 10526 376726 10526 153198 47393 336 149978 15295 270927 8029 5200 693716
"198904" 698072 3171 9060 2791 9703 381466 9703 152396 51203 268 152597 15299 277832 7780 6269 705994
"199001" 704470 3790 8479 2929 9969 397823 9969 162764 54214 479 155216 15181 267614 7257 6609 713223
"199002" 729953 4318 7953 2813 11410 405120 11410 168301 56085 486 153595 15243 282130 8380 7829 739774
"199003" 700251 4716 7802 2738 11820 407610 11820 170147 61255 245 148832 15311 250979 6961 7625 711022
"199004" 729860 4974 7701 2791 12233 401989 12233 168235 62851 473 142136 16061 284569 7772 7831 741739
"199101" 783393 4366 14658 2722 13785 407077 13785 177144 62935 364 136287 16562 327145 9730 3910 796118
"199102" 790786 4640 12230 2804 16515 410771 16515 178753 64651 487 134043 16322 328790 10273 4763 804598
"199103" 819739 3038 9902 3006 20870 408203 20870 163948 64551 549 141610 16675 357453 12235 5032 834518
"199104" 851754 3807 8828 2950 18868 404616 18868 165494 58038 619 144711 16886 394962 13102 4621 867661
"199201" 855623 3960 8406 2970 19299 413591 19299 171904 55408 554 150253 16173 388418 14241 4738 872355
"199202" 867793 4435 8358 2979 20685 419702 20685 177959 49236 534 154222 17066 391220 15673 4741 885585
"199203" 896824 6409 7910 3090 23573 435342 23573 197677 48036 378 149372 16306 400848 15615 4037 915559
"199204" 937123 6515 6942 3106 24680 441755 24680 203534 39761 445 156882 16453 431666 17915 4544 956958
"199301" 969880 5836 7591 3446 25219 439711 25219 204950 32740 460 160697 15645 463983 19457 4637 990513
"199302" 986304 6129 8601 3766 26344 450304 26344 211378 32078 617 165381 14506 465277 21158 4725 1007963
"199303" 1021148 5460 8554 3789 19887 467926 19887 221833 34149 1222 175780 15055 487775 23455 4302 1043719
"199304" 1041995 6619 6230 4124 20449 468612 20449 217450 35796 1371 179017 14529 506221 25631 4109 1065630
"199401" 1032820 5476 5869 4512 20399 474054 20399 224335 40588 716 173379 14637 492220 26468 3822 1056746
"199402" 1039259 5794 5520 4763 22909 473864 22909 220641 45014 845 169514 14941 494757 27578 4074 1063560
"199403" 1069647 7137 2636 4807 25093 474601 25093 217370 38390 1104 177620 15024 520213 30529 4631 1094281
"199404" 1091757 6737 2483 4958 27825 478704 27825 215554 39872 1112 179142 15199 521682 44781 4587 1116779
"199501" 1154886 5139 2536 5071 29519 499314 29519 224973 44665 1053 183707 15397 558839 50241 4227 1180314
"199502" 1217509 4687 2594 5443 31257 500852 31257 217221 48067 1131 187618 15558 612334 55761 4581 1243459
"199503" 1279808 5145 4209 5614 29383 503265 29383 211282 56192 1374 189288 15746 667210 60148 4834 1306221
"199504" 1327067 4207 4464 5894 31477 509802 31477 208194 63118 1830 189245 15938 703520 62902 4801 1354021
"199601" 1374297 4772 4969 6330 26428 525166 26428 213528 69231 2271 197582 16126 736723 64753 5156 1401705
"199602" 1418641 5883 3871 6593 28179 539559 28179 221067 70214 1297 202478 16324 762670 66448 5438 1446633
"199603" 1447739 7186 2274 6988 27573 528183 27573 213439 65037 496 205112 16526 802307 67960 5268 1476251
"199604" 1509217 7466 2293 7592 28222 538355 28222 212791 68622 561 211425 16734 846588 73182 5519 1538335
"199701" 1530929 5353 5021 8326 27395 558098 27395 211138 78763 2051 221805 16946 848717 73083 4936 1560416
"199702" 1668950 8820 2302 8689 32233 574829 32233 214907 78798 2059 229672 17160 952228 84676 5173 1698913
"199703" 1772152 6505 2823 9831 32148 590438 32149 223531 81608 2467 233301 17382 1032573 92503 5331 1802538
"199704" 1794524 5314 2420 9644 28616 598274 28616 218997 87006 1503 244545 17607 1051316 93362 5578 1825403
"199801" 1935321 6666 1653 9710 36927 614623 36927 212146 90116 2080 254681 18673 1153078 106899 5765 1966486
"199802" 1964189 7610 1621 9759 35839 634219 35839 213210 98041 2227 264221 20681 1162493 106732 5916 1995721
"199803" 1824288 7749 1717 9802 38309 649230 38309 207823 104820 2151 274628 21499 1015882 95796 5803 1856147
"199804" 2030642 9973 1983 9949 37532 661474 37532 212576 106104 3252 279600 22410 1188056 115863 5812 2062882
"199901" 2086504 7600 2169 10546 41037 679916 41037 211463 113106 4536 286981 22793 1216866 122112 6258 2119213
"199902" 2195106 9450 1651 10968 40909 684857 40909 213790 114932 3241 288017 23968 1312387 128360 6524 2228418
"199903" 2116408 9370 2120 11736 39259 694559 39259 204790 112839 3122 310694 23855 1231949 120845 6570 2150256
"199904" 2325754 9225 1692 11784 40375 706990 40375 198824 129022 3044 310038 25687 1407716 140858 7114 2360228
"200001" 2397277 11100 2400 11800 45400 719300 45400 196900 124500 2900 325300 24300 1449700 150600 6977 2434421
"200002" 2368254 12778 2869 12107 45179 723414 47652 194886 143291 2836 310008 24741 1408895 155780 7232 2408831
"200003" 2406612 12556 4738 12914 41857 726328 46805 185471 159082 2272 310917 21781 1429789 170961 7469 2450241
"200004" 2293078 9935 1606 13220 39836 743241 47257 179057 178873 1707 314225 22122 1298683 178341 8216 2340267
"200101" 2145032 8313 1475 13827 36015 719753 45909 177342 176064 1943 296633 21862 1185877 170422 9350 2191470
"200102" 2253899 13291 1944 14434 38694 729268 51061 183128 194655 1779 278142 20503 1265772 181102 9394 2299371
"200103" 2064737 13369 1813 14941 36372 700082 51214 166813 178346 715 282050 20944 1125466 162483 10211 2109350
"200104" 2206645 11448 1781 15447 33951 689395 51266 155099 180737 1651 279658 20984 1260360 184263 10000 2250257
"200201" 2256060 12126 2550 15954 32430 696708 52218 163285 181928 686 277666 20925 1294055 193344 8893 2299554
"200202" 2114608 11004 2619 16461 28708 675122 50970 153870 186219 822 262475 20766 1192749 178024 9921 2157951
"200203" 1852728 11959 2249 16248 28337 657290 50310 156284 189259 837 239673 20927 973655 152652 10338 1895937
"200204" 1930488 12925 1696 15513 27056 638697 48036 158882 192558 858 217265 21098 1056772 167385 10444 1973540
"200301" 1889464 13910 1138 14798 25808 620620 45820 162134 196651 876 193842 21297 1035799 166739 10652 1933296
"200302" 2062665 14731 903 14413 25137 596790 44629 161290 195736 851 171488 22796 1215260 185115 10316 2107500
"200303" 2156994 14075 862 13770 24017 628479 42640 155486 216040 2570 190290 21453 1273898 191131 10762 2202721
"200304" 2349183 13741 842 13444 23446 657518 41628 148631 235068 4386 207406 20399 1420987 207879 11326 2395950
"200401" 2411135 13426 823 13136 22910 688769 40675 143553 256252 6478 222756 19055 1446593 213772 11706 2457261
"200402" 2428743 12517 767 12247 21359 709454 37921 134943 273153 8253 237429 17755 1444746 215636 12017 2474045
"200403" 2410535 17103 1588 10657 18607 697474 32661 140837 275900 1732 229066 17278 1434096 217059 13951 2455105
"200404" 2577535 16267 1392 11577 20230 675292 35171 151016 258765 1815 213450 15075 1600899 235930 15948 2621251
"200501" 2534102 14321 1264 11096 20371 674388 37269 157982 246079 1219 218032 13807 1571899 234311 6452 2577457
"200502" 2595987 13410 822 13121 22883 682596 40627 171253 234315 1607 223141 11653 1609536 240232 13387 2638879
"200503" 2660200 16747 1756 10582 18429 679642 32252 164794 249871 1314 213545 17866 1681339 239729 11976 2702680
"200504" 2721404 15823 1277 11692 19654 693396 35238 153821 258373 1655 227913 16396 1715778 248412 15372 2763404
"200601" 2842911 14215 1741 12809 21625 718198 39075 152981 271216 1853 238325 14748 1799198 261897 13228 2890115
"200602" 2831248 13516 828 13224 23063 755128 40948 150911 290999 1830 257143 13297 1749772 261163 14554 2885144
"200603" 2934853 13006 812 13749 23979 786272 42575 154712 299871 3337 271714 14063 1810749 270264 16022 2994697
"200604" 3089769 13088 816 13835 24129 807973 42839 156208 307819 3261 283401 14445 1926104 287482 16342 3156553
"200701" 3127368 16230 1012 17158 29924 814347 53128 158348 312037 1780 276049 13005 1941885 289837 16975 3200954
"200702" 3263793 16199 1011 17126 29867 819281 53028 159349 314010 1777 278056 13061 2056293 306913 17103 3346125
"200703" 3268957 18860 771 13071 22796 806166 40474 138941 324839 2482 289077 10353 2083441 307319 16533 3359063
"200704" 3198758 17916 733 12417 21655 820274 38449 141626 331114 2417 296972 9696 2013665 296394 15704 3297934
"200801" 2975975 18012 737 12483 21771 826814 38654 142048 332102 1592 302736 9682 1815127 265195 15836 3073257
"200802" 2949427 17919 733 12420 21660 835498 38456 141841 331620 1590 312403 9588 1784618 260737 15842 3044273
"200803" 2754882 17780 726 12322 21490 834599 34095 143933 334088 1608 311439 9436 1616205 236132 15628 2847563
"200804" 2324502 17760 726 14340 23497 833526 25934 146413 337462 1425 312860 9432 1237888 181064 15701 2414657
"200901" 2167558 17610 719 14219 23299 827020 25715 150233 329745 1438 310533 9356 1107194 161947 15550 2256861
"200902" 2369806 17658 722 14258 23363 823812 23874 159894 318962 1442 310248 9392 1286219 188134 15640 2458014
"200903" 2602133 17674 722 14271 23384 819173 23896 167270 309523 1452 307678 9354 1492489 218342 16078 2689367
"200904" 2685753 17588 719 14202 23271 818099 22780 174500 299900 1468 310142 9309 1566461 229164 16249 2771851
"201001" 2784008 17486 714 14119 23136 818552 22647 179662 295178 1480 310252 9333 1651988 241676 16337 2869008
"201002" 2553655 17591 718 14204 23275 819208 22783 184486 289875 1478 311264 9322 1450019 212129 16511 2640655
"201003" 2729223 16887 689 13635 22343 813866 21871 187846 282057 1569 311079 9444 1609310 235432 17061 2817804
