"DATES" "FL154090005.Q" "FL154000025.Q" "FL153091003.Q" "FL153020005.Q" "FL153030005.Q" "FL153034005.Q" "FL154004005.Q" "FL163069103.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL153061705.Q" "FL153062005.Q" "FL153063005.Q" "FL153069803.Q" "FL153065005.Q" "FL153064105.Q" "FL153064205.Q" "FL153067005.Q" "FL153040005.Q" "FL153050005.Q" "FL152090205.Q" "FL153090005.Q" "FL154190005.Q" "FL154104005.Q" "FL153165105.Q" "FL153166000.Q" "FL163162005.Q" "FL153168005.Q" "FL153169005.Q" "FL163165505.Q" "FL153167005.Q" "FL163170003.Q" "FL543077003.Q"
"196502" 1813662 351515 0 78568 272947 0 169363 6710 76144 49365 26779 619 33792 9669 0 42429 534567 29291 1902 103382 151419 454399 17824 335263 323235 210278 92243 0 3958 9564 7192 5488 3380 3160
"196503" 1887197 363296 0 84698 278598 0 170535 6422 75984 49498 26486 910 34915 9965 0 42339 581085 32050 2135 104656 157541 457715 18184 342184 330159 214990 94391 0 3526 9795 7457 5307 3490 3228
"196504" 1953837 373282 0 87020 286262 0 170030 6044 74762 49695 25067 1133 36531 9001 0 42559 616096 34410 2533 105876 161999 471071 18540 351521 338731 219397 97489 0 4407 9970 7468 5867 3620 3303
"196601" 1953889 377745 0 85988 291757 0 177474 6752 78944 49774 29170 1844 37666 9721 0 42547 596561 35326 2790 107050 165194 472846 18903 354956 341823 223305 97096 0 3280 10272 7870 6018 3730 3385
"196602" 1951844 382287 0 84919 297368 0 180030 6728 76488 49940 26548 4947 38778 9715 0 43374 571128 34547 2610 108192 167435 486443 19172 364288 350844 227179 100205 0 5034 10713 7713 6149 3820 3475
"196603" 1910377 387959 0 88403 299556 0 186680 7463 79238 50025 29213 5725 39058 11259 0 43937 512747 31301 2488 109349 166801 493541 19511 368232 355023 230219 100989 0 4377 11416 8023 5751 3890 3568
"196604" 1976474 394400 0 89418 304982 0 190039 8294 79080 50249 28831 5851 41151 11099 0 44564 548264 33850 2730 110570 172487 504250 19884 374699 361248 232689 103422 0 5133 11941 8063 5822 3970 3659
"196701" 2074276 403895 0 88874 315021 0 190167 9855 77816 50456 27360 5838 39687 12064 0 44907 617507 38226 3459 111835 181081 507645 20461 374262 360273 234169 101348 0 3996 12317 8442 6183 4070 3736
"196702" 2099668 415597 0 89647 325950 0 186057 9807 74762 50681 24081 5717 38330 12148 0 45293 622982 39284 3811 113072 185670 512329 20866 381925 367159 237025 104131 0 4825 12664 8514 6719 4240 3807
"196703" 2170039 427523 0 93831 333692 0 190188 9031 77240 50937 26303 5626 39262 13264 0 45765 659985 42006 4274 114314 192242 518255 21252 388012 372159 241435 105544 0 3248 12969 8963 7557 4420 3876
