,LevFac,LogLev,Mkt-RF,SMB,HML,RF
198510,0.16672368881175537,2.3629277322146285,0.04,-0.015,0.0077,0.006500000000000001
198601,0.006167952626749962,2.3690956848413784,0.006500000000000001,0.0115,0.0046,0.005600000000000001
198604,-0.07379698805714163,2.295298696784237,-0.0128,0.0276,-0.0281,0.0052
198607,-0.09608778941477913,2.1992109073694577,-0.0643,-0.034300000000000004,0.0466,0.0052
198610,0.009214667454390923,2.2084255748238486,0.0464,-0.0253,-0.014199999999999999,0.0046
198701,-0.10893245736988932,2.0994931174539593,0.1245,-0.0189,-0.0318,0.0042
198704,-0.03827728506246553,2.0612158323914938,-0.0209,-0.0172,-0.0036,0.0044
198707,-0.01440501672390404,2.0468108156675897,0.0384,-0.005699999999999999,0.009399999999999999,0.0046
198710,-0.27433531479863293,1.7724755008689568,-0.23190000000000002,-0.0827,0.0418,0.006
198801,0.014593359001244366,1.7870688598702011,0.0421,-0.0075,0.0493,0.0029
198804,-0.11031207769332618,1.676756782176875,0.005699999999999999,0.0091,0.0151,0.0046
198807,0.006106180236414405,1.6828629624132894,-0.0125,-0.0023,0.0218,0.0051
198810,0.03417048766980035,1.7170334500830897,0.0116,-0.0292,0.0203,0.0060999999999999995
198901,0.03703664456986999,1.7540700946529597,0.060700000000000004,-0.0219,0.0060999999999999995,0.0055000000000000005
198904,0.26387067253288077,2.0179407671858405,0.0435,-0.0067,-0.0148,0.0067
198907,-0.038506347369275495,1.979434419816565,0.0718,-0.041100000000000005,-0.027999999999999997,0.006999999999999999
198910,0.3348009601430295,2.3142353799595945,-0.0365,-0.032400000000000005,-0.0116,0.0068000000000000005
199001,-0.11045048065035568,2.203784899309239,-0.078,-0.011399999999999999,0.0083,0.005699999999999999
199004,-0.010276780362248772,2.19350811894699,-0.0336,-0.004699999999999999,-0.025699999999999997,0.0069
199007,0.04123276404448051,2.2347408829914706,-0.019,-0.0308,-0.0006,0.0068000000000000005
199010,0.20327993857946458,2.438020821570935,-0.0192,-0.0552,0.0008,0.0068000000000000005
199101,-0.06390394761663476,2.3741168739543004,0.046900000000000004,0.0378,-0.0148,0.0052
