"DATES" "FL893065505.Q" "FL163165505.Q" "FL103165505.Q" "FL113165505.Q" "FL643165503.Q" "FL893065505.Q" "FL153065505.Q" "FL103065503.Q" "FL113065503.Q" "FL213065503.Q" "FL313065505.Q" "FL763065505.Q" "FL443065505.Q" "FL513065503.Q" "FL543065505.Q" "FL573065505.Q" "FL223065505.Q" "FL413065505.Q" "FL673065505.Q" "FL613065503.Q" "FL643065503.Q"
"198703" 668225 41177 210509 414582 1958 668225 1299 25620 17249 5398 6592 266210 145692 4868 159464 5439 6261 124 2429 17370 4210
"198704" 694063 44397 227112 420471 2084 694063 2898 27238 16571 5654 6603 279252 146893 4994 166722 5205 6196 63 3125 18120 4529
"198801" 707871 46052 230363 429380 2075 707871 2695 32705 16746 5846 6640 277867 147467 5139 173363 6126 6264 58 3171 19058 4726
"198802" 729750 47428 230431 449804 2087 729750 2489 38570 17271 6142 6288 286299 148992 5269 177123 7064 6459 41 3459 19532 4752
"198803" 740212 48814 224983 464344 2071 740212 2287 44624 17846 6182 5300 295138 137245 5406 181196 9141 6621 38 3881 20203 5104
"198804" 765927 59000 226564 478096 2267 765927 2599 47986 18171 6033 5343 305363 138552 5574 187549 11145 6712 38 4623 20592 5647
"198901" 782385 62687 236859 480540 2299 782385 2819 43519 17296 6089 5101 316344 144311 5779 190914 11250 6738 34 5097 21621 5473
"198902" 789255 65410 238034 483499 2312 789255 3046 36743 16272 6215 3885 326454 143141 6027 195098 11887 6620 26 5883 22527 5431
"198903" 798971 70769 234916 490888 2399 798971 3282 30352 15198 6260 4366 336109 142260 6270 199513 12617 6742 26 7006 23639 5331
"198904" 801286 72807 227856 498137 2486 801286 3526 23288 14171 6444 4443 342775 136534 6460 205472 13843 6626 26 8369 23870 5439
"199001" 811252 78480 237993 492206 2573 811252 3346 19144 13733 6715 6499 352275 129056 6615 210422 17017 6587 25 9333 25096 5389
"199002" 814801 80403 239538 492200 2660 814801 3180 20048 13151 6933 8811 355210 120866 6752 214024 17651 6596 24 9254 26932 5369
"199003" 818264 79103 246187 490160 2814 818264 3017 18822 12552 6985 13032 360458 114430 6849 214585 17968 6768 24 9490 27930 5354
"199004" 819769 82532 246362 487973 2901 819769 2844 17739 11947 7111 13426 366215 109168 6885 215121 18178 7492 24 10149 28481 4989
"199101" 827227 91160 246744 486375 2948 827227 2824 18685 11054 7185 17403 374726 103561 6859 216768 17076 7867 23 10667 27645 4884
"199102" 831448 92012 249346 487086 3003 831448 2782 18717 10395 7396 20610 379150 98457 6766 219204 15608 7767 21 11603 28141 4831
