"DATES" "FL893065105.Q" "FL153165105.Q" "FL103165105.Q" "FL113165105.Q" "FL893065105.Q" "FL153065103.Q" "FL103065105.Q" "FL113065103.Q" "FL213065103.Q" "FL313065105.Q" "FL763065105.Q" "FL443065105.Q" "FL473065105.Q" "FL543065105.Q" "FL573065103.Q" "FL223065103.Q" "FL403065105.Q" "FL413065105.Q" "FL673065105.Q" "FL613065105.Q" "FL643065103.Q" "FL893065125.Q" "FL763065125.Q" "FL443065125.Q" "FL473065125.Q" "FL673065123.Q" "FL613065123.Q"
"196703" 241435 241435 0 0 241435 18969 0 0 1744 5000 34372 136512 1425 29847 1784 2522 4983 551 0 3726 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196704" 245857 245857 0 0 245857 19505 0 0 1741 5253 35275 138760 1384 29763 1793 2560 5513 652 0 3658 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196801" 249262 249262 0 0 249262 20133 0 0 1742 5521 35753 140301 1319 29644 1794 2630 6154 761 0 3510 0 " NA" " NA" " NA" " NA" " NA" " NA"
"196802" 253560 253560 0 0 253560 20552 0 0 1743 5760 36649 142365 1311 29450 1773 2688 6612 878 0 3769 10 " NA" " NA" " NA" " NA" " NA" " NA"
"196803" 258066 258066 0 0 258066 21158 0 0 1746 5994 37695 144825 1279 29198 1780 2686 6830 936 0 3914 25 " NA" " NA" " NA" " NA" " NA" " NA"
"196804" 262817 262817 0 0 262817 21622 0 0 1751 6155 38765 147339 1276 29030 1774 2724 7151 994 0 4201 35 " NA" " NA" " NA" " NA" " NA" " NA"
"196901" 264740 264740 0 0 264740 19531 0 0 1758 6263 39510 149460 1259 28929 1778 2755 7671 1052 0 4724 50 " NA" " NA" " NA" " NA" " NA" " NA"
"196902" 269621 269621 0 0 269621 19350 0 0 1767 6290 40583 152231 1182 28746 1772 2762 8155 1108 0 5591 84 " NA" " NA" " NA" " NA" " NA" " NA"
"196903" 274395 274395 0 0 274395 19749 0 0 1784 6331 41263 155281 1087 28502 1799 2725 9298 1236 0 5211 129 " NA" " NA" " NA" " NA" " NA" " NA"
"196904" 278575 278575 0 0 278575 21688 0 0 1809 6361 41356 156709 1055 27649 1829 2750 10919 1369 0 4868 213 " NA" " NA" " NA" " NA" " NA" " NA"
"197001" 280864 275707 1031 4126 280864 21107 0 0 1845 6362 41397 157242 745 27777 1829 2800 12446 1522 0 5427 365 " NA" " NA" " NA" " NA" " NA" " NA"
"197002" 284264 278572 1138 4554 284264 21053 0 0 1847 6337 41640 158940 764 27448 1814 2913 13508 1686 0 5889 425 " NA" " NA" " NA" " NA" " NA" 279
"197003" 288246 282244 1200 4802 288246 21024 0 0 1851 6293 42114 161471 784 27064 1791 2852 14883 2005 0 5625 489 " NA" " NA" " NA" " NA" " NA" 362
"197004" 292122 285897 1245 4980 292122 20988 0 0 1884 6234 42329 164041 800 26739 1781 2862 15538 2532 0 5789 605 " NA" " NA" " NA" " NA" " NA" 446
"197101" 296238 289481 1351 5406 296238 21117 0 100 1899 6038 42863 166538 813 26388 1732 2824 15305 3583 0 6369 669 " NA" " NA" " NA" " NA" " NA" 530
"197102" 303099 295256 1569 6274 303099 21260 0 225 1901 5956 44455 170576 824 25827 1727 2828 15263 5041 0 6444 772 " NA" " NA" " NA" " NA" " NA" 613
"197103" 311300 302743 1711 6846 311300 21038 0 350 1912 5871 46480 175794 835 25187 1624 2784 16724 5717 0 6241 743 " NA" " NA" " NA" " NA" " NA" 697
"197104" 318361 309404 1791 7166 318361 20691 0 475 1978 5615 48020 180071 847 24645 1488 2950 17615 6717 0 6464 785 " NA" " NA" " NA" " NA" " NA" 781
"197201" 325700 315985 1943 7772 325700 20766 0 600 1979 5660 49571 184982 881 24173 1334 2964 17930 7636 0 6338 886 " NA" " NA" " NA" " NA" " NA" 864
"197202" 335666 324402 2253 9011 335666 20516 0 700 2051 5596 51789 191674 927 23621 1312 2927 18450 8681 0 6308 1114 " NA" " NA" " NA" " NA" " NA" 949
"197203" 347287 334348 2588 10351 347287 20361 0 800 2057 5443 54653 199325 972 22936 1146 2949 18975 9587 0 7001 1082 " NA" " NA" " NA" " NA" " NA" 1032
"197204" 357319 343490 2766 11063 357319 19796 0 900 2092 4981 57004 206430 1000 22315 1076 2999 19464 10701 0 7351 1210 " NA" " NA" " NA" " NA" " NA" 1115
"197301" 365896 351491 2881 11524 365896 19698 0 963 2124 4781 59127 212381 1155 21857 916 3090 19939 11356 0 7203 1306 " NA" " NA" " NA" " NA" " NA" 1199
"197302" 377965 361755 3242 12968 377965 19560 0 1008 2177 3868 62181 220632 1264 21276 882 3098 20534 12500 0 7673 1312 " NA" " NA" " NA" " NA" " NA" 1282
