"DATES" "FL793120005.Q" "FL713120005.Q" "FL713123005.Q" "FL713124003.Q" "FL713122605.Q" "FL713125005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL443127005.Q" "FL473127003.Q" "FL793120005.Q" "FL153020005.Q" "FL143020005.Q" "FL103020003.Q" "FL113020003.Q" "FL133020003.Q" "FL213020005.Q" "FL313020005.Q" "FL263020005.Q" "FL263027003.Q" "FL263025003.Q" "FL793020005.Q" "FL743020003.Q" "FL443020005.Q" "FL473020005.Q" "FL513020003.Q" "FL543020003.Q" "FL573020005.Q" "FL223020003.Q" "FL633020000.Q" "FL403020005.Q" "FL613020003.Q" "FL643020003.Q" "FL663020003.Q" "FL903020005.Q"
"196901" 210242 44672 1217 0 404 43051 165182 5510 5391 154281 359 29 210242 102332 55582 36754 12515 6313 10030 5837 10605 5795 4810 10760 257 2211 652 1361 1347 1005 497 0 194 1749 0 1487 15096
"196902" 219617 46969 1891 0 419 44659 172249 5639 5368 161242 369 30 219617 103692 59401 40552 12515 6334 10432 7073 10717 5787 4930 10363 266 2123 633 1347 1217 1009 315 0 216 1767 0 1470 17939
"196903" 216516 46637 1885 0 410 44342 169481 7610 5590 156281 367 31 216516 102611 59962 41094 12515 6353 9971 7781 11030 6000 5030 10332 275 1879 620 1331 1279 1004 329 0 394 1794 0 1427 14829
"196904" 232072 48911 1969 0 377 46565 182762 5054 5798 171910 367 32 232072 107690 62014 43122 12515 6377 12336 6915 11454 6175 5279 10956 284 2324 622 1321 1634 1024 309 0 230 1822 0 1386 20707
"197001" 218688 48129 2060 0 456 45613 170152 6140 5819 158193 374 33 218688 103789 59610 40690 12515 6405 11293 8475 11601 6275 5326 10458 305 2089 649 1338 1477 1029 236 0 160 1853 0 1322 13462
"197002" 226812 49115 1444 0 410 47261 177276 8076 5836 163364 387 34 226812 109885 58343 39393 12515 6435 11834 10152 11692 6246 5446 10566 334 2267 698 1372 1381 918 306 0 173 1892 0 1225 14340
"197003" 227870 49585 1685 0 365 47535 177860 8470 6109 163281 391 34 227870 113825 59494 40512 12515 6467 9706 10612 12029 6474 5555 10621 364 2115 750 1408 1430 1028 274 0 180 1941 0 1131 11583
"197004" 244823 51979 1587 0 346 50046 192413 7938 6350 178125 395 36 244823 114933 63075 44059 12515 6501 11290 9809 12439 6696 5743 11573 387 2453 786 1432 1758 1106 388 0 193 1997 0 1073 21704
"197101" 230658 50819 1341 0 404 49074 179380 4520 6040 168820 421 38 230658 115558 59004 39955 12515 6534 11521 6641 12260 6444 5816 11098 408 2014 821 1455 1549 1199 352 0 206 2054 0 1040 14576
"197102" 245007 52859 1728 0 372 50759 191663 8412 5797 177454 445 40 245007 121237 59756 40676 12515 6565 11873 10810 12153 6169 5984 11180 443 1945 854 1476 1482 1205 420 0 188 2108 0 1059 17998
