"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"196204" 246773 46968 199805 246773 73718 46968 26750 12307 0 15157 12379 30478 67059 66434 506 0 119 10219 240 5439 6170 2600 6100 0 0 737 402 0 1792 0 1976 250045
"196301" 247224 47319 199905 247224 70567 47319 23248 16367 0 16107 12498 30337 65488 64840 521 0 127 11014 249 5329 6022 2628 6200 0 0 718 420 0 2232 0 1048 250722
"196302" 247048 47582 199466 247048 70564 47582 22982 15252 0 16398 13051 31827 64219 63542 538 0 139 10935 260 5336 5746 2655 6475 0 0 589 452 0 2326 0 963 250323
"196303" 247312 47853 199459 247312 71976 47853 24123 14602 0 16966 13169 32007 62382 61810 422 0 150 11011 271 5457 5841 2640 6550 0 0 728 486 0 1832 0 1394 250038
"196304" 250685 48149 202536 250685 72892 48149 24743 15128 0 16314 13033 33582 63794 63240 399 0 155 10948 280 5597 5813 2679 6510 0 0 728 510 0 2159 0 718 253848
"196401" 250961 48383 202578 250961 74239 48383 25856 16148 0 16504 12394 33183 62053 61500 398 0 155 11426 286 5472 5788 2872 6725 0 0 823 527 0 1952 0 569 253990
"196402" 249477 48590 200887 249477 74497 48590 25907 15240 0 16446 12267 34494 59869 59322 396 0 151 11312 290 5328 5715 2665 6975 0 0 831 539 0 1988 0 1021 252628
"196403" 252366 48798 203568 252366 74484 48798 25686 14402 0 16793 12816 34950 61341 60710 485 0 146 11455 293 5498 5840 2661 7066 0 0 911 548 0 1773 0 1535 255348
"196404" 255852 49060 206792 255852 73571 49060 24511 14481 0 17333 13321 36506 63575 62991 442 0 142 11432 295 5629 5594 2715 7030 0 0 767 552 0 1677 0 1374 259900
"196501" 255616 49267 206349 255616 76555 49267 27288 14092 0 17597 12538 37091 59614 59040 433 0 141 12038 297 5572 5639 2909 7417 0 0 824 553 0 1925 0 955 259774
"196502" 252438 49365 203073 252438 76144 49365 26779 12320 0 17987 12286 38700 57419 56853 425 0 141 11720 298 5377 5358 2709 7590 0 0 638 547 0 1835 0 1510 256280
"196503" 251156 49498 201658 251156 75984 49498 26486 11829 0 18760 12507 39269 56553 55930 482 0 141 11648 299 5420 5298 2457 7351 0 0 912 540 0 1734 0 595 255285
"196504" 257013 49695 207318 257013 74762 49695 25067 12548 0 19524 13056 40478 60197 59547 509 0 141 11645 303 5464 5119 2539 7153 0 0 811 534 0 1798 0 1082 261528
"196601" 257117 49774 207343 257117 78944 49774 29170 12958 0 19835 12189 40196 56033 55430 458 0 145 12193 308 5252 5171 2479 7312 0 0 1055 528 0 1755 0 909 262057
"196602" 251276 49940 201336 251276 76488 49940 26548 11330 0 20346 11634 41769 54062 53503 408 0 151 11349 315 5093 4921 2377 7046 0 0 1171 521 0 2036 0 818 257720
"196603" 253273 50025 203248 253273 79238 50025 29213 10774 0 20248 11249 41537 54251 53610 483 0 158 11426 322 5080 4852 2351 7166 0 0 1449 514 0 1923 0 893 258995
"196604" 259316 50249 209067 259316 79080 50249 28831 11054 0 20097 11152 43655 56785 56163 459 0 163 11461 327 4991 4921 2304 7115 0 0 1437 511 0 2684 0 1742 265124
"196701" 260390 50456 209934 260390 77816 50456 27360 10445 0 20115 11507 44029 58437 57830 435 0 172 11760 329 4623 4855 2148 6800 0 0 1217 511 0 3658 0 2140 267649
"196702" 250713 50681 200032 250713 74762 50681 24081 7908 0 20003 11537 46318 54823 54233 407 0 183 11440 328 4335 4690 1999 6646 0 0 902 512 0 3800 0 710 259568
"196703" 259277 50937 208340 259277 77240 50937 26303 7287 50 20033 12022 46402 60775 60090 491 0 194 12653 328 4325 4717 1967 6308 0 0 694 517 0 2974 0 985 267934
"196704" 268170 51219 216951 268170 78992 51219 27773 8614 100 19742 13239 48980 63253 62473 576 0 204 12676 331 4286 4683 1987 6165 0 0 921 528 0 2690 0 983 278070
"196801" 273511 51345 222166 273511 83471 51345 32126 9950 150 19320 12334 49495 62000 61200 590 0 210 13650 334 4170 4678 2207 6219 0 0 1167 548 0 2850 0 968 283750
"196802" 268923 51477 217446 268923 82132 51477 30655 8627 200 19303 11020 52230 59425 58604 608 0 213 13368 334 4007 4447 2181 6120 0 0 1047 579 0 2998 0 905 280065
"196803" 275665 51624 224041 275665 83482 51624 31858 7879 250 19514 11596 52405 63386 62540 630 0 216 13006 339 3995 4528 2120 6023 0 0 1405 609 0 2585 0 2543 287812
"196804" 277597 51866 225731 277597 81735 51866 29869 8959 300 19926 12577 52937 65306 64466 620 0 220 12747 357 3933 4456 2359 5921 0 0 1143 625 0 2550 0 1766 290591
"196901" 277439 51834 225605 277439 89044 51834 37210 9399 350 20432 11182 52010 59358 58510 622 0 226 13635 390 3781 4339 2460 5850 0 0 1571 630 0 2275 0 733 290626
"196902" 265455 51807 213648 265455 82342 51807 30535 7949 400 20956 10607 54095 54899 54044 623 0 232 12649 441 3939 4129 2191 5815 0 0 959 630 0 2334 0 1120 278108
"196903" 271648 51689 219959 271648 90872 51689 39183 5786 450 21751 12558 53932 54070 53200 631 0 239 12093 492 3479 4088 2159 5696 0 0 1010 621 0 1725 0 866 282625
"196904" 276827 51770 225057 276827 93166 51770 41396 5646 500 23007 10240 57154 55598 54709 641 0 248 10829 527 3448 4124 2183 5437 0 0 675 601 0 1964 0 1728 287436
"197001" 279213 51608 227605 279213 98271 51608 46663 5255 550 23963 12016 55578 52125 51520 350 0 255 9530 546 3350 4080 2081 5335 0 0 476 646 0 3256 0 2155 289353
"197002" 273568 51593 221975 273568 88736 51593 37143 6065 600 24366 13687 57714 52224 51569 394 0 261 8741 553 3242 4014 1984 5179 0 0 2563 579 0 2701 0 620 283198
"197003" 281041 51704 229337 281041 85911 51704 34207 6966 650 23868 16425 59975 56506 55750 488 0 268 9665 555 3388 4147 2152 5274 0 0 822 518 0 2212 0 2007 290546
"197004" 289923 52089 237834 289923 83041 52089 30952 6283 700 22940 19732 62142 62516 61742 497 0 277 9545 558 3398 4042 2124 5104 0 0 850 491 0 3059 0 3398 299499
"197101" 292511 52533 239978 292511 79938 52533 27405 5735 750 22010 24709 63860 62385 61620 458 0 307 10578 562 3328 4004 2259 4880 0 0 892 500 0 4197 0 1924 301366
"197102" 294438 53182 241256 294438 76155 53182 22973 7130 800 21890 31880 64918 60863 60254 277 0 332 10788 566 3220 3722 2001 4426 0 0 637 541 0 3424 0 1477 303037
"197103" 303786 53772 250014 303786 78357 53772 24585 6211 860 21848 41811 66662 59418 58740 277 0 401 9630 567 3180 3751 2044 4371 0 0 457 590 0 2145 0 1884 311926
"197104" 315920 54416 261504 315920 74200 54416 19784 9057 900 22587 46286 68996 65631 64930 263 0 438 9194 564 3183 3828 2125 3896 0 0 559 622 0 2493 0 1799 324374
"197201" 319902 55202 264700 319902 76873 55202 21671 7207 950 23279 49089 68971 63365 62500 466 0 399 9640 554 3055 3990 2540 3633 0 0 558 641 0 4160 0 1397 328417
"197202" 313895 56037 257858 313895 75289 56037 19252 5200 1000 23584 49179 70756 60995 60258 369 0 368 9022 533 2886 3722 2451 3723 0 0 570 650 0 3228 0 1107 322377
"197203" 318373 56797 261576 318373 76500 56797 19703 4828 1050 24150 54493 68677 61276 60290 478 0 508 8886 517 2757 3875 2623 3643 0 0 712 659 0 1957 0 1770 327296
"197204" 330119 57667 272452 330119 77357 57667 19690 6881 1100 24896 54460 69808 68068 66945 480 0 643 8703 518 2901 3827 3381 3597 0 0 689 676 0 1245 0 2012 339386
