"DATES" "FL893193005.Q" "FL103193005.Q" "FL113193003.Q" "FL313193013.Q" "FL263193005.Q" "FL713193005.Q" "FL763193005.Q" "FL723193005.Q" "FL753193005.Q" "FL733193005.Q" "FL743193005.Q" "FL443193005.Q" "FL473193005.Q" "FL543193005.Q" "FL403193005.Q" "FL613193005.Q" "FL643193005.Q" "FL663193005.Q" "FL503193005.Q" "FL893093005.Q" "FL103093005.Q" "FL113093005.Q" "FL213093005.Q" "FL313093003.Q" "FL263093005.Q" "FL713093005.Q" "FL763093005.Q" "FL723093005.Q" "FL753093005.Q" "FL733093005.Q" "FL743093005.Q" "FL443093005.Q" "FL473093005.Q" "FL543093005.Q" "FL573093005.Q" "FL223093003.Q" "FL653093003.Q" "FL633093005.Q" "FL403093005.Q" "FL613093005.Q" "FL643093005.Q" "FL663093005.Q" "FL903090005.Q"
"197104" 38818 1054 11476 311 -21085 1315 13783 14900 -4423 3502 -196 13372 660 7208 1697 7358 0 367 1302 46262 12332 4000 0 0 -6224 1051 4731 2834 -780 544 2133 8554 -422 4064 9693 0 0 0 1681 7551 167 -916 -7444
"197201" 54450 1282 12396 312 -13650 1021 18143 17781 -1980 2545 -203 14383 642 7344 1863 8775 66 527 1346 57541 19904 5000 0 0 -5709 880 5573 3709 -238 144 1958 8018 -443 4177 10915 0 0 0 1719 7799 635 -927 -3091
"197202" 59319 602 12681 312 -12493 1306 19170 17561 -914 2734 -211 15805 625 7960 1897 9340 200 692 1222 64657 20760 6200 0 0 -4560 972 5629 3872 -178 120 1815 9060 -462 4276 12936 0 0 0 1728 8142 913 -937 -5338
"197203" 58970 -37 13184 312 -17145 1215 21843 20458 -1127 2729 -217 16773 608 8216 2231 9267 293 869 1341 70013 20794 7400 0 0 -5676 961 7635 5319 -144 571 1889 9691 -472 4372 14998 0 0 0 1751 8343 1164 -948 -11043
"197204" 42721 -889 14160 312 -33464 1275 23141 19989 843 2532 -223 16317 591 8241 2102 8415 310 1037 1173 74028 21658 8600 0 0 -6540 1068 7691 3965 502 1081 2143 10535 -492 4477 16445 0 0 0 1362 8889 1294 -959 -31307
"197301" 61976 -862 15128 312 -21717 1374 25817 22193 759 3090 -225 17785 604 8533 2819 9233 346 958 1646 102798 42211 10356 0 0 -4853 945 10624 4808 493 3062 2261 10457 -517 4587 17645 0 0 0 1664 8885 1764 -970 -40822
"197302" 72126 -719 15261 312 -13489 1326 25712 21703 971 3266 -228 18756 619 8874 2457 10235 347 634 1801 107496 42411 10817 0 0 -3841 1131 11666 3991 523 4941 2211 10966 -542 4702 18501 0 0 0 1711 9447 1508 -981 -35370
"197303" 76724 -813 15888 312 -15171 1701 29848 24575 968 4547 -242 19140 636 8824 3139 10553 358 330 1979 114470 42745 11226 0 0 -1841 991 16220 5108 729 8136 2247 10443 -544 4818 19020 0 0 0 2309 9194 881 -992 -37746
"197304" 66687 126 17447 312 -24545 2499 27285 21677 1307 4556 -255 16520 655 8914 3513 11820 425 45 1671 83920 44510 11427 0 0 -31287 1362 12654 2968 592 6873 2221 8495 -556 4934 20067 0 0 0 2349 10314 654 -1003 -17233
"197401" 70513 504 18524 0 -24245 1682 28518 23561 957 4256 -256 17022 735 8938 3165 13534 618 -239 1757 84756 46045 11433 0 0 -33503 1023 13463 3168 526 7492 2277 8437 -579 5071 21015 0 0 0 2108 10862 396 -1015 -14243
"197402" 66509 210 19382 0 -28903 1737 26705 22190 1078 3695 -258 17815 820 9419 2976 12993 2008 -524 1871 87218 43504 11258 0 0 -27192 1174 10248 55 505 7458 2230 9700 -602 5213 22161 0 0 -17 1435 10593 769 -1026 -20709
"197403" 70298 1653 20985 0 -26967 1916 26430 25024 758 905 -257 17759 904 9620 2814 12349 1942 -799 1692 95238 44793 11005 0 0 -17689 1161 7508 1591 359 3470 2088 9442 -605 5370 23590 0 0 -48 1745 9550 454 -1038 -24940
"197404" 61510 1383 23025 1723 -27784 2255 21306 19470 690 1401 -255 15758 983 10085 2502 8064 1851 -1047 1406 162985 96580 10776 0 0 1162 3193 5776 -72 -25 3868 2005 8153 -623 5551 24697 0 0 -90 533 8052 275 -1050 -101475
"197501" 348013 280488 23806 1542 -28709 1496 28642 26255 1506 1141 -260 16535 968 10137 2609 8775 2000 -1818 1542 264450 199015 10510 0 0 -6183 3122 10917 5841 101 2804 2171 8344 -660 5771 25861 0 0 -146 462 7427 1072 -1062 83563
"197502" 356731 291889 23807 1376 -29487 1667 30030 26179 1668 2450 -267 17836 944 10538 3516 4617 1457 -2804 1345 266015 199546 10137 0 0 -10238 2965 11708 4968 643 3745 2352 10390 -697 6043 28740 0 0 -129 886 7231 507 -1074 90716
"197503" 374988 302041 24202 1222 -26365 1542 31726 26487 2035 3453 -249 19176 918 10738 3281 5628 481 -678 1076 262763 183123 9820 0 0 -6168 2807 15005 7616 175 4748 2466 11805 -712 6302 32945 0 0 -123 1791 7072 182 -1086 112225
"197504" 358383 291804 26055 1125 -27909 1973 29236 25119 1955 2394 -232 18035 895 11278 3589 1909 111 -1059 1341 272147 190119 9719 0 0 545 3201 8553 3073 244 2648 2588 11769 -738 6485 35450 0 0 -76 1496 6593 130 -1099 86236
"197601" 395484 319505 25764 1061 -26271 1736 32953 27580 2158 3385 -170 19093 884 11429 3479 2538 453 2137 723 278778 194279 9823 0 0 -1941 3120 10768 5644 69 2612 2443 11998 -778 6686 35497 0 0 -84 1287 6601 90 1432 116706
"197602" 400224 325100 25888 950 -28888 1546 32287 26339 1501 4565 -118 20842 880 12087 3168 2900 270 2453 741 290931 205358 10112 0 0 1039 3048 9166 4516 -244 2573 2321 13924 -815 6870 33278 0 0 -65 884 6468 70 1594 109293
"197603" 422743 339582 26346 791 -23928 1958 33391 27145 1526 4836 -116 21918 884 12383 3583 3002 30 2234 569 300298 211290 10493 0 0 758 3088 10736 5922 -48 2430 2432 13762 -833 7047 35445 0 0 -26 1084 5970 30 1454 122445
"197604" 412095 307148 27301 650 2738 1976 29213 22359 1450 5519 -115 21533 892 12619 3874 1466 185 1677 823 246018 151629 10873 0 0 8331 2982 4348 -37 -224 2116 2493 15439 -866 7225 38493 0 0 -56 1023 5870 0 727 166077
"197701" 435068 322301 27590 576 1674 1382 33963 25972 1821 6263 -93 22762 1026 12906 4169 3345 356 2228 790 257422 148907 11296 0 0 9403 2882 9663 4367 -457 3228 2525 16920 -915 7579 43725 0 0 -21 956 5537 2 1488 177646
"197702" 441118 324272 26631 481 2625 1626 35941 28637 1143 6236 -75 24511 1163 13179 4465 2057 127 2874 1166 264825 151267 11802 0 0 11212 2829 9743 4988 -507 2766 2496 18692 -959 7916 43733 0 0 -98 1344 5632 0 1712 176293
"197703" 463112 341321 26838 395 1729 1944 38084 30457 1569 6183 -125 26488 1304 13474 4172 3451 51 2501 1360 275018 157603 12317 0 0 10731 2768 7757 3547 -589 2298 2501 19335 -991 8242 47881 0 0 -100 1370 6481 0 1624 188094
"197704" 450045 337367 27248 0 -1148 2113 34251 25141 2018 7287 -195 26412 1452 13892 4229 2111 63 721 1334 272770 168331 12764 0 0 2064 2378 4439 804 -818 1948 2505 20331 -1029 8558 46992 0 0 -163 1996 6448 80 -419 177275
