"DATES" "FL893190005.Q" "FL543077003.Q" "FL103190005.Q" "FL113190005.Q" "FL313190005.Q" "FL263190005.Q" "FL713190005.Q" "FL763190005.Q" "FL443190005.Q" "FL473193005.Q" "FL513190005.Q" "FL543190005.Q" "FL403190005.Q" "FL613190005.Q" "FL643193005.Q" "FL663190005.Q" "FL503190005.Q" "FL893090005.Q" "FL153090005.Q" "FL103090005.Q" "FL113090003.Q" "FL133090005.Q" "FL213093005.Q" "FL313090005.Q" "FL263090005.Q" "FL713090005.Q" "FL763090005.Q" "FL443090005.Q" "FL473090005.Q" "FL513092003.Q" "FL543090005.Q" "FL573090005.Q" "FL223093003.Q" "FL343150005.Q" "FL633093005.Q" "FL653093003.Q" "FL403093005.Q" "FL613090005.Q" "FL643093005.Q" "FL663090005.Q" "FL503094505.Q" "FL903090005.Q"
"196303" 133600 2806 12354 169 17775 44932 480 4587 6243 914 18704 12979 3522 6882 0 967 286 123252 16018 48084 3506 2092 0 5236 9586 392 2700 6538 -169 215 4831 3534 0 17073 0 0 439 3177 0 0 0 10348
"196304" 134450 2853 12395 172 17847 45934 617 4030 5439 906 18937 13182 3681 7169 0 982 306 124916 16178 48406 3545 2125 0 5345 9635 351 2885 6913 -176 219 4919 3680 0 17160 0 0 375 3356 0 0 0 9534
"196401" 136898 2898 12802 174 17938 47042 514 4191 6190 891 19232 13291 3546 6929 0 970 290 125979 16389 49937 3603 2171 0 5263 9410 437 2224 6692 -180 223 5003 3912 0 17268 0 0 376 3251 0 0 0 10919
"196402" 141199 2941 13008 176 18772 48823 547 4414 5923 876 19532 13579 3810 7491 0 973 334 130243 16611 51318 3657 2221 0 5241 9219 349 2786 7397 -186 227 5083 4233 0 18179 0 0 359 3549 0 0 0 10956
"196403" 144686 2986 13418 178 18923 50226 598 4729 6617 862 19854 13734 3542 7791 0 966 262 132181 16863 52433 3734 2271 0 5175 9055 458 3021 6955 -191 231 5166 4565 0 18348 0 0 394 3703 0 0 0 12505
"196404" 146530 3039 13351 180 18965 51688 1328 4264 5649 847 20253 13992 3824 7885 0 984 281 134441 17163 53043 3799 2317 0 5349 9370 359 3240 7153 -199 235 5261 4830 0 18409 0 0 387 3725 0 0 0 12089
"196501" 150664 3097 13913 183 19012 52926 1057 5161 6470 835 20616 14259 3767 8007 0 976 386 138260 17481 55579 3864 2362 0 5269 9647 464 3626 6889 -203 239 5367 5036 0 18480 0 0 381 3779 0 0 0 12404
"196502" 154267 3160 14159 185 20184 54340 942 5238 6355 823 20995 14664 3885 7968 0 966 404 143071 17824 57467 3930 2416 0 5358 9244 412 4147 7634 -208 243 5484 5192 0 19550 0 0 420 3958 0 0 0 11196
"196503" 158032 3228 14640 188 20346 55391 845 5949 7142 810 21389 14922 3601 8198 0 947 437 144825 18184 58252 4008 2455 0 5467 9755 446 3521 7277 -212 247 5606 5343 0 19728 0 0 434 4314 0 0 0 13207
"196504" 158557 3303 14765 191 20323 56375 840 5807 6155 796 21796 15168 3918 7677 0 947 496 151471 18540 64642 4083 2497 0 5416 8862 451 3821 7445 -221 252 5731 5543 0 19724 0 0 442 4243 0 0 0 7086
"196601" 161289 3385 15343 191 20326 57100 717 6611 7185 787 22219 15065 3923 7015 0 929 493 154836 18903 67814 4166 2546 0 5377 9128 609 3661 6777 -225 256 5690 5777 0 19747 0 0 441 4169 0 0 0 6453
"196602" 164281 3475 15287 193 21142 58610 799 7309 6702 780 22661 15648 4023 6142 0 928 583 160169 19172 69112 4247 2606 0 5505 9410 610 5183 7255 -230 261 5676 6043 0 20835 0 0 393 4091 0 0 0 4112
"196603" 167593 3568 15520 194 21455 59480 738 8142 7099 771 23117 16261 3779 5751 0 925 793 160023 19511 69976 4349 2654 0 5637 8541 690 4608 6590 -232 265 5657 6321 0 20935 0 0 486 4035 0 0 0 7570
"196604" 165946 3659 15818 196 21768 60625 956 6288 5755 761 23552 16385 4082 4459 0 876 767 158395 19884 68181 4442 2704 0 5775 8016 650 4533 6610 -240 270 5967 6604 0 20977 0 0 351 3671 0 0 0 7551
"196701" 169562 3736 16363 200 21656 61003 768 7573 6692 759 24051 16543 4569 4043 0 874 732 161116 20461 70052 4540 2763 0 5267 7844 733 3588 7381 -244 289 6690 6903 0 20925 0 0 296 3628 0 0 0 8446
"196702" 174100 3807 16684 205 22965 61657 889 7598 6957 757 24570 17174 5029 4148 0 860 800 167413 20866 70517 4641 2838 0 5410 9072 663 4424 8608 -251 309 6736 7222 0 22043 0 0 293 4022 0 0 0 6687
"196703" 177437 3876 17387 210 22941 62538 889 8421 8026 753 25108 17673 4434 3562 0 844 775 168936 21252 72068 4743 2903 0 5442 8682 848 3945 8025 -255 330 6773 7541 0 22074 0 0 419 4146 0 0 0 8501
"196704" 175925 3947 15978 215 23336 63763 1043 7100 7210 749 25664 18204 4616 2438 0 839 822 174328 21661 75341 4844 2967 0 5626 8594 671 4793 8309 -263 353 6851 7830 0 22292 0 0 392 4067 0 0 0 1597
"196801" 185312 4031 18437 220 23537 64669 1049 10072 8224 742 26237 18414 4555 2929 0 820 1376 178550 22095 77571 4955 3040 0 5547 9215 790 5432 8113 -269 378 6975 8098 0 22334 0 0 385 3891 0 0 0 6762
"196802" 188727 4121 18887 224 24962 66372 1153 8502 8187 734 26819 18835 4818 3197 0 803 1113 184204 22565 78703 5070 3134 0 5702 10150 787 5608 8723 -277 404 7125 8347 0 23603 0 0 376 4184 0 0 0 4523
"196803" 194110 4213 19851 229 24793 68143 1098 9152 9022 727 27441 19144 4377 3952 0 797 1171 184956 23051 79523 5191 3211 0 5555 9661 818 5400 8227 -280 432 7292 8586 0 23594 0 0 339 4356 0 0 0 9154
"196804" 197271 4302 20325 234 24843 69391 1410 10723 8030 721 28164 19662 4382 3280 0 782 1022 192613 23561 84072 5326 3346 0 5400 9459 906 7115 8247 -290 462 7468 8822 0 23628 0 0 405 4686 0 0 0 4658
"196901" 204489 4390 21728 239 24927 70163 1066 12919 9240 713 29007 19876 4409 3654 0 777 1380 199409 24169 86975 5478 3445 0 5191 10221 843 8776 8005 -298 494 7687 9049 0 23755 0 0 418 5201 0 0 0 5080
"196902" 211300 4478 22463 245 25861 72179 1371 12226 9540 708 29842 20411 4513 5215 0 760 1489 208965 24713 89138 5648 3568 0 5345 11390 776 11003 8474 -306 528 7910 9264 0 24871 0 0 526 6117 0 0 0 2335
"196903" 223034 4568 23549 250 26099 72683 1179 20530 10042 704 30537 20689 4352 5416 0 744 1691 211465 25104 90727 5823 3676 0 5454 11832 896 11510 7123 -310 565 8083 9479 0 25176 0 0 613 5714 0 0 0 11569
"196904" 221223 4688 24278 256 26064 73325 1753 17895 8865 703 31474 21093 4745 3846 0 653 1585 213377 25807 94718 5998 3782 0 5495 7974 776 11727 7416 -321 604 8330 9708 0 25147 0 0 761 5455 0 0 0 7846
"197001" 225579 4792 13304 7887 25502 76089 1631 19540 9521 706 32323 21285 4757 5813 0 644 1785 222255 26451 97431 6170 3898 0 5542 9217 930 14372 7219 -330 646 8539 9947 0 25185 0 0 833 6205 0 0 0 3324
"197002" 230572 4899 13369 8035 27227 78711 1791 18429 9904 711 33176 21849 5233 5689 0 632 916 230639 27144 100878 6344 4027 0 5628 8172 866 16199 7925 -341 691 8744 10191 0 26910 0 0 920 6341 0 0 0 -67
"197003" 239909 5008 13859 8385 27350 80490 1754 22041 10950 717 34034 22140 5344 5323 0 629 1885 235016 27846 101960 6514 4146 0 5633 9250 997 16498 8181 -346 739 8947 10445 0 27046 0 0 830 6330 0 0 0 4893
"197004" 243072 5118 13924 8869 27832 82277 2246 22407 10534 723 34912 22554 6525 3156 0 596 1399 243181 28519 106675 6682 4271 0 5746 7692 866 17201 9560 -360 790 9151 10711 0 27528 0 0 1528 6621 0 0 0 -109
