"DATES" "FL894104005.Q" "FL893111005.Q" "FL713014003.Q" "FL313112003.Q" "FL263191003.Q" "FL774110005.Q" "FL793120005.Q" "FL793131005.Q" "FL793135005.Q" "FL634000005.Q" "FL792150005.Q" "FL654090005.Q" "FL893167005.Q" "FL153040005.Q" "FL153050005.Q" "FL893170005.Q" "FL893178005.Q" "FL893190005.Q" "FL894190005.Q" "FL883011203.Q" "FL893064105.Q" "FL152090205.Q" "FL903012005.Q" "FL903091005.Q" "FL904010005.Q" "FL902050005.Q" "FL903078005.Q" "FL903090005.Q" "FL903028003.Q" "FL903023005.Q" "FL903029200.Q" "FL903070005.Q" "FL894090005.Q"
"196602" 1148620 1429 0 3543 917 31666 188986 299348 32963 0 -1884 35429 18441 108192 167435 134168 17110 164281 2350644 13529 685683 486443 -2279 0 1467 -4099 11322 4112 4306 -350 10641 -16726 3527905
"196603" 1162449 1520 0 3740 932 34054 182594 301175 33409 0 -1526 32224 16270 109349 166801 138379 18136 167593 2367099 13356 615709 493541 -2190 0 1964 -5748 12436 7570 4352 -354 7675 -19659 3483659
"196604" 1187819 1647 0 3963 885 36521 193589 306483 33302 0 -1529 34829 18729 110570 172487 143494 19155 165946 2427890 13235 660424 504250 -2198 0 1901 -5564 13345 7551 4356 214 12232 -14645 3588607
"196701" 1197275 671 0 4176 951 32437 185764 316691 36445 0 -1633 39280 19143 111835 181081 139837 18923 169562 2452438 13184 747328 507645 -2172 0 558 -4352 12762 8446 3856 198 7795 -20175 3713679
"196702" 1209215 1105 0 4394 843 32846 191704 327431 37013 0 -2108 40429 20037 113072 185670 142256 12681 174100 2490688 13169 759549 512329 -2062 0 1434 -4899 6408 6687 4386 -516 9842 -20446 3774901
"196703" 1231841 1572 0 4560 827 36545 194463 335047 37517 0 -2780 43249 22547 114314 192242 145894 13429 177437 2548704 13077 809759 518255 -2044 0 2003 -6377 7249 8501 3624 828 6777 -22242 3891476
"196704" 1268372 2765 0 4646 1055 38840 208909 341194 39204 0 -2184 44308 25752 115535 195629 152836 14773 175925 2627559 12065 835107 528780 -1982 0 1934 -5062 8497 1597 4137 176 12062 -17237 3999389
"196801" 1285918 3223 0 4870 1357 38480 197643 349095 40094 0 -2106 41949 23678 116737 195262 149923 19513 185312 2650948 10703 776014 541214 -1929 0 164 -6371 12256 6762 4978 566 6680 -22309 3978082
"196802" 1311478 3382 0 4930 1749 40241 204932 355212 38407 0 -618 47493 27246 117921 207230 155247 14582 188727 2718159 10681 884503 549520 -1778 0 1920 -3966 7251 4523 4697 380 9952 -23084 4162968
"196803" 1336944 3879 0 4976 1832 44683 208196 361105 42058 0 88 49914 29874 119110 212779 162469 14719 194110 2786736 10755 901429 556068 -1765 0 1751 -4480 7518 9154 4757 1177 6054 -23951 4254773
"196804" 1373395 4818 0 5062 1587 44659 224018 367814 45929 0 -1544 51232 32334 120324 218721 170025 16038 197271 2871683 10892 996085 573116 -1733 0 2531 -3513 8767 4658 6110 1289 13591 -20632 4440708
"196901" 1390498 4922 0 5108 1856 46172 210242 374682 41578 0 936 50339 27054 121561 220281 170630 17630 204489 2887977 10836 946300 583320 -1718 0 1386 -3747 12851 5080 6154 890 8052 -26305 4425790
"196902" 1417926 4904 0 5166 1809 50652 219617 377600 38957 0 2307 48052 27562 122814 223828 176907 13886 211300 2943286 11153 907895 591917 -1570 0 3965 -3759 9037 2335 6183 457 11299 -27467 4453771
"196903" 1449593 5579 0 5198 1618 49158 216516 378752 32472 0 5254 47940 22920 124083 226278 184222 14465 223034 2987082 11164 882607 595878 -1563 0 2345 -5621 9742 11569 6205 1714 6910 -29846 4475276
"196904" 1491168 5105 0 5334 1173 52282 232072 382331 30874 0 4680 47588 25676 125362 230936 193661 14522 221223 3063987 11859 840609 606685 -1514 0 2410 -4424 9817 7846 4913 108 15686 -24240 4512538
"197001" 1507652 6314 400 5397 1172 50782 218688 385193 32035 0 5353 48369 22046 126703 233842 192407 15408 225579 3077339 11903 815012 615624 -1503 0 1941 -4001 13018 3324 4916 -275 8821 -30014 4523651
"197002" 1536063 5306 400 5421 1220 49923 226812 393565 35793 0 2750 39201 19753 127979 225789 195790 12034 230572 3108370 11889 648418 633134 -1565 0 3089 -1521 9539 -67 4921 -632 10051 -29242 4407238
"197003" 1561774 4900 400 5492 1141 51134 227870 399943 49735 0 1494 44172 21608 129295 241214 198420 12519 239909 3191019 11494 755152 627493 -1582 0 3232 -4096 10113 4893 6157 -457 5883 -29629 4590644
"197004" 1600014 4282 400 5556 798 49305 244823 412949 55118 0 1114 46812 24877 130703 253749 203610 12475 243072 3289656 11072 831233 636713 -1593 0 3056 -1702 10056 -109 6085 -284 15903 -23346 4760608
"197101" 1619033 4963 400 5654 1082 47600 230658 437427 60225 0 2315 52687 23491 132202 267832 204224 14633 251824 3356250 10963 920098 658048 -1616 0 4192 -1656 9015 -2214 4824 -780 10532 -25823 4948885
"197102" 1657295 4581 400 5797 1102 45377 245007 455182 60041 0 2230 52961 23828 133786 274414 206310 13417 254242 3435969 10507 918939 673456 -1623 0 4222 -2304 7254 -7244 4983 -670 13685 -26081 5046649
