"DATES" "FL774110005.Q" "FL714110005.Q" "FL713113003.Q" "FL723025000.Q" "FL764110005.Q" "FL714010005.Q" "FL764116005.Q" "FL764116205.Q" "FL724116205.Q" "FL723192603.Q" "FL723092605.Q" "FL754116205.Q" "FL753192603.Q" "FL753092605.Q" "FL734116205.Q" "FL733192603.Q" "FL733092603.Q" "FL764016205.Q" "FL724016203.Q" "FL754016203.Q" "FL904010005.Q" "FL724112005.Q" "FL724112205.Q" "FL754012205.Q" "FL733030003.Q" "FL904010005.Q" "FL724012205.Q" "FL754112205.Q" "FL734112205.Q" "FL754112005.Q" "FL754112205.Q" "FL754012205.Q" "FL734112005.Q" "FL734112205.Q" "FL733030003.Q" "FL894010005.Q" "FL764116005.Q" "FL774010005.Q" "FL714010005.Q" "FL713022003.Q" "FL713068705.Q" "FL764010005.Q" "FL763013005.Q" "FL723025000.Q" "FL443013053.Q" "FL473013003.Q" "FL904010005.Q"
"197203" 45102 35532 26692 8840 9570 4584 5727 6602 1496 2222 726 5106 7624 2518 0 0 0 875 703 172 -741 -4019 5571 6312 0 -741 9590 9590 0 3278 9590 6312 0 0 0 45843 5727 40116 4584 3742 842 35532 26692 8840 0 0 -741
"197204" 44602 34295 25647 8648 10307 5955 6787 7843 1116 2113 997 6727 9750 3023 0 0 0 1056 647 409 -2435 -1419 4970 7405 0 -2435 6389 6389 0 -1016 6389 7405 0 0 0 47037 6787 40250 5955 3974 1981 34295 25647 8648 0 0 -2435
"197301" 42954 35762 26873 8889 7192 4149 3807 4971 767 1976 1209 5204 8281 3077 -1000 0 1000 1164 576 588 -764 -2940 7386 8150 0 -764 10326 10326 0 2176 10326 8150 0 0 0 43718 3807 39911 4149 2121 2028 35762 26873 8889 0 0 -764
"197302" 38998 32484 24818 7666 6514 3818 4937 6204 1320 2325 1005 5884 9515 3631 -1000 0 1000 1267 695 572 -2241 -3241 9887 12128 0 -2241 13128 13128 0 1000 13128 12128 0 0 0 41239 4937 36302 3818 2048 1770 32484 24818 7666 0 0 -2241
"197303" 51592 40633 30962 9671 10959 7558 2879 3980 737 1917 1180 5743 9499 3756 -2500 0 2500 1101 542 559 522 -2334 10518 9996 0 522 12852 12852 0 2856 12852 9996 0 0 0 51070 2879 48191 7558 3036 4522 40633 30962 9671 0 0 522
"197304" 41879 37748 27060 10688 4131 4357 1597 2986 244 1886 1642 5242 9494 4252 -2500 0 2500 1389 686 703 -1823 -4847 9828 11651 0 -1823 14675 14675 0 3024 14675 11651 0 0 0 43702 1597 42105 4357 3099 1258 37748 27060 10688 0 0 -1823
"197401" 47484 38119 28410 9709 9365 4255 6543 7672 2907 5336 2429 7765 11903 4138 -3000 0 3000 1129 547 582 -1433 -2892 12063 13496 0 -1433 14955 14755 200 1259 14755 13496 200 200 0 48917 6543 42374 4255 2222 2033 38119 28410 9709 0 0 -1433
"197402" 48640 38441 30086 8355 10199 5507 2019 3875 670 4158 3488 6205 12562 6357 -3000 0 3000 1856 1013 843 2673 107 20657 17984 0 2673 20550 20150 400 2166 20150 17984 400 400 0 45967 2019 43948 5507 2297 3210 38441 30086 8355 0 0 2673
"197403" 55994 43763 33256 10507 12231 8913 1340 3048 -1436 3622 5058 7984 13552 5568 -3500 0 3500 1708 976 732 1978 -1764 17146 15168 0 1978 18910 18310 600 3142 18310 15168 600 600 0 54016 1340 52676 8913 3721 5192 43763 33256 10507 0 0 1978
"197404" 40808 37483 25843 11640 3325 2300 362 2623 -1345 4464 5809 7468 13983 6515 -3500 0 3500 2261 1332 929 663 -5774 16874 16211 0 663 22648 21848 800 5637 21848 16211 800 800 0 40145 362 39783 2300 2001 299 37483 25843 11640 0 0 663
