"DATES" "FL654090005.Q" "FL652050003.Q" "FL654004005.Q" "FL653069100.Q" "FL653061105.Q" "FL653061703.Q" "FL653062003.Q" "FL653063005.Q" "FL653069803.Q" "FL653064100.Q" "FL653093003.Q" "FL654090005.Q"
"198102" 62444 2031 18888 2031 2363 0 5010 9484 0 41525 0 62444
"198103" 56895 2149 19102 2149 2443 0 5035 9475 0 35644 0 56895
"198104" 59842 2233 20184 2233 2775 0 5102 10074 0 37425 0 59842
"198201" 57582 2289 20866 2289 3512 0 5487 9578 0 34427 0 57582
"198202" 58968 2546 21916 2546 3895 0 5924 9551 0 34506 0 58968
"198203" 66340 2125 23773 2125 4594 0 6757 10297 0 40442 0 66340
"198204" 76852 2074 25360 2074 5087 0 7972 10227 0 49418 0 76852
"198301" 88829 2685 28234 2685 4611 349 9715 10874 0 57910 0 88829
"198302" 105428 2989 31653 2989 5170 852 10862 11780 0 70786 0 105428
"198303" 108621 2947 32722 2947 4395 1192 12216 11972 0 72952 0 108621
"198304" 112121 2855 34910 2855 4059 1620 13424 12952 0 74356 0 112121
"198401" 115625 934 42620 7351 4762 2307 15008 13192 0 72071 0 115625
"198402" 116949 976 45953 8288 5352 3110 15939 13264 0 70020 0 116949
"198403" 130023 1349 51208 9918 6209 4298 17578 13205 0 77466 0 130023
"198404" 135610 1153 53852 8471 6609 5422 19113 14237 0 80605 0 135610
"198501" 155269 1111 66289 7773 12016 9389 21754 15357 0 87869 0 155269
"198502" 179853 893 80736 8312 16628 12364 25987 17445 0 98224 0 179853
"198503" 198848 1237 96890 9413 23199 16402 29294 18582 0 100721 0 198848
"198504" 245911 1257 129935 7945 38816 26082 34904 22188 0 113719 1000 245911
"198601" 308737 1979 164323 12683 47685 34373 42813 26769 0 140903 1532 308737
"198602" 348453 2121 193638 12194 56230 43480 48791 32943 0 150750 1944 348453
"198603" 382028 2088 229503 13236 66261 54970 58207 36829 0 148119 2318 382028
"198604" 426494 2751 259858 15844 71245 63382 66960 42427 0 161210 2675 426494
"198701" 500753 3633 297863 19608 83090 71742 76597 46826 0 195885 3372 500753
"198702" 534895 3761 307962 19808 89068 74608 76742 47736 0 220569 2603 534895
"198703" 548617 4577 306077 23587 87114 70764 76633 47979 0 233732 4231 548617
"198704" 480185 3588 291133 19483 84051 66205 74827 46567 0 181659 3805 480185
"198801" 508509 5270 304385 29254 84598 66533 76319 47681 0 194448 4406 508509
"198802" 507531 4216 301383 23522 84534 66379 78682 48266 0 197815 4117 507531
"198803" 500342 5213 304124 28807 82508 64686 80343 47780 0 187626 3379 500342
"198804" 500525 4921 304468 28619 80271 62833 82946 49799 0 187618 3518 500525
"198901" 508503 4980 304977 28168 78355 61502 86651 50301 0 194346 4200 508503
"198902" 537282 5500 312350 30208 77392 60915 91584 52251 0 214232 5200 537282
"198903" 567209 5155 319637 30030 79444 62706 94850 52607 0 236217 6200 567209
"198904" 589561 4762 327167 28022 81425 64452 98644 54624 0 250505 7127 589561
"199001" 578579 5309 333620 27904 82411 66067 102217 55021 0 232150 7500 578579
"199002" 618068 5777 344612 27787 83963 68181 106365 58316 0 259679 8000 618068
"199003" 577048 6924 348916 28716 83919 69035 109213 58033 0 212708 8500 577048
"199004" 608355 6142 360096 28485 87108 72592 112590 59321 0 233241 8876 608355
"199101" 668086 7278 375121 28061 88670 75936 117529 64925 0 277187 8500 668086
"199102" 688938 6891 394495 27207 91001 80106 123750 72431 0 279152 8400 688938
"199103" 753266 7134 426246 26238 98649 89285 132088 79986 0 311586 8300 753266
"199104" 769485 12193 440215 12193 103900 96683 139740 87699 0 308920 8157 769485
"199201" 810091 20105 461672 20105 99750 101411 142612 97794 0 327801 513 810091
