"DATES" "FL893065005.Q" "FL893065105.Q" "FL893065405.Q" "FL893065505.Q" "FL893065603.Q" "FL893065005.Q" "FL153165005.Q" "FL143165005.Q" "FL103165005.Q" "FL113165003.Q" "FL893065603.Q" "FL313165403.Q" "FL643165005.Q" "FL893065005.Q" "FL153065005.Q" "FL103065003.Q" "FL113065005.Q" "FL213065005.Q" "FL313065005.Q" "FL763065005.Q" "FL443065005.Q" "FL473065105.Q" "FL513065503.Q" "FL543065000.Q" "FL573065005.Q" "FL223065003.Q" "FL403065005.Q" "FL413065005.Q" "FL673065005.Q" "FL613065000.Q" "FL643065005.Q"
"196602" 348371 227179 40075 58796 22321 348371 234892 111664 35757 53586 22321 1815 0 348371 43374 100 0 2805 6281 52306 157716 1623 140 62509 3591 4143 8434 1033 0 4316 0
"196603" 354019 230219 40708 60317 22775 354019 238242 113977 36570 54632 22775 1800 0 354019 43937 108 0 2848 6574 53606 159343 1502 140 63565 3710 4344 8919 1167 0 4256 0
"196604" 358484 232689 41275 61468 23052 358484 240752 115949 37561 55336 23052 1783 0 358484 44564 114 0 2888 6891 54355 160493 1434 143 64609 3911 4516 9354 1314 0 3898 0
"196701" 361810 234169 41968 62233 23440 361810 242611 117429 37939 56050 23440 1770 0 361810 44907 115 0 2922 7053 54481 161518 1435 171 65469 3991 4681 9732 1480 0 3855 0
"196702" 367396 237025 42801 63577 23993 367396 245539 120102 38236 57873 23993 1755 0 367396 45293 113 0 2948 7152 55656 163878 1428 176 66126 3976 4847 9895 1660 0 4248 0
"196703" 374653 241435 43748 64924 24546 374653 250398 122517 38237 59734 24546 1738 0 374653 45765 111 0 2975 7465 57382 167078 1425 181 66647 4059 4925 10448 1821 0 4371 0
"196704" 381938 245857 44815 66249 25017 381938 253075 127143 40818 61308 25017 1720 0 381938 46490 112 0 3003 7817 58894 170038 1384 185 67516 4083 5003 11131 1988 0 4294 0
"196801" 387904 249262 45477 67542 25623 387904 258270 127892 40242 62027 25623 1702 40 387904 47196 106 0 3044 8218 59969 172254 1319 188 67973 4091 5148 11958 2169 0 4121 150
"196802" 395303 253560 46242 69114 26387 395303 262479 131060 40662 64011 26387 1684 80 395303 47642 104 0 3090 8569 61792 175104 1311 190 68421 4050 5269 12596 2359 0 4423 383
"196803" 402970 258066 47141 70927 26836 402970 267343 133797 40992 65969 26836 1670 160 402970 48619 103 0 3141 8935 63579 178384 1279 192 68907 4071 5275 12908 2444 0 4595 538
"196804" 411264 262817 48251 73019 27177 411264 271983 137427 42242 68008 27177 1654 200 411264 48965 100 0 3195 9261 65476 181810 1276 193 69975 4067 5362 13293 2526 0 4935 830
"196901" 415950 264740 49196 74367 27647 415950 274484 139474 42638 69189 27647 1635 357 415950 47204 123 0 3243 9507 66914 184549 1259 195 70382 4079 5426 14006 2616 0 5455 992
"196902" 424107 269621 50352 75792 28342 424107 279375 142754 42356 72056 28342 1610 368 424107 46921 160 100 3302 9782 68865 188100 1182 196 70858 4069 5475 14732 2701 0 6389 1275
"196903" 431930 274395 51512 77271 28752 431930 284513 145442 41942 74748 28752 1598 378 431930 47312 201 200 3432 9980 70168 191861 1087 197 71368 4134 5550 16002 2949 0 5991 1498
"196904" 439797 278575 53176 79051 28995 439797 288376 149418 43085 77338 28995 1573 430 439797 49123 236 300 3652 10231 70517 194048 1055 200 72027 4216 5575 17664 3204 0 5742 2007
"197001" 442873 280864 53467 78950 29592 442873 286156 154729 55897 69240 29592 1556 433 442873 47002 194 400 4078 10318 70962 195005 745 208 72673 4230 5650 19332 3499 0 6222 2355
"197002" 450493 284264 55054 81253 29922 450493 289098 159416 56824 72670 29922 1532 448 450493 47868 202 500 4187 10448 71399 197512 764 220 73227 4213 5808 20653 3713 0 7036 2743
"197003" 460212 288246 57668 84057 30241 460212 292998 165188 57973 76974 30241 1506 520 460212 49727 208 600 4353 10496 72501 201094 784 233 73582 4193 5789 22230 4132 0 7138 3152
"197004" 469246 292122 60129 86503 30492 469246 296450 170752 59574 80686 30492 1498 546 469246 49990 214 700 4569 10533 73275 205201 800 245 74375 4171 5920 23046 4755 0 7548 3904
"197101" 477073 296238 62312 87700 30823 477073 300675 174333 60324 83186 30823 1484 582 477073 49249 219 975 4875 10444 74424 209350 813 245 74533 4080 6019 23087 5957 0 8481 4322
"197102" 490027 303099 65052 90090 31786 490027 306297 181652 61462 88404 31786 1463 616 490027 49684 199 1275 5031 10404 76639 216055 824 240 74509 3914 6170 23427 7572 0 9109 4975
"197103" 504141 311300 67399 93327 32115 504141 314144 187919 62235 93569 32115 1445 633 504141 48555 220 1575 5358 10335 80008 223810 835 233 74751 3768 6178 25299 8369 0 9332 5515
"197104" 517819 318361 70094 96983 32381 517819 320571 195142 64586 98175 32381 1426 680 517819 47291 239 1875 5648 10153 82515 231199 847 223 75496 3658 6288 26672 9516 0 9996 6203
"197201" 531510 325700 72680 100034 33096 531510 327659 201721 67335 101290 33096 1401 729 531510 47607 237 2175 5983 10239 85614 237933 881 215 75398 3332 6309 27469 10542 0 10441 7135
"197202" 550127 335666 76046 104306 34109 550127 335913 211900 69067 108724 34109 1383 931 550127 48116 199 2450 6386 10194 90113 247314 927 204 75404 3133 6257 28473 11748 0 10990 8219
"197203" 569306 347287 78834 108330 34855 569306 346315 220586 70661 115070 34855 1362 1043 569306 48324 271 2725 6673 10083 95048 257517 972 193 75588 2865 6340 29589 12815 0 11382 8921
"197204" 589724 357319 82876 114168 35361 589724 355421 231813 73635 122817 35361 1340 1150 589724 48198 226 3000 7035 9460 99314 267529 1000 181 76948 2728 6470 30677 14404 0 12158 10396
"197301" 605232 365896 84593 118253 36490 605232 363278 239362 76238 126634 36490 1318 1274 605232 47772 264 3170 7313 9299 103548 275548 1155 176 77166 2514 6632 31880 15160 0 12366 11269
"197302" 627891 377965 87957 124008 37961 627891 373634 251545 82644 130940 37961 1300 1412 627891 48156 300 3299 7556 8269 109114 286222 1264 173 77982 2439 6821 33559 16615 0 13167 12955
"197303" 648947 389833 91127 129035 38952 648947 383849 262397 93806 129639 38952 1284 1417 648947 47546 312 3330 8002 9229 114788 294832 1369 171 79187 2361 6888 35846 17057 0 13120 14909
"197304" 666479 399776 93191 133706 39806 666479 394093 269667 104616 125245 39806 1269 1450 666479 47167 324 3285 8735 8871 119068 300296 1441 166 81369 2376 7141 37750 18040 0 14494 15956
"197401" 681354 407850 95355 137455 40694 681354 402233 276354 106329 129331 40694 1249 1518 681354 48112 397 3354 9188 8797 121882 305576 1476 164 82180 2393 7277 38879 19709 0 15270 16700
"197402" 700703 418787 97221 142377 42318 700703 412492 285457 107199 135940 42318 1227 1527 700703 48899 471 3406 9652 9672 127320 312575 1471 162 83225 2377 7330 42150 20132 0 15223 16638
"197403" 716518 428803 98933 145045 43737 716518 423373 290394 104606 142051 43737 1196 1555 716518 49882 617 3418 10095 11089 130582 318176 1470 161 84427 2368 7423 45539 20537 0 14392 16342
"197404" 728364 435114 100049 148279 44922 728364 430839 294782 104102 145758 44922 1163 1580 728364 50532 746 3393 11205 12634 132105 320977 1513 157 86234 2372 7702 48094 21458 0 13097 16145
"197501" 737673 439891 100586 150411 46785 737673 436205 298731 103985 147961 46785 1159 1578 737673 44642 9247 3278 11754 12902 131903 324330 1605 151 87246 2409 7705 49531 24420 0 12656 13894
"197502" 753470 450774 100735 153431 48530 753470 446157 304646 105274 150842 48530 1117 1550 753470 47055 9397 3196 12202 15023 133012 332682 1744 172 87967 2378 7810 50962 25603 0 12624 11643
"197503" 769684 462722 100820 157058 49084 769684 457864 309212 107152 152976 49084 1100 1508 769684 49421 9547 3190 12500 17031 134514 341936 1887 191 88331 2366 7875 52211 26785 0 12899 9000
"197504" 785509 473944 100693 161019 49853 785509 470100 312826 108860 154113 49853 1073 1510 785509 50422 9697 3252 12812 19143 136186 350711 1993 221 89168 2383 7542 53460 28511 0 12868 7140
"197601" 802337 486150 102169 163221 50797 802337 481525 318191 108204 159190 50797 1051 1571 802337 51301 9864 3326 12752 19834 139629 358810 2119 221 89427 2383 7543 54121 31152 0 13345 6510
"197602" 823259 500987 103607 166355 52310 823259 495253 325284 110864 162110 52310 1029 1693 823259 52041 10030 3462 13221 18697 143698 371676 2251 245 89706 2383 7623 54620 34026 0 13700 5880
"197603" 847704 518728 104909 170146 53921 847704 512818 332091 113125 165045 53921 997 1798 847704 52872 10199 3741 13607 19491 147806 385311 2381 244 90202 2373 7625 55906 36984 0 13712 5250
"197604" 870458 534962 105895 174189 55412 870458 528520 338956 115443 168101 55412 982 2000 870458 52779 10367 4151 14062 19563 151326 397804 2500 273 91555 2414 7732 56423 40693 0 14196 4620
"197701" 892199 550224 107142 177453 57380 892199 542821 346449 116541 172528 57380 949 1980 892199 53570 11160 4320 14217 19780 155163 408487 2590 327 91844 2420 7684 56459 45418 0 14450 4310
"197702" 926218 575786 109746 180348 60338 926218 565773 357638 119291 178009 60338 919 1888 926218 54401 11961 4557 13996 20982 163007 425546 2656 368 92934 2539 7864 58253 47980 0 15174 4000
"197703" 963141 603145 111835 185795 62366 963141 591895 368521 123277 182878 62366 894 1831 963141 55243 12772 4959 14283 22265 171166 443156 2721 395 94170 2486 7622 59194 52412 0 16607 3690
"197704" 999169 627680 114279 193261 63949 999169 615085 381405 129234 188222 63949 869 1810 999169 55334 13582 5509 14617 23745 178978 459446 2800 384 96849 2497 8041 59944 56803 0 17260 3380
"197801" 1026768 646034 116827 197958 65949 1026768 633529 390890 132281 192660 65949 845 1504 1026768 56376 14065 6006 15174 24254 184596 471811 2915 375 97922 2559 8082 62320 59512 0 17503 3298
"197802" 1066851 674494 120272 203343 68742 1066851 660557 403827 136760 198325 68742 818 1649 1066851 58972 14552 6563 15758 25111 194467 487874 3052 365 99862 2647 8246 65014 62611 0 18542 3215
"197803" 1109924 707322 122681 208876 71045 1109924 691851 415474 139330 205099 71045 792 1807 1109924 61584 15046 7273 16288 27093 205163 503127 2702 366 102169 2706 8407 68632 65755 0 20513 3100
"197804" 1150626 738206 125152 214511 72757 1150626 721597 426297 141049 212491 72757 772 1960 1150626 62397 15539 8114 17116 27966 214046 517244 2512 391 106167 2721 8586 72192 70407 0 22178 3050
"197901" 1186069 762825 127635 219175 76434 1186069 747095 436211 143645 216132 76434 746 2017 1186069 64760 16344 8970 18216 29924 219655 527126 2641 448 108327 2798 8797 76850 75627 0 22568 3018
"197902" 1231369 794820 129903 225711 80935 1231369 777348 451312 143226 227151 80935 705 2004 1231369 68017 17158 9771 19575 31634 228820 541952 2632 428 110970 2750 9017 80171 80506 0 24983 2985
"197903" 1278893 828811 132396 233353 84333 1278893 810186 466061 143615 238113 84333 680 1966 1278893 71139 17980 10437 21269 33210 238796 555237 2499 458 114109 2968 9322 82904 87309 0 28303 2953
"197904" 1316981 855730 135048 239448 86755 1316981 841047 473329 141206 245368 86755 654 1951 1316981 71562 18803 11001 23575 34567 245187 565014 3102 650 118422 3139 9604 86630 94778 0 28027 2920
"198001" 1357574 886053 137027 243912 90582 1357574 870928 484072 138210 255280 90582 633 1942 1357574 80956 20939 10779 25601 37063 249236 569986 4477 774 122395 3191 10054 91736 99954 0 27563 2870
"198002" 1383656 902249 138408 248864 94135 1383656 888420 492705 133344 265226 94135 601 1930 1383656 82902 23075 10767 28113 39152 252016 573244 4732 821 125564 3263 10295 95193 104016 0 27683 2820
"198003" 1421397 931500 140218 253808 95871 1421397 916287 502619 130408 276340 95871 572 1919 1421397 86807 25235 11278 30873 40406 256695 583204 4432 865 128062 3471 10597 97244 109691 0 29767 2770
"198004" 1457788 957872 142526 259903 97487 1457788 941322 514006 130824 285695 97487 550 1910 1457788 87215 27394 12217 33357 42073 262661 594290 4645 994 131081 3564 10890 100782 113959 0 29946 2720
"198101" 1484645 973089 143948 267511 100097 1484645 955977 526238 130908 295233 100097 520 1910 1484645 89339 29493 13906 35554 43448 265822 599597 4505 1055 132917 3748 11166 103049 117260 0 31086 2700
"198102" 1523516 996887 144952 278496 103181 1523516 979498 541613 136849 301583 103181 493 1912 1523516 95586 31615 15731 37793 44986 272694 607422 4136 1147 134659 3871 11602 105852 120851 0 32891 2680
"198103" 1555111 1014541 146039 288922 105609 1555111 997614 555114 141903 307602 105609 465 1918 1555111 99608 33761 17898 39547 45719 278859 611878 3828 1249 136036 3878 12200 110097 124370 0 33523 2660
"198104" 1579463 1030173 142377 299684 107229 1579463 1013758 563334 137084 319021 107229 441 1930 1579463 101367 35906 20339 41039 47012 284216 612159 3686 1341 137747 3913 12519 113411 128986 0 33182 2640
"198201" 1600766 1041556 143640 306619 108951 1600766 1024253 574147 135406 329790 108951 415 1952 1600766 105847 36483 21868 42173 47585 288774 607496 3125 1406 138830 3913 12990 116158 137628 0 33810 2680
"198202" 1625638 1055015 144694 315647 110282 1625638 1035777 587492 131944 345266 110282 383 1986 1625638 108713 37066 23247 43194 48618 294234 602905 3082 1448 139672 5386 13226 119961 146951 0 35215 2720
"198203" 1635378 1055286 144215 324780 111097 1635378 1034712 598293 124775 362421 111097 353 2020 1635378 104500 37656 24252 44602 48564 298194 589300 3099 1501 140477 6361 13667 124500 160231 0 35714 2760
"198204" 1661262 1070159 146112 333680 111311 1661262 1048213 610685 122872 376502 111311 322 2043 1661262 110860 38246 24961 46278 49376 301272 576324 2686 1600 141989 7770 13773 127500 178519 0 37308 2800
"198301" 1692001 1087111 147020 346330 111540 1692001 1045929 643707 137987 394180 111540 307 2058 1692001 109696 38689 25509 47885 48947 303947 579000 2765 1749 143329 9056 13983 129691 196517 0 38468 2770
"198302" 1739617 1116269 150761 360215 112372 1739617 1075463 661812 141828 407612 112372 275 2067 1739617 111330 39136 26274 49755 49736 311121 589904 3535 1954 144725 9709 14099 132551 213061 0 39987 2740
"198303" 1796261 1153394 155784 373975 113108 1796261 1111397 682532 146781 422643 113108 261 2071 1796261 110582 39589 27574 51647 50098 321244 608933 4051 2160 147356 10569 14149 133975 231538 0 40086 2710
"198304" 1850488 1186114 161229 389424 113721 1850488 1141734 706445 152799 439925 113721 241 2068 1850488 111156 40041 29305 54164 50596 330521 626858 4381 2311 150999 10124 14651 137898 244807 0 39996 2680
"198401" 1904629 1215847 167158 408654 112970 1904629 1171713 730562 156609 460983 112970 204 2150 1904629 110774 42877 31772 56580 50276 343888 642809 5538 2414 151301 9892 14726 141926 255930 0 41024 2902
"198402" 1972127 1254143 174957 429688 113339 1972127 1206848 762812 163598 485875 113339 180 2287 1972127 112100 45712 34252 59363 50519 356489 671835 6398 2490 153531 9369 14935 144588 263344 0 44078 3124
"198403" 2034339 1288719 180374 451779 113467 2034339 1242185 789585 167434 508684 113467 152 2417 2034339 114279 48579 36765 61772 49885 367853 696560 7020 2580 155372 9041 14961 146406 275538 0 44383 3345
"198404" 2091527 1321062 186145 471898 112422 2091527 1273719 815189 169429 533338 112422 141 2479 2091527 102545 51446 39311 64399 51463 381379 710128 7534 2664 156699 9735 15255 150123 288987 11000 45351 3508
"198501" 2167708 1385120 182816 487050 112722 2167708 1336149 828954 158993 557239 112722 116 2489 2167708 123186 52819 41009 66455 51664 390072 720804 7788 2869 158470 11041 15319 155376 304033 19153 44043 3607
"198502" 2234260 1427438 189290 505953 111579 2234260 1374179 857484 162000 583905 111579 96 2501 2234260 125127 54207 42493 68591 52161 402706 735626 8821 3047 162114 11804 15345 158216 321090 21054 48108 3750
"198503" 2302259 1476432 194964 522126 108737 2302259 1434355 865305 157445 599123 108737 83 2516 2302259 121334 55610 43447 71191 52741 417224 753329 10041 3197 164760 11361 15321 158983 343332 21644 54843 3901
"198504" 2367854 1526188 205915 541661 94090 2367854 1482627 882621 167824 620707 94090 72 2534 2367854 115486 57013 43983 74207 53304 431234 765654 11086 3339 171797 14016 15309 159734 367864 24580 53321 5927
"198601" 2415750 1556921 212974 554231 91624 2415750 1511061 901960 168960 641376 91624 61 2668 2415750 114370 55321 43818 78819 53305 443166 767469 13622 3623 174996 13862 15400 157415 394587 26020 53796 6161
"198602" 2491505 1615690 220862 565823 89130 2491505 1564427 924132 171657 663345 89130 52 2895 2491505 114697 53610 45091 81696 53083 458258 773072 15128 3843 180496 12992 15197 154448 429072 28721 65633 6468
"198603" 2577495 1682917 228838 579131 86609 2577495 1629785 944789 175556 682624 86609 40 2881 2577495 112332 51880 46259 83742 53135 476780 779106 17255 4075 185980 12609 15364 152140 475896 31177 73194 6571
"198604" 2654895 1729444 239394 601969 84088 2654895 1686618 965452 183954 697410 84088 36 2790 2654895 111917 50150 44676 86005 54357 504687 784809 19325 4348 193842 11255 15550 147775 531591 17898 70781 5929
