"DATES" "FL893111005.Q" "FL313111303.Q" "FL263111005.Q" "FL313011303.Q" "FL263111403.Q" "FL263111503.Q" "FL893011005.Q" "FL313011005.Q" "FL313011205.Q" "FL313011303.Q" "FL313011405.Q" "FL313011505.Q" "FL313111303.Q" "FL713011005.Q" "FL713011203.Q" "FL713011405.Q" "FL713011505.Q" "FL903011005.Q"
"197602" 9508 2629 6879 2316 3198 1365 21106 5759 0 2316 3243 200 2629 12718 11598 -45 1165 -11598
"197603" 10002 2654 7348 2357 3952 1039 21600 6752 0 2357 3994 401 2654 12194 11598 -42 638 -11598
"197604" 9814 2665 7149 2395 4434 320 21412 7004 0 2395 4459 150 2665 11743 11598 -25 170 -11598
"197701" 10121 2659 7462 2389 4812 261 21779 7452 22 2389 4838 203 2659 11668 11636 -26 58 -11658
"197702" 10172 2674 7498 2486 4920 92 21830 7500 38 2486 4941 35 2674 11656 11620 -21 57 -11658
"197703" 9999 2669 7330 2489 4776 65 21657 7350 63 2489 4797 1 2669 11638 11595 -21 64 -11658
"197704" 10385 2787 7598 2629 4951 18 22104 7603 1 2629 4973 0 2787 11714 11718 -22 18 -11719
"197801" 10311 2837 7474 2693 4701 80 22029 7429 0 2693 4722 14 2837 11763 11718 -21 66 -11718
"197802" 10001 2843 7158 2804 4270 84 21707 7128 0 2804 4298 26 2843 11736 11706 -28 58 -11706
"197803" 10121 2939 7182 2942 4214 26 21789 7188 0 2942 4240 6 2939 11662 11668 -26 20 -11668
"197804" 9968 2989 6979 1558 1047 4374 21639 5402 0 1558 1076 2768 2989 13248 11671 -29 1606 -11671
"197901" 14256 4077 10179 2667 1121 6391 25735 6446 0 2667 1142 2637 4077 15212 11479 -21 3754 -11479
"197902" 14035 4090 9945 2670 1204 6071 25358 7036 0 2670 1237 3129 4090 14232 11323 -33 2942 -11323
"197903" 11504 4175 7329 2725 1280 3324 22732 5826 0 2725 1313 1788 4175 12731 11228 -33 1536 -11228
"197904" 11957 4173 7784 2724 1253 3807 23129 5328 0 2724 1280 1324 4173 13628 11172 -27 2483 -11172
"198001" 15377 5058 10319 3681 1222 5416 26549 8013 0 3681 1250 3082 5058 13478 11172 -28 2334 -11172
"198002" 16124 5353 10771 3782 1385 5604 27296 8463 0 3782 1416 3265 5353 13480 11172 -31 2339 -11172
"198003" 17131 5305 11826 4007 1665 6154 28299 9620 0 4007 1704 3909 5305 13374 11168 -39 2245 -11168
"198004" 20751 5155 15596 2610 2852 10134 31911 10550 0 2610 2910 5030 5155 16206 11160 -58 5104 -11160
"198101" 25275 6019 19256 3913 3448 11895 36429 12240 0 3913 3492 4835 6019 18170 11154 -44 7060 -11154
"198102" 24066 5637 18429 3690 3988 10751 35220 12042 0 3690 4031 4321 5637 17541 11154 -43 6430 -11154
"198103" 24172 5608 18564 3896 4618 10050 35324 13037 0 3896 4658 4483 5608 16679 11152 -40 5567 -11152
"198104" 24627 5703 18924 4095 5055 9774 35778 13834 0 4095 5094 4645 5703 16241 11151 -39 5129 -11151
"198201" 24248 5454 18794 4306 5367 9121 35398 13881 0 4306 5407 4168 5454 16063 11150 -40 4953 -11150
"198202" 24873 5351 19522 4461 6062 8999 36022 14782 0 4461 6101 4220 5351 15889 11149 -39 4779 -11149
"198203" 25099 5254 19845 4809 6406 8630 36247 14760 0 4809 6437 3514 5254 16233 11148 -31 5116 -11148
"198204" 28215 5405 22810 5250 7348 10212 39363 17076 0 5250 7378 4448 5405 16882 11148 -30 5764 -11148
"198301" 28408 5285 23123 5229 9293 8601 39546 18173 0 5229 9305 3639 5285 16088 11138 -12 4962 -11138
"198302" 27979 5234 22745 5478 9413 7854 39110 18459 0 5478 9449 3532 5234 15417 11131 -36 4322 -11131
"198303" 27116 5178 21938 5628 9399 6911 38244 18255 0 5628 9437 3190 5178 14811 11128 -38 3721 -11128
"198304" 27756 5130 22626 5025 11312 6289 38877 18986 0 5025 11360 2601 5130 14761 11121 -48 3688 -11121
"198401" 29078 5214 23864 5341 11706 6817 40189 19888 0 5341 11741 2806 5214 15087 11111 -35 4011 -11111
"198402" 28499 5052 23447 5459 11659 6329 39599 19764 0 5459 11709 2596 5052 14783 11100 -50 3733 -11100
"198403" 28104 4895 23209 5554 11619 6036 39201 19734 0 5554 11666 2514 4895 14572 11097 -47 3522 -11097
"198404" 28641 4803 23838 5641 11541 6656 39737 20307 0 5641 11607 3059 4803 14627 11096 -66 3597 -11096
"198501" 29257 4857 24400 5973 11386 7041 40350 20469 0 5973 11426 3070 4857 15024 11093 -40 3971 -11093
"198502" 29888 4891 24997 6196 11394 7407 40978 20897 -1 6196 11444 3258 4891 15190 11091 -50 4149 -11090
"198503" 32395 5191 27204 6847 11686 8671 43485 22289 0 6847 11734 3708 5191 16005 11090 -48 4963 -11090
"198504" 37483 5382 32101 7293 11952 12856 48573 25129 0 7293 11996 5840 5382 18062 11090 -44 7016 -11090
"198601" 39406 5577 33829 7839 12025 13965 50496 26196 0 7839 12065 6292 5577 18723 11090 -40 7673 -11090
"198602" 41321 5770 35551 8213 12109 15229 52405 27405 0 8213 12163 7029 5770 19230 11084 -54 8200 -11084
"198603" 42948 5945 37003 8295 11922 16786 54032 27928 0 8295 11973 7660 5945 20159 11084 -51 9126 -11084
"198604" 43446 5993 37453 8395 11730 17328 54510 28038 0 8395 11790 7853 5993 20479 11064 -60 9475 -11064
"198701" 44042 6299 37743 8740 11711 17292 55123 28338 0 8740 11773 7825 6299 20486 11081 -62 9467 -11081
"198702" 40333 6262 34071 8856 11313 13902 51402 24962 0 8856 11381 4725 6262 20178 11069 -68 9177 -11069
"198703" 40265 6270 33995 9078 10918 13999 51340 26958 0 9078 10982 6898 6270 18112 11075 -64 7101 -11075
"198704" 41673 6951 34722 10283 11349 13090 52751 29112 0 10283 11415 7414 6951 16688 11078 -66 5676 -11078
"198801" 38920 6797 32123 9899 10645 11579 49983 25533 0 9899 10707 4927 6797 17653 11063 -62 6652 -11063
"198802" 36386 6421 29965 9180 9992 10793 47449 23799 0 9180 10052 4567 6421 17229 11063 -60 6226 -11063
"198803" 43048 6322 36726 9074 9637 18015 54110 27264 0 9074 9703 8487 6322 20524 11062 -66 9528 -11062
"198804" 43338 6593 36745 9637 9745 17363 54395 27671 -3 9637 9803 8234 6593 20131 11060 -58 9129 -11057
"198901" 45473 6334 39139 9789 9052 20298 56534 28725 0 9789 9123 9813 6334 21475 11061 -71 10485 -11061
"198902" 55892 6107 49785 9380 8888 31517 66955 30632 0 9380 8948 12304 6107 30216 11063 -60 19213 -11063
"198903" 63969 6270 57699 9833 8786 39080 75034 31356 0 9833 8854 12669 6270 37408 11065 -68 26411 -11065
"198904" 69989 6439 63550 9951 9048 44551 81048 32275 0 9951 9106 13218 6439 42334 11059 -58 31333 -11059
"199001" 71616 6373 65243 10092 8727 46424 82676 31852 0 10092 8788 12972 6373 44451 11060 -61 33452 -11060
"199002" 72719 6486 66233 10490 8449 47294 83784 32067 0 10490 8508 13069 6486 45231 11065 -59 34225 -11065
"199003" 75784 6823 68961 10666 8881 49414 86847 34568 0 10666 8942 14960 6823 45456 11063 -61 34454 -11063
"199004" 79228 6970 72258 10989 9076 52193 90286 39684 0 10989 9135 19560 6970 43632 11058 -59 32633 -11058
"199101" 73540 6596 66944 10368 8910 47666 84598 36904 0 10368 8966 17570 6596 41098 11058 -56 30096 -11058
"199102" 70319 6441 63878 10309 8629 44940 81381 35258 0 10309 8691 16258 6441 39682 11062 -62 28682 -11062
"199103" 70372 6703 63669 10722 9094 43853 81434 37793 0 10722 9157 17914 6703 36938 11062 -63 25939 -11062
"199104" 73670 7008 66662 11240 9488 45934 84727 39097 -2 11240 9551 18308 7008 38622 11059 -63 27626 -11057
"199201" 70321 6721 63600 10947 8994 43659 81378 37607 0 10947 9061 17599 6721 37050 11057 -67 26060 -11057
"199202" 73045 7012 66033 11597 9381 45055 84104 41615 -1 11597 9451 20568 7012 35477 11060 -70 24487 -11059
"199203" 74684 7216 67468 12111 9778 45579 85743 43109 1 12111 9850 21147 7216 35418 11058 -72 24432 -11059
"199204" 67004 6737 60267 8503 11759 40005 78060 38847 0 8503 11853 18491 6737 32476 11056 -94 21514 -11056
"199301" 70172 6848 63324 8787 12184 42353 81226 41089 0 8787 12277 20025 6848 33289 11054 -93 22328 -11054
"199302" 69788 6877 62911 8987 11926 41998 80845 40682 0 8987 12031 19664 6877 33286 11057 -105 22334 -11057
"199303" 71727 6949 64778 9203 12101 43474 82784 41605 0 9203 12200 20202 6949 34230 11057 -99 23272 -11057
"199304" 69119 6730 62389 9039 11818 41532 80172 40151 0 9039 11920 19192 6730 33291 11053 -102 22340 -11053
"199401" 72678 6921 65757 9383 12135 44239 83730 42559 0 9383 12234 20942 6921 34250 11052 -99 23297 -11052
