"DATES" "FL384104005.Q" "FL384104005.Q" "FL103169100.Q" "FL313161505.Q" "FL313161705.Q" "FL253162005.Q" "FL103163003.Q" "FL193168005.Q" "FL383169005.Q" "FL383165005.Q" "FL193165105.Q" "FL383165405.Q" "FL193165505.Q" "FL893065603.Q" "FL153166000.Q" "FL384104005.Q" "FL154104005.Q" "FL144104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263169005.Q" "FL394104005.Q"
"197504" 2261759 2261759 9616 434918 7874 222956 253783 224397 117220 783999 473944 100195 160007 49853 206996 2261759 734343 864192 571327 210729 82136 219359 443865 96888 559 26540 21619 48170 2358647
"197601" 2309878 2309878 10926 458709 8406 227091 260254 215718 123100 800766 486150 101651 162168 50797 204908 2309878 742450 875248 574053 217243 83952 224015 468166 101108 707 28895 22574 48932 2410986
"197602" 2372868 2372868 11818 467926 8448 236798 265211 221970 125983 821566 500987 103048 165221 52310 213148 2372868 767172 896824 587620 221537 87667 231469 477403 105591 920 30242 24415 50014 2478459
"197603" 2435138 2435138 10889 485779 8733 241084 270908 220666 130485 845906 518728 104316 168941 53921 220688 2435138 791770 912247 595491 225980 90777 235612 495509 108519 1140 32821 23907 50651 2543657
"197604" 2505286 2505286 11049 503744 8329 243876 276614 227011 137244 868458 534962 105235 172849 55412 228961 2505286 818922 935479 612073 231227 92180 237830 513055 115656 1282 34704 28395 51275 2620942
"197701" 2567085 2567085 12083 521624 8175 248344 282016 231609 143860 890219 550224 106489 176126 57380 229155 2567085 834870 962345 628081 238411 95853 239122 530748 115502 1608 35259 25920 52715 2682587
"197702" 2642753 2642753 12914 520678 8097 260914 285712 240396 147664 924330 575786 109123 179083 60338 242048 2642753 871947 994522 647005 245675 101842 246590 529694 118646 1816 36926 26271 53633 2761399
"197703" 2729510 2729510 13175 540610 7599 267803 291816 243553 150691 961310 603145 111231 184568 62366 252953 2729510 909973 1018301 660636 252367 105298 252133 549103 124238 1962 38806 28438 55032 2853748
"197704" 2826570 2826570 12808 560949 7556 273620 299491 250474 159421 997359 627680 113682 192048 63949 264892 2826570 946713 1054318 687089 261290 105939 256165 569374 128630 1847 39329 31449 56005 2955200
"197801" 2905281 2905281 13719 581775 7233 283342 303936 260041 163000 1025264 646034 116331 196950 65949 266971 2905281 967150 1084139 705984 270382 107773 264139 589853 133605 1934 40667 32596 58408 3038886
"197802" 3006021 3006021 14419 584399 7136 298639 310353 272508 168839 1065202 674494 119728 202238 68742 284526 3006021 1013666 1125168 729863 280317 114988 274834 592353 137344 2188 41844 34072 59240 3143365
"197803" 3104540 3104540 14992 599749 6584 311442 315522 276241 173871 1108117 707322 122085 207665 71045 298022 3104540 1059927 1152641 740445 292198 119998 284847 607125 141694 2580 42326 38845 57943 3246234
"197804" 3211224 3211224 15499 614866 6221 324876 320607 286122 183062 1148666 738206 124505 213198 72757 311305 3211224 1105353 1188411 761395 304822 122194 295601 621859 155669 2880 42148 49940 60701 3366893
"197901" 3291509 3291509 17665 625555 5593 334127 324975 294872 190851 1184052 762825 126969 217824 76434 313819 3291509 1134020 1223751 783761 313185 126806 301844 631894 154239 3106 43027 46484 61622 3445748
"197902" 3390789 3390789 20564 621532 5146 344686 330267 308762 203148 1229365 794820 129242 224368 80935 327319 3390789 1179411 1274460 808159 329920 136381 309535 627383 159374 3241 43564 48483 64086 3550163
"197903" 3499228 3499228 23828 634011 5070 355757 334133 320290 207684 1276927 828811 131747 232036 84333 341528 3499228 1228001 1314337 826823 345449 142065 317129 639761 172121 3976 45287 55195 67663 3671349
"197904" 3602957 3602957 24518 652058 4938 364182 337915 330504 219196 1315030 855730 134404 238141 86755 354616 3602957 1276063 1347028 843773 357532 145723 322216 657650 168516 4553 41966 52994 69003 3771473
"198001" 3693492 3693492 31052 669663 4874 370864 343860 339510 228375 1355632 886053 136386 242611 90582 349662 3693492 1304575 1387656 866655 369898 151103 326092 675170 169671 5217 42071 50252 72131 3863163
"198002" 3747966 3747966 36334 676274 4685 380809 355030 331544 235927 1381726 902249 137771 247571 94135 345637 3747966 1323979 1409919 872195 379764 157960 332508 681560 177467 5531 42980 53517 75439 3925433
"198003" 3843321 3843321 32189 704146 4573 390860 362374 341513 237852 1419478 931500 139585 252522 95871 350336 3843321 1357686 1436909 883460 392654 160795 339435 709291 184631 5828 43065 58193 77545 4027952
"198004" 3953526 3953526 28026 730006 4445 399440 365570 365002 247115 1455878 957872 141896 258623 97487 358044 3953526 1395999 1478092 910212 406403 161477 344434 735001 193448 6955 43524 64774 78195 4146974
"198101" 4040405 4040405 31837 764195 4391 408226 371608 362567 260944 1482735 973089 143318 266231 100097 353902 4040405 1408749 1513070 926296 420224 166550 349480 769106 196625 8483 43839 62706 81597 4237030
"198102" 4139520 4139520 37819 762029 4232 418219 379240 379687 275080 1521604 996887 144321 277215 103181 361610 4139520 1445222 1572212 965610 431322 175280 355332 766754 204781 9564 45178 64609 85430 4344301
"198103" 4249350 4249350 44081 780156 4170 431847 383712 396378 283885 1553193 1014541 145406 287637 105609 371928 4249350 1477254 1622678 1001746 441963 178969 364627 784791 210696 10088 46159 67874 86575 4460046
"198104" 4361689 4361689 42722 815934 4104 443653 390331 413545 295985 1577533 1030173 141740 298391 107229 377882 4361689 1507184 1661972 1027333 456848 177791 372054 820479 213961 10829 45675 67801 89656 4575650
"198201" 4450433 4450433 49836 848933 3506 456863 398241 420122 300581 1598814 1041556 142996 305311 108951 373537 4450433 1512839 1704633 1057711 467909 179013 380108 852854 186342 11381 46500 37053 91408 4636775
"198202" 4544943 4544943 51741 858032 3485 474230 403341 441028 308547 1623652 1055015 144039 314316 110282 380887 4544943 1536994 1753414 1087368 480683 185364 392635 861900 189863 13100 46857 35094 94812 4734806
"198203" 4659767 4659767 49726 915442 3443 491353 411321 455186 313123 1633358 1055286 143548 323427 111097 386815 4659767 1546456 1790842 1107213 495458 188171 403231 919238 196845 12936 50110 34319 99480 4856612
"198204" 4783435 4783435 37614 978111 3351 508049 420997 465672 313704 1659219 1070159 145438 332311 111311 396718 4783435 1576437 1811441 1117416 509531 184493 413774 981784 208127 15054 56604 33785 102684 4991562
"198301" 4888279 4888279 41187 1033871 3387 520910 427194 462919 316958 1689943 1087111 146341 344951 111540 391910 4888279 1569816 1859184 1146506 528891 183787 421714 1037565 213093 16787 57191 38212 100903 5101372
"198302" 5038878 5038878 38849 1080727 3344 543310 438317 465308 327635 1737550 1116269 150079 358830 112372 403838 5038878 1616742 1899396 1169155 542103 188138 438394 1084346 216881 18557 58243 38591 101490 5255759
"198303" 5193514 5193514 40547 1127468 3320 559704 442938 469960 334775 1794190 1153394 155101 372587 113108 420612 5193514 1672335 1940134 1192131 558674 189329 449996 1131049 219376 19386 58796 37809 103385 5412890
"198304" 5359243 5359243 36775 1163441 3311 575106 446980 490932 349400 1848420 1186114 160547 388038 113721 444878 5359243 1731996 1999145 1230430 580326 188389 461109 1166993 224139 21540 58569 37408 106622 5583382
"198401" 5516851 5516851 42518 1212520 3274 590092 455202 496298 362458 1902479 1215847 166449 407214 112970 452010 5516851 1758139 2071174 1276014 607656 187504 471540 1215998 227575 24158 58256 36586 108575 5744426
"198402" 5716496 5716496 53463 1243186 3262 610773 463644 513480 379049 1969840 1254143 174202 428156 113339 479799 5716496 1818609 2163251 1333802 638665 190784 488008 1246628 241404 30516 59048 35909 115931 5957900
"198403" 5912368 5912368 60349 1296544 3255 631749 477439 517814 391457 2031922 1288719 179576 450160 113467 501839 5912368 1876931 2230488 1371055 666999 192434 504998 1299951 232548 26707 59458 33640 112743 6144916
"198404" 6146190 6146190 58490 1360810 3244 650603 495058 545389 416964 2089048 1321062 185327 470237 112422 526584 6146190 1943280 2325082 1438310 698825 187947 513634 1364195 232823 27721 62810 30791 111501 6379013
"198501" 6338220 6338220 62972 1403360 3230 675913 513558 550178 427767 2165219 1385120 181995 485382 112722 536023 6338220 2015759 2378510 1465732 727033 185745 537245 1406706 231206 28638 63404 28666 110498 6569426
"198502" 6552007 6552007 68886 1449237 3221 705901 535693 563237 434481 2231759 1427438 188465 504277 111579 559592 6552007 2086959 2448878 1506210 755520 187147 563616 1452554 230114 29838 65475 27439 107362 6782121
"198503" 6758557 6758557 69036 1496064 3215 737592 554766 568809 443427 2299743 1476432 194134 520440 108737 585905 6758557 2177553 2492404 1536358 772840 183205 589238 1499362 233493 31417 66072 29753 106251 6992050
"198504" 7123092 7123092 72207 1586595 3217 859484 578234 589126 458335 2365320 1526188 205079 539963 94090 610574 7123092 2277781 2577496 1617784 798035 161678 677931 1589884 242493 33923 75020 27945 105605 7365585
"198601" 7246090 7246090 69514 1624193 3163 855878 614192 590754 468515 2413082 1556921 212094 552443 91624 606799 7246090 2299276 2639314 1660490 822611 156213 680083 1627417 243418 31895 79038 27046 105439 7489508
"198602" 7476084 7476084 68654 1675490 3165 883232 653462 592070 483510 2488610 1615690 219907 563883 89130 627891 7476084 2367988 2718268 1716285 846898 155085 711122 1678707 246202 36231 78309 28444 103218 7722286
