"DATES" "FL893169175.Q" "FL893169105.Q" "FL103169100.Q" "FL263169105.Q" "FL263169110.Q" "FL263169123.Q" "FL793169100.Q" "FL763169105.Q" "FL673169105.Q" "FL613169100.Q" "FL643169103.Q" "FL503169105.Q" "FL763169605.Q" "FL893169175.Q" "FL163069103.Q" "FL103069100.Q" "FL213069103.Q" "FL263069103.Q" "FL713069603.Q" "FL763069175.Q" "FL443069105.Q" "FL473069103.Q" "FL513069103.Q" "FL543069100.Q" "FL573069105.Q" "FL223069103.Q" "FL633069175.Q" "FL653069100.Q" "FL403069105.Q" "FL663069103.Q" "FL503069105.Q"
"196803" 25346 20976 4928 0 0 0 16048 0 0 16048 0 0 4370 25346 11208 5071 0 2527 49 3348 0 0 0 801 0 0 0 1171 0 0 1171
"196804" 25645 21173 4249 0 0 0 16924 0 0 16924 0 0 4472 25645 12168 5099 0 2826 58 2924 0 0 0 526 0 0 0 1022 0 0 1022
"196901" 28933 24424 4880 0 0 0 19544 200 0 19344 0 0 4509 28933 12889 6207 0 2871 74 3278 0 0 0 854 0 0 0 1380 0 0 1380
"196902" 31731 26802 4914 0 0 0 21888 1245 0 20643 0 0 4929 31731 14322 6806 0 3426 41 3460 0 0 0 698 0 0 0 1489 0 0 1489
"196903" 35763 30479 5778 0 0 0 24701 2595 0 22106 0 0 5284 35763 16655 7206 0 3844 60 3596 0 0 0 1019 0 0 0 1692 0 0 1691
"196904" 38106 32600 5356 0 0 0 27244 4294 0 22950 0 0 5506 38106 18534 7628 0 3820 64 3524 0 0 0 1365 0 0 0 1586 0 0 1585
"197001" 43690 38284 7044 0 0 0 31240 6477 0 24763 0 0 5406 43690 22663 8156 0 3902 76 3608 0 0 0 1715 0 0 0 1785 0 0 1785
"197002" 44985 38952 6895 0 0 0 32057 7603 0 24454 0 0 6033 44985 24822 8432 0 4352 32 3859 0 0 0 1655 0 0 0 917 0 0 916
"197003" 41147 35241 7361 0 0 0 27880 4618 0 23262 0 0 5906 41147 17559 8433 0 4209 87 4569 0 0 0 2519 0 0 0 1886 0 0 1885
"197004" 40200 33071 7133 0 0 0 25938 2349 0 23589 0 0 7129 40200 16569 9389 0 4307 57 4937 0 0 0 2142 0 0 0 1400 0 0 1399
"197101" 39940 32695 8333 0 0 0 24362 1692 0 22670 0 0 7245 39940 14884 9954 0 4202 88 5358 0 0 0 3018 0 0 0 1218 0 0 1218
"197102" 38623 30902 6856 0 0 0 24046 1733 0 22313 0 0 7721 38623 13765 9791 0 4116 12 5067 0 0 0 3679 0 0 0 1097 0 0 1096
"197103" 39911 31682 7434 0 0 0 24248 1900 0 22036 312 0 8229 39911 13728 10510 0 4264 41 5236 0 0 0 4078 0 0 0 1027 0 0 1027
"197104" 40094 32126 6247 0 0 0 25879 1973 0 23126 780 0 7968 40094 13768 11275 0 4148 80 5449 0 0 0 2770 0 0 0 1302 0 0 1302
"197201" 41680 33615 7538 0 0 0 26077 2172 0 22583 1322 0 8065 41680 13000 12388 0 4183 19 4887 0 0 0 3952 308 0 0 1347 0 250 1346
"197202" 41506 34366 8126 0 0 0 26240 1971 0 22332 1937 0 7140 41506 12073 13219 0 4179 23 4709 0 0 0 3564 794 0 0 1223 0 500 1222
"197203" 40680 34012 7761 0 0 0 26251 2368 0 21283 2600 0 6668 40680 9464 13513 0 3139 10 4569 0 0 0 4799 1322 0 0 1342 431 750 1341
"197204" 41688 34721 6968 0 0 0 27753 2637 0 21876 3240 0 6967 41688 9333 14235 0 4086 70 5468 0 0 0 2981 1755 0 0 1173 414 1000 1173
"197301" 40980 34052 5871 0 0 0 28181 3456 0 21625 3100 0 6928 40980 7064 13258 0 4096 144 4375 0 0 0 5237 2104 0 0 1647 159 1250 1646
"197302" 43095 35786 6032 0 0 0 29754 4283 0 22350 3121 0 7309 43095 8919 13437 0 4286 66 4234 0 0 0 4479 2382 0 0 1801 190 1500 1801
"197303" 45893 37641 6335 0 0 0 31306 5231 0 22155 3920 0 8252 45893 9660 13633 0 5264 57 4699 0 0 0 4100 2677 0 0 1980 94 1750 1979
"197304" 50054 41073 8382 0 0 0 32691 4881 0 23835 3975 0 8981 50054 14111 14876 0 4387 68 4966 0 0 0 3004 3079 0 0 1671 221 2000 1671
"197401" 54958 44690 9235 15 15 0 35440 6045 0 26015 3380 0 10268 54958 14668 16212 0 4500 30 5288 0 0 0 4414 3554 0 185 1757 343 2250 1757
"197402" 58152 44846 9967 1 1 0 34878 6952 0 26362 1564 0 13306 58152 17685 15131 0 4600 104 5825 0 0 0 3882 4069 0 353 1871 261 2500 1871
"197403" 65361 49166 12569 90 90 0 36507 8639 0 26973 895 0 16195 65361 22024 16933 0 4700 190 5990 0 0 0 3874 4670 0 578 1693 267 2750 1692
"197404" 67813 49144 12513 181 181 0 36450 8332 0 27408 710 0 18669 67813 22495 16520 0 4800 579 6391 0 0 0 4070 5403 0 645 1407 1097 3000 1406
"197501" 69744 50827 14009 255 255 0 36563 8954 0 26866 743 0 18917 69744 30347 6255 0 4950 628 7359 10 0 0 4682 6329 0 1050 1543 1799 3250 1542
"197502" 66683 48766 11658 388 388 0 36720 8791 0 27089 840 0 17917 66683 26437 6685 0 5100 282 7148 60 0 0 4768 7508 0 788 1345 1717 3500 1345
"197503" 65215 48257 11780 407 407 0 36070 8798 0 26488 784 0 16958 65215 21915 7267 0 5200 474 7871 140 0 0 6394 8447 0 738 1076 867 3750 1076
"197504" 66604 47690 9616 559 559 0 37515 8654 0 28032 829 0 18914 66604 19746 8371 0 5300 741 9771 400 0 0 4813 9066 0 528 1341 1186 4000 1341
"197601" 68428 49338 10926 707 707 0 37705 8427 0 28632 646 0 19090 68428 20641 9324 0 5375 540 8800 700 0 0 5247 9892 0 714 723 1595 3999 878
"197602" 70028 50047 11818 920 920 0 37309 8008 0 28694 607 0 19981 70028 21250 9073 0 5450 361 8698 942 0 0 6053 10440 0 837 742 1860 3492 830
"197603" 69647 49852 10889 1140 1140 0 37823 7894 0 29266 663 0 19795 69647 18956 9486 0 5525 88 9803 1142 0 0 6264 10756 0 772 570 1330 4287 668
"197604" 74789 52041 11049 1282 1282 0 39710 7859 0 31292 559 0 22748 74789 16851 10511 0 5600 196 13000 1190 0 0 5224 10952 0 944 823 1153 7217 1128
"197701" 77592 54671 12083 1608 1608 0 40980 7965 0 32501 514 0 22921 77592 24022 10494 0 5700 29 10379 1235 0 0 6724 11138 0 824 790 1392 3610 1255
"197702" 83046 59372 12914 1816 1816 0 44642 8530 0 35527 585 0 23674 83046 28271 9442 0 5800 43 10280 1280 0 0 6985 11272 0 927 1167 2333 3810 1436
"197703" 83502 59952 13175 1962 1962 0 44815 8915 0 35377 523 0 23550 83502 28547 8984 0 5900 4 10574 1325 0 0 7927 11309 0 916 1360 1739 3336 1581
"197704" 89789 63878 12808 1847 1847 0 49223 9135 0 39570 518 0 25911 89789 31539 9390 0 6000 0 13196 1420 0 0 4896 11314 0 1064 1335 1386 6670 1579
"197801" 91638 67215 13719 1934 1934 0 51562 10146 0 40875 541 0 24423 91638 31566 10332 0 6100 0 10395 1520 0 0 7784 11350 0 1505 1788 1149 6081 2068
"197802" 97416 72884 14419 2188 2188 0 56277 12027 0 43600 650 0 24532 97416 38562 9330 0 6200 0 10628 1615 0 0 7462 11335 0 2304 1815 788 5383 1994
"197803" 97117 74945 14992 2580 2580 0 57373 13005 0 43702 666 0 22172 97117 38267 9061 0 6300 0 11373 1715 0 0 9027 11173 0 2683 1429 236 4166 1687
"197804" 107456 82236 15499 2880 2880 0 63857 15835 0 47396 626 0 25220 107456 46230 9512 0 6465 0 11981 1840 0 0 6349 11162 0 3652 1883 188 5804 2390
"197901" 115734 90229 17665 3106 3106 0 69458 16435 0 52365 658 0 25505 115734 50799 8896 0 7000 0 11293 1970 0 0 8080 11593 0 7012 1842 170 4960 2119
"197902" 128400 100201 20564 3241 3206 35 76396 18956 0 56691 749 0 28199 128400 53900 8604 0 7500 0 12011 2100 0 0 9041 12498 0 10684 1844 47 8025 2146
"197903" 137501 104935 23828 3976 3824 152 77131 20415 0 56058 658 0 32566 137501 57345 7732 0 8000 0 12566 2217 0 0 10126 13894 0 13471 1925 52 7861 2312
"197904" 144985 110892 24518 4553 4297 256 81821 20382 0 60678 761 0 34093 144985 56004 9586 0 8412 0 14059 2580 0 0 7957 15396 0 19298 1808 336 7169 2380
"198001" 155653 118162 31052 5217 4846 371 81893 22502 0 58743 648 0 37491 155653 60332 10176 0 8650 0 12634 2930 0 0 7302 16622 0 26145 1936 488 6144 2294
"198002" 164302 123247 36334 5531 5027 504 81382 22624 0 45487 572 12699 41055 164302 52550 9757 0 8900 0 14767 3270 0 0 8196 17673 0 36314 1710 1159 7913 2093
"198003" 161823 119781 32189 5828 5240 588 81764 23062 0 44768 516 13418 42042 161823 49723 9264 0 9150 0 15657 3618 0 0 10978 18655 0 32261 2157 658 6655 3047
"198004" 163820 121597 28026 6955 5904 1051 86616 25943 0 47617 533 12523 42223 163820 52267 9132 0 9334 0 15753 3800 0 0 10142 19539 0 31561 2306 374 6750 2862
"198101" 176604 130118 31837 8483 6643 1840 89798 25767 0 49395 548 14088 46486 176604 55275 8799 0 9000 0 15483 3980 0 0 12795 20303 0 46244 1764 267 6799 -4105
"198102" 194563 145994 37819 9564 6526 3038 98611 28857 0 54839 548 14367 48569 194563 47140 8163 0 8700 0 17063 4160 0 5 14088 21805 0 55351 2031 300 10730 5027
"198103" 212570 161717 44081 10088 6216 3872 107548 32609 0 57120 550 17269 50853 212570 40112 8021 0 8400 0 16050 4339 0 25 17278 23241 0 71137 2149 402 8031 13385
"198104" 215070 161114 42722 10829 6484 4345 107563 32959 0 57238 553 16813 53956 215070 42000 8199 0 8041 0 16497 5100 0 50 17564 24522 0 70399 2233 686 11572 8207
"198201" 222460 166527 49836 11381 6880 4501 105310 34634 0 52226 522 17928 55933 222460 46011 7908 0 7600 0 18794 5850 0 102 19084 21978 0 73065 2289 432 9425 9922
"198202" 239219 180015 51741 13100 7191 5909 115174 38016 0 56609 491 20058 59204 239219 52849 8236 0 7200 0 16256 6600 0 246 20631 20610 0 78219 2546 486 13009 12331
"198203" 230488 171627 49726 12936 6685 6251 108965 33685 0 52465 460 22355 58861 230488 45611 7731 0 6800 0 17052 7349 0 540 22359 17806 0 74799 2125 246 14399 13671
"198204" 226843 161828 37614 15054 5506 9548 109160 34550 0 51425 429 22756 65015 226843 48718 7948 0 6329 0 16810 6850 0 2038 21735 15215 0 69112 2074 404 16447 13163
"198301" 226311 166995 41187 16787 4770 12017 109021 34981 0 51931 412 21697 59316 226311 47958 8071 0 7445 0 14096 6375 0 2822 24737 14240 164 61832 2685 658 8315 26913
"198302" 233658 172180 38849 18557 5208 13349 114774 35612 220 56059 395 22488 61478 233658 42190 9343 0 7132 0 14463 5900 0 3720 25122 15295 406 66325 2989 304 8954 31515
"198303" 242383 176991 40547 19386 5602 13784 117058 37158 440 56936 378 22146 65392 242383 36474 9943 0 6959 0 14617 5848 0 5108 26722 16989 695 68790 2947 520 10208 36563
"198304" 253778 183498 36775 21540 5647 15893 125183 38007 660 60479 361 25676 70280 253778 43780 12188 0 7116 0 14340 5185 0 6859 25162 17237 1000 66161 2855 783 11598 39514
"198401" 268645 200365 42518 24158 6650 17508 133689 41384 880 65453 416 25556 68280 268645 43994 12632 0 8284 0 13415 4585 119 7552 28696 19766 1321 74832 7351 754 10641 34703
"198402" 296549 220594 53463 30516 6718 23798 136615 45904 1100 69424 472 19715 75955 296549 52361 11246 0 8544 0 13117 3984 181 8563 30312 22288 1657 79297 8288 619 11596 44496
"198403" 300622 226700 60349 26707 6845 19862 139644 43025 1320 68049 529 26721 73922 300622 55652 11189 0 9720 0 14044 3385 153 8807 31871 22370 2040 85117 9918 452 13092 32812
"198404" 305701 231724 58490 27721 6494 21227 145513 44140 1540 73122 588 26123 73977 305701 65640 9742 0 8327 0 12553 3750 62 8957 29306 19714 2500 97271 8471 683 17301 21424
"198501" 317853 247603 62972 28638 7819 20819 155993 45638 1760 79489 623 28483 70250 317853 58800 10202 0 8763 0 9143 6852 153 9434 31975 19533 3039 95809 7773 526 10499 45352
"198502" 326920 259662 68886 29838 7870 21968 160938 45596 1980 84671 657 28034 67258 326920 56106 9798 0 7655 0 10154 5343 126 9830 31560 19594 3656 107577 8312 430 12618 44161
"198503" 343467 277700 69036 31417 7677 23740 177247 45557 2200 96218 690 32582 65767 343467 58388 9326 0 8040 0 9304 4924 192 10603 32737 20196 4320 100222 9413 351 13928 61523
"198504" 358526 293909 72207 33923 7963 25960 187779 46380 2420 102684 723 35572 64617 358526 56471 10478 0 8166 0 9696 3508 176 11809 29063 22072 5000 98381 7945 98 14549 81114
"198601" 359798 298885 69514 31895 10629 21266 197476 38361 2640 108615 814 47046 60913 359798 46010 11646 0 9019 0 9437 4830 151 11836 28699 23867 5714 101220 12683 36 16125 78525
"198602" 374342 314598 68654 36231 11006 25225 209713 41715 2860 113773 773 50592 59744 374342 46360 10268 0 9518 0 8922 4003 148 11764 29451 24560 6480 108671 12194 40 18140 83823
"198603" 388864 326967 72779 39908 10893 29015 214280 39435 3080 118742 925 52098 61897 388864 59181 9378 0 8051 0 7573 3914 100 11731 33428 25385 7355 117012 13236 82 15109 77329
"198604" 384904 326144 62865 37407 10148 27259 225872 43125 3300 124274 1051 54122 58760 384904 56132 10173 0 8038 0 8575 5286 744 11872 34484 26409 8270 104434 15844 87 12599 81957
"198701" 396222 337133 63593 37278 10838 26440 236262 48749 3677 125805 1265 56766 59089 396222 51388 12384 0 7225 0 7839 6157 157 11933 35168 28982 9211 108360 19608 104 10042 87664
"198702" 414601 351253 67916 35587 11151 24436 247750 50292 4096 127554 1242 64566 63348 414601 50753 13815 0 9609 0 8015 3917 198 11992 33215 31795 10170 105583 19808 69 11354 104308
"198703" 421195 360173 68108 40610 11217 29393 251455 49390 4564 131831 1249 64421 61022 421195 45110 16886 86 10624 0 7024 3057 204 12100 36511 33869 10929 110526 23587 34 12846 97802
"198704" 437922 373586 73768 41245 12544 28701 258573 44601 5084 134986 1406 72496 64336 437922 55346 14966 219 9021 0 11219 4251 459 12310 34039 33605 11272 110119 19483 40 14150 107423
"198801" 447503 388492 73507 42544 12230 30314 272441 45052 5467 132488 1431 88003 59011 447503 54134 12295 367 10363 0 7980 4006 470 12654 36653 30930 11247 117289 29254 262 14564 105035
"198802" 474751 415125 77847 44037 12325 31712 293241 46742 5879 139322 1423 99875 59626 474751 63158 15348 500 8116 0 7968 3588 599 13164 38054 30949 10900 119257 23522 200 17381 122047
"198803" 484669 425236 80303 46432 12303 34129 298501 44788 6321 137416 1397 108579 59433 484669 79925 13725 609 11037 0 9463 3295 724 13659 40964 28608 10468 116589 28807 200 14158 112438
