"DATES" "FL714090005.Q" "FL713011005.Q" "FL713014003.Q" "FL713012003.Q" "FL713022003.Q" "FL713068705.Q" "FL713068703.Q" "FL723069143.Q" "FL712050000.Q" "FL714004005.Q" "FL713069603.Q" "FL713061100.Q" "FL713061705.Q" "FL713068005.Q" "FL713068303.Q" "FL713068473.Q" "FL663168005.Q" "FL713068513.Q" "FL713068523.Q" "FL713068533.Q" "FL713068543.Q" "FL713068553.Q" "FL713064103.Q" "FL713090005.Q" "FL713091103.Q" "FL713093005.Q" "FL714190005.Q" "FL713113003.Q" "FL723025000.Q" "FL713120005.Q" "FL713123005.Q" "FL713123023.Q" "FL713123030.Q" "FL713123043.Q" "FL713122605.Q" "FL713124003.Q" "FL713125005.Q" "FL712150003.Q" "FL713190005.Q" "FL713164003.Q" "FL713193005.Q"
"196103" 51565 17307 0 5406 1300 82 82 0 210 26906 23 26881 0 2 0 2 0 0 0 0 0 0 0 354 0 354 50649 16310 3870 30060 901 416 485 0 369 0 28790 0 409 432 -23
"196104" 53981 16842 0 5429 2300 115 115 0 162 28785 48 28722 0 15 0 15 0 0 0 0 0 0 0 348 0 348 53093 17387 3689 31412 887 422 465 0 294 0 30231 0 605 445 160
"196201" 52427 16643 0 5432 918 170 170 0 220 28665 21 28579 0 65 0 65 0 0 0 0 0 0 0 379 0 379 51454 16786 3900 30221 899 437 462 0 262 0 29060 0 547 453 94
"196202" 53893 16825 0 5442 1462 43 43 0 270 29486 40 29413 0 33 0 33 0 0 0 0 0 0 0 365 0 365 52912 17206 3185 31929 991 379 612 0 353 0 30585 0 592 458 134
"196203" 53714 16372 0 5394 1641 762 762 0 320 28827 14 28802 0 11 0 11 0 0 0 0 0 0 0 398 0 398 52726 17105 4270 30769 916 405 511 0 273 0 29580 0 582 462 120
"196204" 55704 16011 0 5411 2903 37 37 0 400 30531 52 30478 0 1 0 1 0 0 0 0 0 0 0 411 0 411 54770 17454 4519 32090 977 380 597 0 292 0 30821 0 707 467 240
"196301" 53872 15923 0 5422 1223 194 194 0 320 30396 29 30337 0 30 0 30 0 0 0 0 0 0 0 394 0 394 52845 16410 4210 31740 1291 440 851 0 219 0 30230 0 485 478 7
"196302" 55364 15753 0 5431 1638 96 96 0 220 31850 23 31827 0 0 0 0 0 0 0 0 0 0 0 376 0 376 54330 16965 3483 33381 1175 369 806 0 219 0 31987 0 501 481 20
"196303" 55498 15601 0 5432 1435 465 465 0 120 32053 16 32007 0 30 0 30 0 0 0 0 0 0 0 392 0 392 54449 16621 4550 32798 1328 388 940 0 180 0 31290 0 480 487 -7
"196304" 57805 15614 0 5422 2600 31 31 0 103 33684 70 33582 0 32 0 32 0 0 0 0 0 0 0 351 0 351 56815 17049 4259 34890 1241 361 880 0 216 0 33433 0 617 497 120
"196401" 56636 15721 0 5423 1497 55 55 0 280 33223 40 33183 0 0 0 0 0 0 0 0 0 0 0 437 0 437 55530 16611 4500 33905 1516 415 1101 0 174 0 32215 0 514 508 6
"196402" 57898 15538 0 5422 1633 79 79 0 360 34517 23 34494 0 0 0 0 0 0 0 0 0 0 0 349 0 349 56780 16973 4539 34721 1330 391 939 0 196 0 33195 0 547 513 34
"196403" 58547 15581 0 5397 1567 93 93 0 440 35011 59 34950 0 2 0 2 0 0 0 0 0 0 0 458 0 458 57419 17121 4780 34920 1367 434 933 0 175 0 33378 0 598 518 80
"196404" 61176 15638 0 5249 2606 156 156 0 573 36595 59 36506 0 30 0 30 0 0 0 0 0 0 0 359 0 359 60652 17850 4532 36942 1586 612 974 0 269 0 35087 0 1328 524 804
"196501" 59560 14890 0 5234 1114 109 109 0 550 37199 93 37091 0 15 0 15 0 0 0 0 0 0 0 464 0 464 58920 17277 4840 35746 1569 702 867 0 201 0 33976 0 1057 536 521
