"DATES" "FL724090005.Q" "FL723020005.Q" "FL724005005.Q" "FL723069175.Q" "FL723061100.Q" "FL723061705.Q" "FL723061753.Q" "FL723061763.Q" "FL723061795.Q" "FL723062000.Q" "FL723063005.Q" "FL723065773.Q" "FL723063663.Q" "FL723063095.Q" "FL723068005.Q" "FL723065005.Q" "FL723066000.Q" "FL723067003.Q" "FL723064105.Q" "FL723064203.Q" "FL293169723.Q" "FL723090005.Q" "FL724190005.Q" "FL724110005.Q" "FL713022003.Q" "FL713068705.Q" "FL724112005.Q" "FL724116005.Q" "FL723127005.Q" "FL723123005.Q" "FL723122605.Q" "FL723129205.Q" "FL723131005.Q" "FL723135005.Q" "FL722150005.Q" "FL723169175.Q" "FL723163003.Q" "FL723169305.Q" "FL723178003.Q" "FL723190005.Q" "FL723194733.Q" "FL723193005.Q" "FL724004005.Q" "FL723066303.Q"
"196504" 336035 23298 307420 1787 59547 5794 0 0 5794 38655 1115 0 0 1115 97520 49301 45212 8489 0 0 2714 2603 312522 5017 2248 96 1572 1101 146990 5525 4065 137400 116662 30535 1749 2741 1590 0 702 6536 0 6536 301645 0
"196601" 332316 23411 303793 1827 55430 5926 0 0 5926 39605 1034 0 0 1034 96840 50260 45871 7000 0 0 2710 2402 308803 4468 1388 579 1058 1443 139126 5120 3950 130056 119887 31878 943 2738 1633 0 947 7183 0 7183 299503 0
"196602" 346533 23798 316497 1499 53503 6553 0 0 6553 40612 1028 0 0 1028 105385 51902 47382 8633 0 0 2736 3502 322337 5798 1957 287 2013 1541 145591 10997 3797 130797 124214 32481 1399 2763 1694 0 549 7848 0 7848 310600 0
"196603" 345165 23900 315619 1562 53610 5726 0 0 5726 41440 1078 0 0 1078 104096 53188 47919 7000 0 0 2696 2950 320879 7804 1647 979 2401 2777 138974 6000 4025 128949 125920 32928 1592 2723 1694 0 550 8694 0 8694 311315 0
"196604" 356417 25244 325231 1703 56163 6093 0 0 6093 41004 1130 0 0 1130 108010 53922 48182 9024 0 0 2882 3060 331698 8707 2510 173 2267 3757 148597 4992 4251 139354 127701 32820 1674 2911 1694 0 671 6923 0 6923 319089 0
"196701" 357153 24589 327053 2360 57830 6651 0 0 6651 43402 1409 0 0 1409 105038 54033 48030 8300 0 0 2963 2548 332380 5381 1260 29 989 3103 141810 5520 4150 132140 133800 35939 1364 2993 1897 0 823 8373 0 8373 321716 0
"196702" 367229 24359 336476 2552 54233 7607 0 0 7607 46872 1682 0 0 1682 110468 55192 49622 8248 0 0 3305 3089 341821 6170 1345 53 1886 2886 144371 5152 4066 135153 139383 36485 1241 3338 1920 0 508 8405 0 8405 331533 0
"196703" 378314 26291 345858 2816 60090 7949 0 0 7949 48045 1777 0 0 1777 108128 56902 50851 9300 0 0 3317 2848 353066 7912 1235 171 2739 3767 148650 7022 4300 137328 143702 36964 788 3350 1955 0 583 9162 0 9162 339875 0
"196704" 396278 27023 362007 2650 62473 9130 0 0 9130 50006 1868 0 0 1868 115305 58400 51691 10484 0 0 3454 3794 369874 9482 2483 141 2945 3913 160572 5234 4562 150776 145762 38622 1659 3488 1963 0 590 7736 0 7736 354977 0
"196801" 393753 27482 358572 2935 61200 9430 0 0 9430 51331 1917 0 0 1917 111627 59470 51962 8700 0 0 3469 4230 367285 8691 1344 1390 1296 4661 150422 5320 4480 140622 150491 39476 1460 3503 1963 0 579 10700 0 10700 353341 0
"196802" 403265 26652 369073 2620 58604 9325 0 0 9325 52634 1975 0 0 1975 119074 61287 54327 9227 0 0 3429 4111 375952 11396 1938 292 3231 5935 154770 4970 4402 145398 153466 37750 3152 3463 2139 0 490 9326 0 9326 363275 0
"196803" 419259 29073 381937 3025 62540 9726 0 0 9726 55444 2031 0 0 2031 118153 63068 56550 11400 0 0 3462 4787 391881 13312 1770 1565 3157 6820 159770 9040 4600 146130 157357 41371 3800 3496 2222 0 582 9971 0 9971 373999 0
"196804" 439697 29054 401678 2606 64466 10426 0 0 10426 58573 2128 0 0 2128 128252 64959 58464 11804 0 0 3542 5423 411512 13188 3482 188 3816 5702 172726 5010 4836 162880 159676 45208 2586 3578 2221 0 539 11790 0 11790 393416 0
"196901" 430958 28556 393567 2919 58510 10103 0 0 10103 58763 2145 0 0 2145 126764 66366 59197 8800 0 0 3571 5264 403705 15192 2034 997 2862 9299 158051 5510 4825 147716 162934 40702 5486 3607 2097 0 674 14962 1000 13962 388338 0
"196902" 441717 27066 404546 3069 54044 10143 0 0 10143 60081 1717 0 0 1717 135240 68272 61695 10285 0 0 3904 6201 414804 21201 1472 1049 5702 12978 164970 5639 4814 154517 163489 37898 6519 3943 2009 0 541 14234 2000 12234 398165 0
"196903" 438702 29458 399344 3145 53200 9329 0 0 9329 59720 1653 0 0 1653 131868 69526 62703 8200 0 0 4186 5714 413022 17111 2313 1526 4097 9175 161884 7610 5000 149274 164239 31191 9395 4227 2015 0 649 22311 3000 19311 395330 0
"196904" 452520 29405 413541 3021 54709 10086 0 0 10086 59183 1591 0 0 1591 141029 69832 63395 10695 0 0 4361 5213 427011 19899 3440 183 4110 12166 177372 5054 5205 167113 165771 29453 8707 4405 2037 0 617 18750 4000 14750 407207 0
"197001" 441136 29508 401810 2965 51520 10434 0 0 10434 60161 1579 0 0 1579 133578 70247 62526 8800 0 0 4282 5536 416513 18836 2237 1554 3975 11070 160688 6140 5225 149323 167275 30274 9169 4325 2060 0 1027 22859 5000 17859 397292 0
"197002" 452740 29081 412935 3221 51569 10489 0 0 10489 62885 1795 0 0 1795 140416 70661 64022 7877 0 0 4778 5946 428070 18992 2562 330 5715 10385 168108 8076 5238 154794 171742 33744 6315 4826 2093 0 769 21481 6000 15481 409836 0
"197003" 468028 31198 425982 3762 55750 11433 0 0 11433 65656 2086 0 0 2086 140819 71742 65434 9300 0 0 4678 6170 445351 18140 2313 853 5832 9142 167348 8470 5500 153378 174088 47421 5095 4725 2110 0 942 25482 8000 17482 421360 0
"197004" 489671 31197 448047 4064 61742 13927 0 0 13927 69637 2372 0 0 2372 146052 72492 65625 12136 0 0 5646 4781 468410 16032 4261 335 5363 6073 182498 7938 5729 168831 179924 52562 4650 5703 2135 0 957 23949 10000 13949 441557 0
"197101" 493997 33162 448963 4517 61620 14701 0 0 14701 74084 2726 0 0 2726 141773 73615 65927 10000 0 0 5738 6134 473826 13167 2550 391 7254 2972 167915 4520 5425 157970 191411 57436 5776 5796 2550 0 1185 28590 11000 17590 444701 0
"197102" 509371 32184 465902 4246 60254 16304 0 0 16304 77266 3084 0 0 3084 150373 75776 68903 9696 0 0 6116 5169 488756 13181 2549 446 8547 1639 178626 8412 5098 165116 198473 57035 5723 6177 2638 0 750 26153 12000 14153 462322 0
"197103" 519032 33524 473146 4359 58740 16436 0 0 16436 79374 3346 0 0 3346 150033 79118 71740 10000 0 0 6518 5844 500317 11156 2527 382 6336 1911 176425 8920 5175 162330 201959 61119 8856 6583 2775 0 862 30582 14000 16582 469664 0
"197104" 545319 35329 499105 4505 64930 17936 0 0 17936 82420 3606 0 0 3606 156872 81600 74325 12911 0 0 6311 4574 526782 8986 4343 39 3587 1017 195471 10169 5233 180069 208493 64972 8666 6374 2990 0 930 29900 15000 14900 492505 0
"197201" 551085 36521 502647 3873 62500 18755 0 0 18755 84916 4058 0 0 4058 156202 84697 75646 12000 0 0 6388 5529 533520 2938 2673 1030 -1503 738 189445 8740 5580 175125 217888 65871 12774 6452 3486 0 885 33781 16000 17781 497035 0
"197202" 568465 34281 522761 3698 60258 19633 0 0 19633 86598 4518 0 0 4518 165231 89219 80008 13598 0 0 5655 5768 550283 4388 3299 130 54 905 194532 9083 5957 179492 222105 71649 13113 5712 3623 0 600 34561 17000 17561 514818 0
"197203" 584270 35532 536166 3443 60290 19866 0 0 19866 88585 4761 0 0 4761 167051 94077 83393 14700 0 0 5282 7290 568096 1358 3742 842 -4019 793 198483 9470 6293 182720 226997 77669 14307 5334 3760 0 730 39458 19000 20458 526748 0
"197204" 616313 34295 570476 4265 66945 21709 0 0 21709 89529 4838 0 0 4838 180390 98390 87001 17409 0 0 5518 6024 600741 5005 3974 1981 -1419 469 218373 10870 6340 201163 232997 82110 10836 5574 4127 0 730 40989 21000 19989 558585 0
"197301" 627847 35762 579639 2965 61088 21757 0 0 21757 90187 4775 0 0 4775 193519 102608 89240 13500 0 0 5487 6959 612851 1400 2121 2028 -2940 191 204024 11382 6081 186561 239950 94371 18307 5542 4059 0 1005 44193 22000 22193 571626 0
"197302" 649042 32484 604530 2619 57773 24065 0 0 24065 91305 4691 0 0 4691 208455 108185 94107 13330 0 0 5790 6238 632850 1202 2048 1770 -3241 625 209270 10423 6687 192160 244059 101253 21842 5847 3959 0 715 44703 23000 21703 596990 0
"197303" 673402 40633 618782 3362 54984 26642 0 0 26642 92124 4947 0 0 4947 213312 113783 97529 12099 0 0 6536 7451 657470 5419 3036 4522 -2334 195 204901 8203 6918 189780 239702 120075 27441 6602 3940 0 815 48575 24000 24575 613219 0
"197304" 696289 37748 646008 3525 58177 29096 0 0 29096 95139 5211 0 0 5211 222701 117980 99620 14559 0 0 7114 5419 680606 -932 3099 1258 -4847 -442 230851 9862 8566 212423 245620 119165 27090 7185 4135 0 815 46677 25000 21677 638563 0
"197401" 704281 38119 652283 3682 57389 29840 0 0 29840 97152 5306 0 0 5306 227390 120730 99294 11500 0 0 8133 5746 689785 3723 2222 2033 -2892 2360 210594 8607 9024 192963 254777 124418 32223 8214 4200 0 1075 50561 27000 23561 648916 0
"197402" 730909 38441 679185 3984 51981 31176 0 0 31176 99849 5425 0 0 5425 246311 126106 102221 12132 0 0 10539 2744 716522 5271 2297 3210 107 -343 211926 8364 9477 194085 256302 141724 34379 10645 4310 0 775 51190 29000 22190 677592 0
"197403" 747691 43763 686701 4123 50550 31823 0 0 31823 98963 5555 0 0 5555 250347 129118 104123 12099 0 0 12828 4399 735337 4737 3721 5192 -1764 -2412 209527 7377 9558 192592 255244 154439 37170 12956 4300 0 940 56024 31000 25024 687430 0
"197404" 757468 37483 702333 4297 54286 32590 0 0 32590 100369 6218 0 0 6218 257506 130493 102989 13585 0 0 14787 2865 744578 -6151 2001 299 -5774 -2677 229526 4804 10637 214085 263701 157390 28477 14935 4290 0 940 51470 32000 19470 703535 0
