"DATES" "FL554090005.Q" "FL554004005.Q" "FL553061103.Q" "FL553062003.Q" "FL553063003.Q" "FL553064103.Q" "FL554090005.Q" "FL564090005.Q" "FL564004005.Q" "FL563061103.Q" "FL563062003.Q" "FL563063003.Q" "FL563064103.Q" "FL564090005.Q"
"200003" 148763 109440 7555 69596 32289 39323 148763 49702 0 0 0 0 49702 49702
"200004" 141864 105253 6653 67728 30872 36611 141864 65585 0 0 0 0 65585 65585
"200101" 136062 103517 5721 68642 29154 32545 136062 66006 0 0 0 0 66006 66006
"200102" 137394 103488 5823 70004 27661 33906 137394 75560 0 0 0 0 75560 75560
"200103" 132516 103364 5820 71999 25545 29152 132516 64345 0 0 0 0 64345 64345
"200104" 139543 108468 6716 74679 27073 31075 139543 82992 0 0 0 0 82992 82992
"200201" 143149 112122 4940 76839 30343 31027 143149 88204 0 0 0 0 88204 88204
"200202" 143069 112712 4755 78883 29074 30357 143069 88951 0 0 0 0 88951 88951
"200203" 143482 112668 4752 81086 26830 30814 143482 82073 3747 2099 0 1648 78326 82073
"200204" 150835 117110 3937 86027 27146 33725 150835 101958 3730 1977 0 1753 98228 101958
"200301" 157511 123647 4018 87052 32577 33864 157511 100604 3443 1527 0 1916 97161 100604
"200302" 178250 138069 4135 86741 47193 40181 178250 121251 3547 1267 0 2280 117704 121251
"200303" 194427 148656 4414 88836 55406 45771 194427 119487 3940 1761 0 2179 115547 119487
"200304" 205594 152575 4556 89252 58767 53019 205594 150766 4451 2068 0 2383 146315 150766
"200401" 222254 154994 5842 88792 60360 67260 222254 161348 5733 2967 0 2766 155615 161348
"200402" 231795 160448 6469 90249 63730 71347 231795 178448 6619 3710 0 2909 171829 178448
"200403" 235496 160516 6682 89737 64097 74980 235496 181114 7181 4077 0 3104 173933 181114
"200404" 245947 163620 6842 89148 67630 82327 245947 227254 8230 4881 0 3349 219024 227254
"200501" 254490 165927 7026 89417 69484 88563 254490 231146 11156 7214 0 3942 219990 231146
"200502" 262797 166847 7389 90053 69405 95950 262797 244899 12021 7738 0 4283 232878 244899
"200503" 270253 166644 7129 89636 69879 103609 270253 262690 13787 8866 0 4921 248903 262690
"200504" 271404 165816 7118 89366 69332 105588 271404 300804 14988 9701 0 5287 285816 300804
"200601" 278094 168226 6706 89136 72384 109868 278094 329470 15740 10045 0 5695 313730 329470
"200602" 280363 172351 7127 89621 75603 108012 280363 346163 18023 11813 0 6210 328140 346163
"200603" 282642 170439 7142 89000 74297 112203 282642 361726 18731 12089 0 6642 342995 361726
"200604" 294299 171822 7358 89390 75074 122477 294299 422754 20718 13072 0 7646 402036 422754
"200701" 308754 171602 7154 88844 75604 137152 308754 444275 22423 13882 0 8541 421852 444275
"200702" 322146 175085 6640 88610 79835 147061 322146 486354 26327 16059 0 10268 460027 486354
"200703" 324234 170596 6472 87203 76921 153638 324234 550988 29088 17157 360 11571 521900 550988
"200704" 317111 170937 5617 91273 74047 146174 317111 607691 34036 19650 571 13815 573655 607691
"200801" 298290 165539 5386 89253 70900 132751 298290 569491 38920 21028 1073 16819 530571 569491
"200802" 285126 159680 5180 86769 67731 125446 285126 577347 44545 22596 1511 20438 532802 577347
"200803" 250922 149045 4723 82472 61850 101877 250922 580169 51452 26577 1760 23115 528717 580169
"200804" 206886 131204 3185 78500 49519 75682 206886 530934 56987 27043 2251 27693 473947 530934
"200901" 200561 131481 3270 79691 48520 69080 200561 481860 69018 31648 3066 34304 412842 481860
"200902" 214829 135852 3673 80971 51208 78977 214829 588352 80492 35575 3962 40955 507860 588352
"200903" 227041 139260 3895 81869 53496 87781 227041 688990 91491 38625 5067 47799 597499 688990
"200904" 233928 141529 4395 81821 55313 92399 233928 772889 102948 41738 5882 55328 669941 772889
"201001" 238796 143939 5023 81977 56939 94857 238796 800470 113241 46327 6535 60379 687229 800470
"201002" 230040 141952 4891 82185 54876 88088 230040 767090 124595 51873 7256 65466 642495 767090
"201003" 242353 144255 5006 82699 56550 98098 242353 874875 133392 51681 7818 73893 741483 874875
