"DATES" "FL893167005.Q" "FL153167005.Q" "FL263167003.Q" "FL663167005.Q" "FL663167003.Q" "FL723067003.Q" "FL753067000.Q" "FL893167005.Q" "FL153067005.Q" "FL263067003.Q" "FL763067005.Q" "FL663067003.Q"
"199001" 130021 41977 0 88044 51058 32557 4429 130021 51058 0 36986 41977
"199002" 127431 40022 0 87409 50939 31556 4914 127431 50939 0 36470 40022
"199003" 127580 36722 0 90858 55220 30665 4973 127580 55220 0 35638 36722
"199004" 137428 38809 0 98619 62425 27780 8414 137428 62425 0 36194 38809
"199101" 132529 36867 0 95662 59418 28765 7479 132529 59418 0 36244 36867
"199102" 137524 37562 0 99962 58708 31193 10061 137524 58708 0 41254 37562
"199103" 158053 45059 0 112994 68628 31503 12863 158053 68628 0 44366 45059
"199104" 188869 55066 0 133803 87013 29958 16832 188869 87013 0 46790 55066
"199201" 194603 51227 0 143376 71756 56900 14720 194603 71756 0 71620 51227
"199202" 193330 56332 0 136998 65079 54416 17503 193330 65079 0 71919 56332
"199203" 214471 55840 0 158631 77997 56305 24329 214471 77997 0 80634 55840
"199204" 217697 53474 0 164223 76230 57294 30699 217697 76230 0 87993 53474
"199301" 226180 59775 0 166405 86800 55909 23696 226180 86800 0 79605 59775
"199302" 235284 59048 0 176236 86946 58882 30408 235284 86946 0 89290 59048
"199303" 255509 67376 0 188133 99749 60235 28149 255509 99749 0 88384 67376
"199304" 279049 76123 0 202926 102269 61370 39287 279049 102269 0 100657 76123
"199401" 283712 77033 0 206679 110756 63161 32762 283712 110756 0 95923 77033
"199402" 279090 76103 0 202987 112484 58377 32126 279090 112484 0 90503 76103
"199403" 263877 72568 0 191309 107321 54712 29276 263877 107321 0 83988 72568
"199404" 278963 75051 0 203912 108971 56817 38124 278963 108971 0 94941 75051
"199501" 270523 69850 0 200673 113459 56112 31102 270523 113459 0 87214 69850
"199502" 277848 68742 0 209106 113128 62271 33707 277848 113128 0 95978 68742
"199503" 286143 77352 0 208791 114850 59457 34484 286143 114850 0 93941 77352
"199504" 305653 78593 0 227060 127569 65077 34414 305653 127569 0 99491 78593
"199601" 326868 89110 0 237758 140925 63046 33787 326868 140925 0 96833 89110
"199602" 318618 89851 0 228767 136822 59355 32590 318618 136822 0 91945 89851
"199603" 317764 86937 0 230827 145158 57398 28271 317764 145158 0 85669 86937
