"DATES" "FL153166000.Q" "FL153166000.Q" "FL103066005.Q" "FL113066003.Q" "FL313066220.Q" "FL723066000.Q" "FL443066005.Q" "FL473066000.Q" "FL403066005.Q" "FL673066000.Q" "FL613066005.Q"
"199702" 1278038 1278038 67973 0 22885 512017 46483 147640 31488 287881 161671
"199703" 1305805 1305805 68657 0 25614 509663 48487 150016 30401 308273 164694
"199704" 1344165 1344165 84409 0 27635 515064 47172 152362 29521 320460 167542
"199801" 1324043 1324043 78297 0 31397 493846 47398 150733 27725 329394 165253
"199802" 1367744 1367744 77050 0 33586 493317 48657 152400 25593 366778 170363
"199803" 1400718 1400718 75691 0 36992 499624 50502 154339 26750 380646 176174
"199804" 1441272 1441272 79349 0 36516 512007 52365 155406 28370 393914 183345
"199901" 1442398 1442398 75270 0 40636 499258 53810 155817 30235 403528 183844
"199902" 1471581 1471581 74866 0 42787 484471 57313 158177 31820 431160 190987
"199903" 1511895 1511895 73865 0 46457 480406 60226 162911 35782 460790 191458
"199904" 1553622 1553622 76120 0 47988 507763 61721 167921 33809 456658 201642
"200001" 1553765 1553765 71829 0 52264 505673 59166 169225 31704 458914 204990
"200002" 1601771 1601771 74293 0 54105 514964 61220 176030 31172 477024 212963
"200003" 1667073 1667073 75304 0 58542 531032 62731 181316 35470 493623 229055
"200004" 1741267 1741267 81490 0 59662 551074 64760 184434 36992 528406 234449
"200101" 1749724 1749724 75429 0 64386 542799 65178 182761 37580 546897 234694
"200102" 1784249 1784249 73212 0 66683 550374 65031 186356 38738 560589 243266
"200103" 1814351 1814351 69824 0 70765 546509 68774 187338 39291 574686 257164
"200104" 1891827 1891827 73053 0 72470 568437 71100 189570 39427 597800 279970
"200201" 1883516 1883516 68303 0 76092 561548 71309 187717 38976 596494 283077
"200202" 1917644 1917644 68867 0 76396 566783 68658 191618 40725 610542 294055
"200203" 1951608 1951608 69560 0 80449 589192 65458 195884 40856 597771 312438
"200204" 1997008 1997008 74689 0 80490 602570 68705 195744 36927 630365 307518
"200301" 1989123 1989123 72344 0 83129 593231 68619 194013 35341 632525 309921
"200302" 2021930 2021930 72354 0 82164 603684 73765 198917 31303 631817 327926
"200303" 2059675 2059675 73008 0 83311 614124 72700 203426 27228 611235 374643
"200304" 2102932 2102932 59036 0 82366 669386 77877 205877 20581 594765 393044
"200401" 2096472 2096472 55983 0 85403 658036 81465 207086 15984 580545 411970
"200402" 2114539 2114539 56098 0 84728 660571 88133 211684 2230 574857 436238
"200403" 2164875 2164875 54104 0 87140 676319 89175 214471 0 572548 471118
"200404" 2220119 2220119 59211 0 86074 704270 91300 215384 0 571534 492346
"200501" 2204974 2204974 55350 0 89425 683112 90783 216127 0 576796 493381
"200502" 2232389 2232389 56016 0 88936 683951 94031 221322 0 593075 495058
"200503" 2278385 2278385 57797 0 91715 708230 99416 229487 0 583315 508425
"200504" 2320555 2320555 59583 0 89822 707039 109077 228588 0 609912 516534
"200601" 2292280 2292280 55753 0 93172 697480 98043 227343 0 620990 499499
"200602" 2314858 2314858 53474 0 92675 694749 101906 230434 0 636635 504985
"200603" 2364788 2364788 52743 0 93500 710502 106216 234469 0 641190 526168
"200604" 2415971 2415971 57586 0 91676 741200 95547 234532 0 661076 534354
"200701" 2396722 2396722 55777 0 95114 723278 94581 232280 0 663691 532001
"200702" 2430204 2430204 56483 0 94870 737869 97165 232952 0 668224 542641
"200703" 2501408 2501408 57059 0 98006 771518 87030 236920 0 683243 567632
"200704" 2555304 2555304 58602 0 98396 804096 90787 235700 0 683667 584056
"200801" 2533509 2533509 55299 0 103537 796317 87514 230147 0 679980 580715
"200802" 2555964 2555964 55513 0 104566 812984 90003 231083 0 680042 581773
"200803" 2588551 2588551 56208 0 106896 844087 79275 236094 0 669734 596257
"200804" 2594109 2594109 59841 0 110985 878643 86323 236200 0 646353 575764
"200901" 2517938 2517938 54994 0 122735 850749 80049 233281 0 629301 546829
"200902" 2487876 2487876 53810 0 135439 837783 75897 234650 0 623774 526523
"200903" 2496673 2496673 53021 0 157840 832687 78115 240262 0 614068 520680
"200904" 2478855 2478855 57211 0 185985 855311 77537 237185 0 577868 487758
"201001" 2406877 2406877 53515 0 209839 1149191 77998 227998 0 151424 536912
"201002" 2386491 2386491 52844 0 222565 1133723 80612 225821 0 143816 527110
"201003" 2408848 2408848 52454 0 280272 1115273 82144 224903 0 135761 518041
