"DATES" "FL792150005.Q" "FL712150003.Q" "FL762150005.Q" "FL722150005.Q" "FL752150000.Q" "FL732150005.Q" "FL442150005.Q" "FL542150005.Q" "FL642150003.Q" "FL662150005.Q" "FL892050005.Q" "FL102050003.Q" "FL212050003.Q" "FL262050003.Q" "FL792050005.Q" "FL712050000.Q" "FL442050005.Q" "FL472050000.Q" "FL512050003.Q" "FL572050005.Q" "FL222050003.Q" "FL632050000.Q" "FL652050003.Q" "FL402050005.Q" "FL502050003.Q" "FL902050005.Q"
"196702" -2108 0 1241 1241 0 0 0 0 0 -3349 2791 667 0 0 2124 500 0 0 0 803 0 0 801 20 0 -4899
"196703" -2780 0 788 788 0 0 0 0 0 -3568 3597 605 959 0 2033 400 0 0 0 838 0 0 775 20 0 -6377
"196704" -2184 0 1659 1659 0 0 0 0 0 -3843 2878 670 256 0 1952 259 0 0 0 870 0 0 823 0 0 -5062
"196801" -2106 0 1460 1460 0 0 0 0 0 -3566 4265 1103 869 0 2293 0 15 0 0 900 0 0 1376 2 0 -6371
"196802" -618 0 3152 3152 0 0 0 0 0 -3770 3348 1067 200 0 2081 0 30 0 0 928 0 0 1113 10 0 -3966
"196803" 88 0 3800 3800 0 0 0 0 0 -3712 4568 1021 1369 0 2178 0 45 0 0 954 0 0 1171 8 0 -4480
"196804" -1544 0 2586 2586 0 0 0 0 0 -4130 1969 1121 -1273 0 2121 0 107 0 0 980 0 0 1022 12 0 -3513
"196901" 936 0 5486 5486 0 0 0 0 0 -4550 4683 2202 -160 0 2641 0 209 0 0 1006 0 0 1380 46 0 -3747
"196902" 2307 0 6519 6519 0 0 0 0 0 -4212 6066 1946 1300 0 2820 0 211 0 0 1030 0 0 1489 90 0 -3759
"196903" 5254 0 9395 9395 0 0 0 0 0 -4141 10875 2868 4858 0 3149 0 282 0 0 1053 0 0 1692 122 0 -5621
"196904" 4680 0 8707 8707 0 0 0 0 0 -4027 9104 3311 2599 0 3194 0 336 0 0 1079 0 0 1586 193 0 -4424
"197001" 5353 0 9169 9169 0 0 0 0 0 -3816 9354 3762 2010 0 3582 0 492 0 0 1105 0 0 1785 200 0 -4001
"197002" 2750 0 6315 6315 0 0 0 0 0 -3565 4271 1259 0 0 3012 0 475 0 0 1133 0 0 917 487 0 -1521
"197003" 1494 0 5095 5095 0 0 0 0 0 -3601 5590 63 1073 0 4454 0 505 0 0 1161 0 0 1886 902 0 -4096
"197004" 1114 0 4650 4650 0 0 0 0 0 -3536 2816 234 -1416 0 3998 0 442 0 0 1190 0 0 1400 966 0 -1702
"197101" 2315 0 5776 5776 0 0 0 0 0 -3461 3971 1318 -1819 0 4472 350 1444 0 0 1221 0 0 1218 239 0 -1656
"197102" 2230 0 5723 5723 0 0 0 0 0 -3493 4534 6 0 0 4528 650 1236 0 0 1252 0 0 1097 293 0 -2304
"197103" 5326 0 8856 8856 0 0 0 0 0 -3530 8029 1063 1901 0 5065 950 1198 0 0 1286 0 0 1027 604 0 -2703
"197104" 5007 0 8666 8666 0 0 0 0 0 -3659 5861 1077 -863 0 5647 1504 1168 0 0 1321 0 0 1302 352 0 -854
"197201" 9031 0 12774 12774 0 0 5 0 0 -3748 9056 2565 -63 0 6554 1110 2276 0 0 1474 0 0 1347 347 0 -25
"197202" 9111 0 13113 13113 0 0 10 0 0 -4012 9976 3111 0 0 6865 690 2125 0 0 1707 0 0 1223 1120 0 -865
"197203" 9290 0 14307 14307 0 0 15 0 0 -5032 11235 2103 2314 0 6818 370 2191 0 0 1948 0 0 1342 967 0 -1945
"197204" 6702 0 10836 10836 0 0 323 0 0 -4457 7605 2688 -952 0 5869 147 1667 0 0 2130 0 0 1173 752 0 -903
"197301" 13782 0 18307 18307 0 0 24 0 0 -4549 15254 6514 -346 200 8886 90 3675 0 0 2260 0 0 1647 1214 0 -1472
"197302" 17143 0 21842 21842 0 0 25 0 0 -4724 15775 6345 0 300 9130 100 2938 0 0 2348 0 0 1801 1943 0 1368
"197303" 23322 0 27441 27441 0 0 325 0 0 -4444 21316 9501 1706 400 9709 110 2799 0 0 2427 0 0 1980 2393 0 2006
"197304" 23141 0 27090 27090 0 0 326 0 0 -4275 23302 11262 497 500 11043 100 3709 0 0 2530 0 0 1671 3033 0 -161
"197401" 27861 0 32223 32223 0 0 350 0 0 -4712 29294 12472 2748 600 13474 400 7038 0 0 2645 0 9 1757 1625 0 -1433
"197402" 31309 0 34379 34379 0 0 1100 0 0 -4170 24976 10046 0 575 14355 700 7046 0 0 2765 0 19 1871 1954 0 6333
"197403" 34640 0 37170 37170 0 0 1550 0 0 -4080 26607 8630 3331 550 14096 1000 6204 0 0 2894 0 50 1693 2255 0 8033
"197404" 25358 0 28477 28477 0 0 2018 0 0 -5137 18744 5485 -1259 525 13993 1374 6015 0 0 3041 0 92 1407 2064 0 6614
"197501" 28927 0 30747 30747 0 0 1700 0 0 -3520 16661 1453 953 500 13755 1400 5997 0 0 3211 0 146 1543 1458 0 12266
"197502" 30446 0 32317 32317 0 0 1350 0 0 -3221 15659 794 0 475 14390 1500 5680 0 0 3575 0 154 1345 2136 0 14787
"197503" 33144 0 33680 33680 0 0 1625 0 0 -2161 16458 813 1946 462 13237 1600 5152 0 0 4042 0 154 1076 1213 0 16686
"197504" 29087 0 29930 29930 0 0 1984 0 0 -2827 13802 1189 -2080 450 14243 1720 4910 0 0 4346 0 149 1341 1777 0 15285
"197601" 31848 0 32740 32740 0 0 1600 0 0 -2492 17858 3107 -1515 425 15841 3090 5414 0 0 4385 0 146 723 2083 0 13990
"197602" 37364 0 37969 37969 0 0 1966 0 0 -2571 19050 1329 0 412 17309 4814 5765 0 0 4140 0 146 742 1702 0 18314
"197603" 50161 0 46839 46839 0 0 1930 0 0 1392 20788 1961 572 400 17855 5733 5720 0 0 4386 0 136 570 1310 0 29373
"197604" 45085 0 43820 43820 0 0 1891 0 0 -626 17922 1459 -1875 375 17963 4826 5378 0 0 4736 0 138 823 2062 0 27163
"197701" 45048 0 47615 47615 0 0 2375 0 0 -4942 17594 1701 -1354 350 16897 620 7436 0 0 5319 0 136 790 2596 0 27454
"197702" 52327 0 53199 53199 0 0 2858 0 0 -3730 25543 1848 0 337 23358 5264 8037 0 0 5335 0 151 1167 3404 0 26784
"197703" 51150 0 55330 55330 0 0 3382 0 0 -7562 25436 2167 715 325 22229 3098 8688 0 0 5803 0 158 1360 3122 0 25714
"197704" 52320 0 54381 54381 0 0 3923 0 0 -5984 21263 2115 -1970 300 20818 3306 7974 0 0 5717 0 268 1335 2218 0 31057
"197801" 64798 0 63947 63947 0 0 4753 0 0 -3902 26394 2376 -1382 1000 24400 2721 9719 0 0 6268 0 224 1788 3680 0 38404
"197802" 69174 0 69504 69504 0 0 5500 0 0 -5830 28776 2272 0 1634 24870 3666 9445 0 0 6136 0 297 1815 3511 0 40398
"197803" 73227 0 73674 73674 0 0 5800 0 0 -6247 30317 2038 479 1663 26137 3614 10512 0 0 6488 0 335 1429 3759 0 42910
"197804" 76103 0 76896 76896 0 0 6478 0 0 -7271 30838 2509 2158 2426 23745 1804 9134 0 0 6935 0 348 1883 3641 0 45265
"197901" 91384 0 90488 90488 0 0 6481 0 0 -5585 41044 3434 3783 2196 31631 2252 14012 0 0 7253 0 409 1842 5863 0 50340
"197902" 104319 0 98509 98509 0 0 7900 0 0 -2090 47666 2949 8000 3199 33518 5531 13204 0 0 7490 0 757 1844 4692 0 56653
"197903" 104436 0 99056 99056 0 0 9748 0 0 -4368 48398 2685 10528 3256 31929 3014 14681 0 0 7532 0 1250 1925 3527 0 56038
"197904" 92729 0 94304 94304 0 0 8068 0 0 -9643 49589 3116 11781 4113 30579 2364 12022 0 0 7768 0 2412 1808 4205 0 43140
"198001" 102235 0 97232 97232 0 0 8532 0 0 -3529 50338 2334 14013 3749 30242 1174 12601 158 0 7979 0 2634 1936 3760 0 51897
"198002" 114600 0 106539 106539 0 0 8598 0 0 -537 60287 3023 17500 4246 35518 867 13541 332 0 8189 0 3721 1710 7158 0 54313
"198003" 119016 0 111818 111818 0 0 8335 0 0 -1137 63280 3443 20253 4528 35056 2063 14239 488 0 8485 0 2908 2157 4716 0 55736
"198004" 116224 0 114827 114827 0 0 10123 0 0 -8726 64018 3887 16997 4395 38739 3330 12342 732 0 8378 0 5643 2306 6008 0 52206
"198101" 133793 0 121292 121292 0 0 9797 0 0 2704 63044 3459 17135 4076 38374 732 14435 1273 0 8237 0 4993 1764 6940 0 70749
"198102" 133201 0 122337 122337 0 0 12795 0 0 -1931 64412 2925 16301 3529 41657 0 15149 1805 0 8355 0 7550 2031 6767 0 68789
"198103" 131907 0 125144 125144 0 0 11768 0 0 -5005 69550 1514 17315 3401 47320 0 15314 2007 0 8525 0 10114 2149 9211 0 62357
"198104" 144739 0 129709 129709 0 0 15339 0 0 -309 77229 1784 13661 4404 57380 3680 16807 2397 0 8258 0 14529 2233 9476 0 67510
"198201" 152330 0 134225 134225 0 0 14213 0 0 3892 77632 1820 11896 4870 59046 2167 17565 2532 0 7728 0 17285 2289 9480 0 74698
"198202" 150446 0 135147 135147 0 0 15481 0 0 -182 80684 2452 13450 5596 59186 0 18318 2805 0 7840 0 16738 2546 10939 0 69762
