"DATES" "FL514090005.Q" "FL513020003.Q" "FL513034003.Q" "FL512050003.Q" "FL514004005.Q" "FL513069103.Q" "FL513061103.Q" "FL513061703.Q" "FL513062003.Q" "FL513063003.Q" "FL513065503.Q" "FL513064105.Q" "FL513064203.Q" "FL513070003.Q" "FL513092003.Q" "FL514190005.Q" "FL513178003.Q" "FL513190005.Q"
"199203" 589602 5544 11026 0 406918 15751 113244 42546 131829 97435 6113 96448 0 48953 20713 435254 1285 433969
"199204" 597905 5576 11393 0 410584 16276 113628 42621 134324 97846 5889 97312 0 49040 24000 440787 860 439927
"199301" 607315 5525 11476 0 417575 16395 116805 42985 136948 98854 5588 98628 0 49327 24784 445864 1390 444474
"199302" 618311 5405 11309 0 426257 16155 121038 43496 139982 100394 5192 100242 0 49790 25308 449886 1921 447965
"199303" 629786 5275 11109 0 435279 15870 125475 44030 143137 101975 4792 101911 0 50291 25921 453941 2452 451489
"199304" 642476 5189 11095 0 443281 15850 129266 44463 146124 103106 4472 103392 0 50693 28826 459102 2983 456119
"199401" 648919 5145 10850 0 447981 15500 131274 44791 147250 104863 4303 105477 85 51253 28128 463076 2879 460197
"199402" 656460 5101 10675 0 452935 15250 133312 45119 148500 106620 4134 107566 166 51812 28205 466814 2775 464039
"199403" 665021 5057 10500 0 458636 15000 135349 45447 150500 108376 3964 109646 255 52372 28555 470703 2672 468031
"199404" 678080 5013 10297 0 465569 14710 137375 45774 153782 110133 3795 111735 336 52931 32199 474448 2568 471880
"199501" 694794 4973 11007 0 472291 15724 137717 46400 155400 113500 3550 119313 416 54023 32771 483771 2745 481026
"199502" 709664 4932 11717 0 479029 16739 138222 46962 157100 116700 3306 125623 503 55115 32745 494221 2922 491299
"199503" 725313 4892 12427 0 486030 17753 138676 47500 159050 120001 3050 131418 594 56206 33746 492446 3100 489346
"199504" 740320 4851 13137 0 493125 18767 139066 48150 161036 123290 2816 133479 671 57298 37759 504906 3277 501629
"199601" 750142 4811 13847 0 498791 19782 139488 48262 163004 125684 2571 135245 755 58390 38303 508817 3437 505380
"199602" 757005 3756 11832 0 502681 16903 133899 47714 166999 134599 2567 139484 841 59474 38937 511209 3598 507611
"199603" 767739 4089 12881 0 508167 18401 130504 48071 168247 140405 2539 142296 927 59609 39770 517033 3759 513274
"199604" 769964 3938 12404 0 514216 17721 126166 50986 175366 141583 2394 147528 1040 57192 33646 513770 3920 509850
"199701" 781429 4233 13335 0 515917 19051 94300 68827 187643 143616 2480 150124 1140 61276 35404 516510 4038 512472
"199702" 804215 4062 12794 0 521897 18277 94749 69362 188632 148507 2370 165233 1365 61821 37043 518865 4156 514709
"199703" 822522 4168 13128 0 530613 18754 95735 70022 189950 153786 2366 172431 1573 61860 38749 527509 4274 523235
"199704" 843470 4235 12331 0 538204 17615 96414 70820 191625 159500 2230 184332 1674 59925 42769 526702 4392 522310
"199801" 865980 3709 12669 0 544676 18099 92355 71581 196617 163821 2203 198022 1902 62611 42391 530984 4121 526863
"199802" 872029 3594 12991 0 544908 18559 87195 71487 199293 166214 2160 200628 1989 63389 44530 532239 3850 528389
"199803" 854771 3801 14751 0 546244 21073 82459 71206 201438 168165 1903 178310 1873 64037 45755 535683 3578 532105
"199804" 876428 4014 14934 0 548877 21335 76766 69668 208089 171065 1954 197908 2201 61540 46954 531034 3307 527727
"199901" 876401 3219 15031 0 544449 21473 73680 70677 204214 172497 1908 198219 2268 63692 49523 532492 3320 529172
"199902" 882819 3661 11440 0 544767 16343 70529 73313 204839 177806 1937 204532 2423 65459 50537 539311 3333 535978
"199903" 870096 3145 12105 0 542693 17293 67873 74474 201454 179610 1989 190371 2350 66130 53302 549611 3346 546265
"199904" 869869 4254 9892 0 536539 14132 64860 75532 198988 181106 1921 205154 2702 63560 47768 537766 3358 534408
"200001" 873182 3131 12177 0 537978 17395 63527 77505 194732 182270 2549 202420 2928 66050 48498 539910 3372 536538
"200002" 870845 2707 12344 0 533755 17635 61267 79382 190365 183258 1848 201002 2935 67173 50929 545234 3386 541848
"200003" 871376 3059 12519 0 535619 17884 59629 82114 188084 186232 1676 196317 3043 68700 52119 549417 3400 546017
"200004" 858119 3671 13392 0 534318 19132 57807 84101 184118 187526 1634 191360 2914 64577 47887 546411 3414 542997
"200101" 835979 10552 9719 1313 525938 11806 56058 86323 180991 189118 1642 169545 2691 67592 48629 552731 3491 549240
"200102" 845743 11758 9318 1658 524940 10948 55887 86323 180991 189117 1674 176968 2909 69849 48343 557295 3568 553727
"200103" 841423 13627 11069 770 530395 14368 56312 90820 174795 192395 1706 161879 2633 72712 48338 575392 3644 571748
"200104" 853092 13086 10281 88 536564 12731 57472 94229 173812 196443 1877 170953 2956 69882 49282 578337 3721 574616
"200201" 875426 16966 9637 1459 543519 10425 59702 98671 175906 196936 1879 173154 3089 73358 54244 584386 1871 582515
"200202" 877871 17218 9805 1291 552642 10165 62384 103144 177853 197200 1896 160394 2953 77752 55816 599002 20 598982
"200203" 882500 25599 13076 1012 564094 13611 66804 107030 178632 196118 1899 142662 2723 77740 55594 612608 -1830 614438
"200204" 933741 25930 15257 1741 584680 15682 71970 113194 182980 198875 1979 149356 2964 74813 79000 611992 -3680 615672
"200301" 947709 30192 13695 -69 597231 13035 73771 113445 191998 202998 1984 144349 3058 79291 79962 626344 -2501 628845
"200302" 990321 36142 15015 -2664 614843 14288 78143 113266 200697 206524 1925 159352 3556 81630 82447 639828 -1322 641150
"200303" 1018907 35113 14763 463 634550 13972 81889 113863 211241 211668 1917 163403 3850 82268 84497 658812 -143 658955
"200304" 1057128 34573 14336 1112 660487 13701 86245 115408 224198 218854 2081 178362 4307 79345 84606 668260 1036 667224
"200401" 1094993 31110 13405 2240 686874 12065 90437 116365 237637 228230 2140 183758 4545 82370 90691 681929 3327 678602
"200402" 1116595 31081 12117 970 702154 10150 92775 115266 247660 234085 2218 186500 4679 85290 93804 691361 1087 690274
"200403" 1151958 34459 13185 2727 726908 10504 100428 114266 258696 240664 2350 186564 4745 86434 96936 711882 -1706 713588
"200404" 1157992 25852 13433 873 746457 12313 106551 112131 267778 245254 2430 196620 5220 79627 89910 709789 1506 708283
"200501" 1178152 24044 13556 543 770888 13205 108046 114564 280909 251691 2473 190733 5226 82218 90944 724150 5939 718211
"200502" 1201873 23266 12923 1235 782320 13051 106427 115340 290415 254553 2534 193461 5362 84973 98333 728757 3548 725209
"200503" 1239731 23077 13006 1359 812325 14904 108096 118324 305977 262364 2660 198742 5552 84933 100737 746121 -3812 749933
"200504" 1245012 21007 12782 1362 819269 15817 106870 117936 313165 262751 2730 199531 5737 82074 103250 757706 -1553 759259
"200601" 1272615 28692 12201 835 830649 15229 105733 119502 319981 267458 2746 205265 6135 84102 104736 772853 6281 766572
"200602" 1285023 36606 11177 399 837399 13989 103309 120566 325579 271101 2855 202652 6148 86015 104627 776864 2159 774705
"200603" 1311908 41365 12026 1591 846103 13643 105710 120982 329525 273331 2912 211683 6435 85155 107550 788730 4317 784413
"200604" 1334592 29919 13498 727 864060 16396 109985 122015 335223 276987 3454 227028 6916 86976 105468 825097 9437 815660
"200701" 1351890 31714 16424 2307 868386 16038 101644 123234 344154 279758 3558 229503 6908 86976 109672 814457 12558 801899
"200702" 1373853 32983 16668 2796 866843 13172 89303 124464 353291 282557 4056 243546 7116 89585 114316 825995 10673 815322
"200703" 1398223 45187 18086 3465 870049 12179 79839 125707 362641 285384 4299 248509 7117 88689 117121 840295 10612 829683
"200704" 1385310 42698 20661 3098 869328 13280 71278 125800 371300 282900 4770 236186 6819 85425 121095 820808 6997 813811
"200801" 1370689 41844 26020 -329 872136 18624 71973 123015 374363 279296 4865 215654 6328 86279 122757 827432 5948 821484
"200802" 1366155 40589 26992 491 867014 17647 69502 120482 378124 276248 5011 212475 6283 87142 125169 835705 -2990 838695
"200803" 1355061 43430 26320 838 854311 16748 66004 116998 378885 271016 4660 209539 5561 87142 127920 853490 -2721 856211
"200804" 1307077 27921 32779 2043 853408 19103 65637 114273 381938 267503 4954 193288 4407 86679 106552 800095 -21109 821204
"200901" 1283032 25960 33179 3623 855821 17462 71369 113762 375729 272507 4992 164592 4183 87389 108285 786737 -24233 810970
"200902" 1318794 33909 29089 4611 861779 12143 75778 114520 373584 280722 5032 187625 4550 87291 109940 791774 -20534 812308
"200903" 1363777 33581 28298 5452 870745 9228 81491 115205 371026 289005 4790 219919 5020 85377 115385 803343 -14491 817834
"200904" 1386934 27618 29575 3901 886722 9825 88547 116218 369382 298304 4446 219803 5286 82953 131076 813888 -15787 829675
"201001" 1389144 28273 25277 3800 882848 7771 88786 113810 369674 298540 4267 225581 5419 84813 133133 816669 -12643 829312
"201002" 1366083 37104 24608 3900 879668 7446 89465 112224 368607 297678 4248 193383 5005 86741 135674 818400 -19090 837490
"201003" 1406121 39349 27259 4200 887695 8248 92638 111763 371114 299703 4229 220306 5353 86887 135072 825664 -15693 841357
