"DATES" "FL214090005.Q" "FL213020005.Q" "FL213030005.Q" "FL213034003.Q" "FL212050003.Q" "FL214004005.Q" "FL213069103.Q" "FL213061105.Q" "FL213061703.Q" "FL213062003.Q" "FL213063003.Q" "FL213065005.Q" "FL213064103.Q" "FL213064203.Q" "FL213070003.Q" "FL213078005.Q" "FL213093005.Q" "FL214190005.Q" "FL214104005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL213169203.Q" "FL213170003.Q"
"196902" 73165 10432 16547 0 1300 34118 0 20956 7608 2252 0 3302 0 0 9173 1595 0 152822 133548 129343 10082 119261 4205 19274
"196903" 74247 9971 13361 0 4858 35045 0 21751 7607 2255 0 3432 0 0 9543 1469 0 156105 136325 132054 10721 121333 4271 19780
"196904" 75847 12336 13050 0 2599 36403 0 23007 7508 2236 0 3652 0 0 10008 1451 0 158542 138257 133518 10909 122609 4739 20285
"197001" 76841 11293 14796 0 2010 37304 0 23963 7055 2208 0 4078 0 0 9991 1447 0 161158 140356 135658 11218 124440 4698 20802
"197002" 77989 11834 16939 0 0 37480 0 24366 6633 2294 0 4187 0 0 10184 1552 0 164898 143570 138998 12155 126843 4572 21328
"197003" 78997 9706 19729 0 1073 36675 0 23868 6158 2296 0 4353 0 0 10351 1463 0 168232 146348 141582 12261 129321 4766 21884
"197004" 80061 11290 23012 0 -1416 35069 0 22940 5176 2384 0 4569 0 0 10630 1476 0 172768 150317 145501 13252 132249 4816 22451
"197101" 81128 11521 25946 0 -1819 33281 0 22010 4033 2363 0 4875 0 0 10701 1498 0 177683 154655 149746 14386 135360 4909 23028
"197102" 83349 11873 26041 0 0 32553 0 21890 3301 2331 0 5031 0 0 10839 2043 0 182426 158807 153966 15210 138756 4841 23619
"197103" 85973 11180 26752 0 1901 32641 0 21848 3150 2285 0 5358 0 0 11062 2437 0 187177 162965 157875 15820 142055 5090 24212
"197104" 89230 12114 30236 0 -863 33371 0 22587 3004 2132 0 5648 0 0 11559 2813 0 191570 166747 161566 15735 145831 5181 24823
"197201" 92484 11412 31781 0 -63 34501 0 23279 3235 2004 0 5983 0 0 11582 3271 0 196572 171129 165681 16206 149475 5448 25443
"197202" 96402 11839 33077 0 0 35891 0 23584 4197 1724 0 6386 0 0 11785 3810 0 200268 174210 169065 15722 153343 5145 26058
"197203" 100823 11192 33335 0 2314 37645 0 24150 4885 1937 0 6673 0 0 12291 4046 0 204431 177747 172476 15926 156550 5271 26684
"197204" 106273 12663 36970 0 -952 40089 0 24896 6325 1833 0 7035 0 0 13013 4490 0 208044 180710 175184 15787 159397 5526 27334
"197301" 111387 11255 39845 0 -346 42486 0 25424 7691 2058 0 7313 0 0 13297 4850 0 212041 184043 179246 16164 163082 4797 27998
"197302" 116956 12263 40305 0 0 44907 0 25889 9409 2053 0 7556 0 0 14058 5423 0 215520 186850 182295 15879 166416 4555 28670
"197303" 122239 10715 42077 0 1706 47311 0 26152 11195 1962 0 8002 0 0 14726 5704 0 220085 190725 185754 16180 169574 4971 29360
"197304" 128501 12673 43585 0 497 49820 0 26065 12958 2062 0 8735 0 0 15840 6086 0 224860 194779 189863 16102 173761 4916 30081
"197401" 133389 11112 45074 0 2748 51927 0 26102 14593 2044 0 9188 0 0 16116 6412 0 229602 198757 193783 16055 177728 4974 30845
"197402" 137819 13485 46528 0 0 53743 0 25809 15834 2448 0 9652 0 0 16846 7217 0 234226 202564 197783 16663 181120 4781 31662
"197403" 140880 11019 46098 0 3331 55300 0 26258 16412 2535 0 10095 0 0 17457 7675 0 239061 206553 201380 18296 183084 5173 32508
"197404" 138037 12896 48544 0 -1259 56358 0 26523 16044 2586 0 11205 0 0 13802 7696 0 241588 208213 202621 18811 183810 5592 33375
"197501" 138420 11613 46854 0 953 57634 0 26991 16327 2562 0 11754 0 0 13581 7785 0 244046 209744 204056 19042 185014 5688 34302
"197502" 140404 12631 46531 0 0 59014 0 26734 17610 2468 0 12202 0 0 13772 8456 0 247887 212670 206992 19786 187206 5678 35217
"197503" 143826 11177 45876 0 1946 61388 0 27183 18506 3199 0 12500 0 0 14447 8992 0 250648 214487 208694 18071 190623 5793 36161
"197504" 146377 13351 46942 0 -2080 63770 0 27783 18206 4969 0 12812 0 0 15191 9203 0 256506 219359 213578 18552 195026 5781 37147
"197601" 150976 10671 48381 0 -1515 68882 0 31610 18389 6131 0 12752 0 0 15055 9502 0 262178 224015 216975 17019 199956 7040 38163
"197602" 155452 12051 45411 0 0 72027 0 33077 18729 7000 0 13221 0 0 15648 10315 0 270622 231469 225736 18777 206959 5733 39153
"197603" 161238 11260 46481 0 572 76236 0 35536 19745 7348 0 13607 0 0 16158 10531 0 275743 235612 228642 17801 210841 6970 40131
"197604" 169248 12400 49064 0 -1875 82006 0 40244 20359 7341 0 14062 0 0 16917 10736 0 278938 237830 230013 14485 215528 7817 41108
"197701" 178542 10960 51802 0 -1354 88877 0 43626 23950 7084 0 14217 0 0 17252 11005 0 281243 239122 230963 11159 219804 8159 42121
"197702" 188198 12384 50471 0 0 95546 0 49779 24830 6941 0 13996 0 0 17845 11952 0 289753 246590 240472 13385 227087 6118 43163
