"DATES" "FL444090005.Q" "FL443013053.Q" "FL443020005.Q" "FL443030053.Q" "FL442050005.Q" "FL444004005.Q" "FL443069105.Q" "FL443061105.Q" "FL443061705.Q" "FL443061875.Q" "FL443061675.Q" "FL443061775.Q" "FL443062005.Q" "FL443063005.Q" "FL443065775.Q" "FL443063675.Q" "FL443063075.Q" "FL443069505.Q" "FL443065005.Q" "FL443066005.Q" "FL443064175.Q" "FL443090005.Q" "FL444190005.Q" "FL443139005.Q" "FL443127005.Q" "FL443131005.Q" "FL443135005.Q" "FL442150005.Q" "FL444104005.Q" "FL443163053.Q" "FL443168005.Q" "FL443169305.Q" "FL443178005.Q" "FL443190005.Q" "FL443194733.Q" "FL443193005.Q"
"196503" 183560 0 3419 0 0 170649 0 11648 3051 698 0 2353 349 2935 0 0 2935 99 149564 3003 2215 7277 172281 158853 277 158576 0 0 6185 0 383 5802 101 7142 0 7142
"196504" 187149 0 3872 0 0 173532 0 11645 2884 655 0 2229 320 2864 0 0 2864 82 152725 3012 2300 7445 175543 162828 281 162547 0 0 6456 0 459 5997 104 6155 0 6155
"196601" 189719 0 3324 10 0 177360 0 12193 3094 733 0 2361 317 2932 0 0 2932 53 155487 3284 2248 6777 178340 164961 288 164673 0 0 6079 0 392 5687 115 7185 0 7185
"196602" 191353 0 3308 36 0 178622 0 11349 2993 756 0 2237 286 2949 0 0 2949 60 157716 3269 2132 7255 179897 165770 294 165476 0 0 7350 0 567 6783 75 6702 0 6702
"196603" 191840 0 2751 58 0 180537 0 11426 3060 844 0 2216 270 3044 0 0 3044 188 159343 3206 1904 6590 180665 165798 294 165504 0 0 7705 0 530 7175 63 7099 0 7099
"196604" 193671 0 3282 80 0 181699 0 11461 2980 857 0 2123 251 3151 0 0 3151 196 160493 3167 2000 6610 182257 168975 295 168680 0 0 7467 0 532 6935 60 5755 0 5755
"196701" 196786 0 3203 109 0 183814 0 11760 3168 1006 0 2162 246 3712 0 0 3712 246 161518 3164 2279 7381 185124 172916 306 172610 0 0 5442 0 267 5175 74 6692 0 6692
"196702" 201224 0 3215 130 0 186925 0 11440 3370 1073 0 2297 249 4434 0 0 4434 291 163878 3263 2346 8608 189327 177758 318 177440 0 0 4562 0 260 4302 50 6957 0 6957
"196703" 205411 0 2795 152 0 191914 0 12653 3270 1081 0 2189 243 5134 0 0 5134 222 167078 3314 2525 8025 193369 180903 322 180581 0 0 4384 0 262 4122 56 8026 0 8026
"196704" 208938 0 3007 168 0 194954 0 12676 3172 1093 0 2079 219 5222 0 0 5222 211 170038 3416 2500 8309 196659 184614 324 184290 0 0 4778 0 392 4386 57 7210 0 7210
"196801" 212356 0 2561 183 15 199218 0 13650 3677 1326 0 2351 230 5655 0 0 5655 329 172254 3423 2266 8113 200410 187547 334 187213 0 0 4558 0 289 4269 81 8224 0 8224
"196802" 216143 0 2564 196 30 202177 0 13368 3725 1449 0 2276 206 5941 0 0 5941 352 175104 3481 2453 8723 203810 190303 345 189958 0 0 5248 0 359 4889 72 8187 0 8187
"196803" 218828 0 2272 210 45 205672 0 13006 3860 1521 0 2339 204 6239 0 0 6239 352 178384 3627 2402 8227 206665 192193 346 191847 0 0 5368 0 342 5026 82 9022 0 9022
"196804" 222492 0 2582 237 107 208919 0 12747 3494 1523 0 1971 269 6671 0 0 6671 213 181810 3715 2400 8247 209954 196125 350 195775 0 0 5718 0 459 5259 81 8030 0 8030
"196901" 226568 0 2211 275 209 213519 0 13635 4015 1690 0 2325 271 7007 0 0 7007 230 184549 3812 2349 8005 214292 199273 359 198914 0 0 5679 0 348 5331 100 9240 0 9240
"196902" 230030 0 2123 244 211 216585 0 12649 4321 1761 0 2560 277 7006 0 0 7006 252 188100 3980 2393 8474 217520 201106 369 200737 0 0 6797 0 384 6413 77 9540 0 9540
"196903" 231983 0 1879 137 282 220160 0 12093 4615 1720 0 2895 285 6969 0 0 6969 232 191861 4105 2402 7123 219640 201155 367 200788 0 0 8354 0 414 7940 89 10042 0 10042
"196904" 234269 0 2324 200 336 221493 0 10829 4655 1614 0 3041 293 7221 0 0 7221 259 194048 4188 2500 7416 221392 202624 367 202257 0 0 9816 0 527 9289 87 8865 0 8865
"197001" 236142 0 2089 463 492 223361 0 9530 5204 1685 0 3519 302 8612 0 0 8612 312 195005 4396 2518 7219 223462 203728 374 203197 157 0 10097 0 352 9745 116 9521 0 9521
"197002" 240232 0 2267 520 475 226966 0 8741 5720 1809 0 3911 308 9903 0 0 9903 382 197512 4400 2079 7925 227885 207316 387 206583 346 0 10577 0 341 10236 88 9904 0 9904
"197003" 245683 0 2115 537 505 231843 0 9665 6356 2020 0 4336 317 9576 0 0 9576 419 201094 4416 2502 8181 233161 211287 391 210362 534 0 10822 0 297 10525 102 10950 0 10950
"197004" 252608 0 2453 575 442 236778 0 9545 6882 2297 0 4585 320 9927 0 0 9927 459 205201 4444 2800 9560 239661 217984 395 216867 722 0 11038 0 423 10615 105 10534 0 10534
"197101" 265502 0 2014 2225 1444 245516 0 10578 7628 2571 0 5057 371 12560 0 0 12560 549 209350 4480 3174 11129 251572 230419 421 229087 911 0 9937 0 247 9690 130 11086 0 11086
"197102" 275384 0 1945 2299 1236 255364 0 10788 9429 2813 0 6616 457 13429 0 0 13429 650 216055 4556 3193 11347 261383 240489 445 238945 1099 0 7901 0 660 7241 110 12883 0 12883
"197103" 283975 0 1751 2303 1198 264060 0 9630 10374 3163 0 7211 481 14487 0 0 14487 654 223810 4624 3306 11357 269536 247316 454 245575 1287 0 8402 0 765 7637 131 13687 0 13687
"197104" 292958 0 2326 2293 1168 271710 0 9194 10633 3225 0 7408 540 14791 0 0 14791 675 231199 4678 3500 11961 278181 255638 462 253701 1475 0 9021 0 1085 7936 150 13372 0 13372
"197201" 305633 0 2285 3058 2276 282457 0 9640 11917 3473 0 8444 665 16884 0 0 16884 784 237933 4634 3822 11735 290586 269288 482 267120 1686 5 6741 0 749 5992 169 14383 0 14383
