"DATES" "FL764035605.Q" "FL763069175.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763068005.Q" "FL723068005.Q" "FL753068005.Q" "FL733068003.Q" "FL743068005.Q" "FL713068005.Q" "FL773068005.Q" "FL893168005.Q" "FL293168005.Q" "FL153168005.Q" "FL103168005.Q" "FL113168003.Q" "FL133168000.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL693168005.Q" "FL443168005.Q" "FL613168000.Q" "FL643168003.Q" "FL663168005.Q" "FL713068505.Q"
"197403" 524956 5990 130582 104123 12349 271912 250347 16651 4914 0 0 271912 271912 238191 13126 154937 34713 18500 16915 1947 7503 7465 33721 2212 22109 9400 0 0
"197404" 537076 6391 132105 102989 14103 281488 257506 19081 4901 0 0 281488 281488 248228 16837 159407 35988 18236 17760 1705 8244 7811 33260 1472 22208 9580 0 0
"197501" 517424 7359 131903 100425 11903 265834 242543 18614 4677 0 0 265834 265834 237953 15531 150758 36837 18299 16528 1711 6726 8091 27881 888 17924 9069 0 0
"197502" 522889 7148 133012 101549 12584 268596 244959 18970 4667 0 0 268596 268596 241450 18421 148302 37126 19071 18530 1768 8022 8740 27146 1046 18491 7609 0 0
"197503" 518588 7871 134514 104026 10315 261862 238022 19344 4496 0 0 261862 261862 240429 19040 143695 37269 19899 20526 1917 9008 9601 21433 1246 13959 6228 0 0
"197504" 532802 9771 136186 106055 15029 265761 242051 20310 3400 0 0 265761 265761 246016 23004 143514 37680 20199 21619 1964 9335 10320 19745 1185 13260 5300 0 0
"197601" 524911 8800 139629 105611 13842 257029 232955 20574 3500 0 0 257029 257029 238292 20930 135870 38219 20699 22574 2081 10092 10401 18737 900 13072 4765 0 0
"197602" 541553 8698 143698 110077 14617 264463 239344 21519 3600 0 0 264463 264463 246385 22746 138280 38745 22199 24415 2166 11359 10890 18078 800 12977 4301 0 0
"197603" 547643 9803 147806 114633 14788 260613 235240 21673 3700 0 0 260613 260613 244573 21123 137237 39407 22899 23907 2093 10759 11055 16040 700 11353 3987 0 0
"197604" 576925 13000 151326 118043 21656 272900 245358 23761 3781 0 0 272900 272900 255406 23355 140072 40354 23230 28395 2855 13534 12006 17494 817 13277 3400 0 0
"197701" 577984 10379 155163 119842 18933 273667 247325 22642 3700 0 0 273667 273667 257529 23863 142559 41488 23699 25920 2409 11679 11832 16138 1100 12160 2878 0 0
"197702" 603235 10280 163007 127616 19315 283017 255401 23816 3800 0 0 283017 283017 266667 23684 148358 42712 25642 26271 2636 12159 11476 16350 1501 12569 2280 0 0
