"DATES" "FL893064105.Q" "FL103164103.Q" "FL263164103.Q" "FL793164105.Q" "FL893064105.Q" "FL153064105.Q" "FL213064103.Q" "FL313064105.Q" "FL263064105.Q" "FL713064103.Q" "FL763064105.Q" "FL443064175.Q" "FL513064105.Q" "FL543064105.Q" "FL573064105.Q" "FL223064105.Q" "FL343064105.Q" "FL653064100.Q" "FL553064103.Q" "FL563064103.Q" "FL663064003.Q" "FL503064105.Q" "FL893064195.Q"
"198302" 1946581 1736437 22898 187246 1946581 1179666 0 0 110389 0 86 4163 47958 63878 375856 81807 0 70786 4569 0 7423 0 1859484
"198303" 1914447 1709243 24289 180915 1914447 1146214 0 0 110130 0 83 4335 48930 63871 368452 87559 0 72952 4451 0 7470 0 1824889
"198304" 1855966 1630197 26154 199615 1855966 1088573 0 0 109555 0 77 4317 48112 62197 364841 89641 0 74356 4292 0 10005 0 1763009
"198401" 1749244 1527519 28801 192924 1749244 1022881 0 0 105846 0 79 4145 45769 59290 338253 88715 0 72071 4068 0 8127 0 1658255
"198402" 1654360 1455724 25051 173585 1654360 957625 0 0 101388 0 79 3955 43229 56950 321970 87637 0 70020 3854 0 7653 0 1570539
"198403" 1769217 1542913 25456 200848 1769217 1007386 0 0 108687 0 75 4219 45688 61538 354676 96406 0 77466 3965 0 9111 0 1680703
"198404" 1789165 1553280 25994 209891 1789165 1008673 0 0 107044 0 4 4142 44658 60316 374583 96514 0 80605 3712 0 8914 0 1701741
"198501" 1936090 1671084 30324 234682 1936090 1068300 0 0 115093 0 69 4534 48796 65353 425239 105957 0 87869 3923 0 10957 0 1837487
"198502" 2044553 1743624 32398 268531 2044553 1133264 0 0 122134 0 74 4822 52313 68628 437283 111742 0 98224 4030 0 12039 0 1938877
"198503" 1923657 1641750 37738 244169 1923657 1052253 0 0 115843 0 85 4594 50047 64164 416388 105134 0 100721 3813 0 10615 0 1816765
"198504" 2270405 1916908 44383 309114 2270405 1229495 0 0 136791 0 90 5241 56969 73989 515760 120071 0 113719 4210 0 14070 0 2145442
"198601" 2572390 2136797 58372 377221 2572390 1393399 0 0 162113 0 99 6007 58656 79521 573682 135544 0 140903 5867 0 16599 0 2426790
"198602" 2685845 2244577 64259 377009 2685845 1455508 0 0 178274 0 80 6736 59592 83293 580998 147760 0 150750 6827 0 16027 0 2532324
"198603" 2454216 2031804 72043 350369 2454216 1316843 86 0 172779 0 85 6532 60265 75641 509887 140408 0 148119 6844 0 16727 0 2291720
"198604" 2682199 2240835 72399 368965 2682199 1494043 219 0 183172 0 97 6982 61163 76393 523498 150215 0 161210 7486 0 17721 0 2516351
"198701" 3227855 2708148 91583 428124 3227855 1771119 367 0 228339 0 105 8443 62121 95625 652060 184755 0 195885 10722 0 18314 0 3036567
"198702" 3298585 2783592 99680 415313 3298585 1748697 500 0 242944 0 110 8735 62974 100365 687316 196669 0 220569 12092 0 17614 0 3097380
"198703" 3470639 2944431 107277 418931 3470639 1825297 609 0 259413 0 101 9238 63894 108914 725431 210476 0 233732 13111 0 20423 0 3256595
"198704" 2710300 2286653 94700 328947 2710300 1462599 687 0 189006 0 7 7026 65056 80469 532640 170087 0 181659 10379 0 10685 0 2522447
"198801" 2882377 2419233 110010 353134 2882377 1559348 796 0 199699 0 6 7814 66358 86763 556319 188043 0 194448 11288 0 11495 0 2675406
"198802" 3005328 2514872 105733 384723 3005328 1638890 1000 0 211350 0 14 8295 67697 90659 569357 196898 0 197815 12278 0 11075 0 2800236
"198803" 2972099 2459275 108506 404318 2972099 1651531 1297 0 211592 0 14 8327 69308 88144 525060 204078 5 187626 13236 0 11881 0 2760827
"198804" 3075619 2558076 128662 388881 3075619 1757115 1688 0 213406 0 6 8477 71424 81426 515243 212634 7 187618 14342 0 12233 0 2840475
"198901" 3226081 2669423 133621 423037 3226081 1836454 2110 0 226429 0 4750 9017 74344 81198 546463 225318 18 194346 13068 0 12566 0 2978715
"198902" 3441756 2835812 137833 468111 3441756 1937048 2500 0 247682 0 4647 10116 78367 85298 582468 251759 27 214232 14189 0 13423 0 3183181
"198903" 3736453 3056089 171711 508653 3736453 2090221 2875 0 275549 0 4579 11050 82064 90723 642595 270927 42 236217 15530 0 14081 0 3437438
"198904" 3812955 3138600 197345 477010 3812955 2147477 3250 0 275709 0 4694 11010 84005 91754 635487 277832 55 250505 17099 0 14078 0 3484724
"199001" 3613254 3005478 162878 444898 3613254 2027978 3625 0 260910 0 4191 10550 84005 87068 607978 267614 89 232150 17212 0 9884 0 3324534
"199002" 3779525 3134877 190890 453758 3779525 2098220 4000 0 269743 0 4250 10627 81878 95541 643878 282130 123 259679 16593 0 12863 0 3462424
"199003" 3177324 2653601 166628 357095 3177324 1737290 4375 0 230043 0 4069 8667 79798 78304 545978 250979 142 212708 16000 0 8971 0 2893191
"199004" 3531306 2955814 197596 377896 3531306 1961368 4750 0 242615 0 2150 8758 79940 81929 605903 284569 340 233241 16188 0 9555 0 3217119
"199101" 4073363 3396441 220890 456032 4073363 2232734 5125 0 276092 0 3951 9947 82218 120805 707819 327145 449 277187 17128 0 12763 0 3726466
"199102" 4048446 3354319 224206 469921 4048446 2206652 5500 0 276334 0 3878 9480 86539 119141 701297 328790 474 279152 18785 0 12424 0 3693134
