"DATES" "FL264090005.Q" "FL313111303.Q" "FL764116005.Q" "FL263020005.Q" "FL263030005.Q" "FL263034003.Q" "FL262050003.Q" "FL264004005.Q" "FL263069103.Q" "FL263061105.Q" "FL263061110.Q" "FL263061120.Q" "FL263061705.Q" "FL263061713.Q" "FL263061723.Q" "FL263062003.Q" "FL263063005.Q" "FL263069500.Q" "FL263064105.Q" "FL263064203.Q" "FL263070005.Q" "FL263067003.Q" "FL263090005.Q" "FL263092001.Q" "FL263093005.Q" "FL264190005.Q" "FL263111005.Q" "FL263191003.Q" "FL264102005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL263169205.Q" "FL263169705.Q" "FL263170003.Q" "FL263167003.Q" "FL263190005.Q" "FL313092803.Q" "FL263191103.Q" "FL263192005.Q" "FL263193005.Q" "FL263164103.Q"
"196602" 61133 0 4157 8713 6497 0 0 17057 2121 11634 10351 1283 1512 2 1510 0 1790 0 12923 0 2197 179 9410 8773 637 102377 1429 917 38615 0 9629 6887 987 2005 3895 19624 2475 2652 154 58610 1290 3897 57979 -4556 4592
"196603" 60692 0 5564 8868 6466 0 0 17181 2388 11249 9900 1349 1596 27 1569 0 1948 0 11455 0 2440 177 8541 8754 -213 103537 1520 932 38716 0 9736 6919 957 2133 3829 19795 2266 2735 154 59480 1290 4025 59176 -5011 4122
"196604" 63094 0 6693 9225 6413 0 0 17261 2212 11152 9807 1345 1680 23 1657 0 2217 0 12643 0 2668 175 8016 8947 -931 105625 1647 885 39457 0 9870 7051 960 2249 3842 19996 2540 2883 128 60625 1290 4163 59042 -3870 4324
"196701" 66858 0 6001 9130 6852 0 0 17879 2228 11507 10168 1339 1764 52 1712 0 2380 0 16002 0 2950 200 7844 9157 -1313 106750 671 951 40883 0 10159 6946 888 2205 3853 21150 2628 2946 296 61003 1223 3722 60425 -4367 4875
"196702" 71958 0 5655 9121 7233 0 0 18260 2234 11537 10259 1278 1848 48 1800 0 2641 0 19156 0 3216 245 9072 9377 -305 108628 1105 843 41645 0 10396 6595 891 2040 3664 21626 3028 3114 264 61657 1264 3849 61317 -4773 4919
"196703" 78585 0 6845 9447 7437 0 0 18991 2155 12022 10780 1242 1932 56 1876 0 2882 0 23588 0 3325 270 8682 9520 -838 110911 1572 827 42545 0 10785 6728 970 2032 3726 22103 2929 3064 365 62538 1333 3809 62556 -5160 5227
"196704" 82510 0 7259 9787 7679 0 0 20037 2247 13239 12029 1210 2016 62 1954 0 2535 0 25511 0 3332 311 8594 9708 -1114 114619 2765 1055 43340 0 11086 6695 975 1847 3873 22546 3013 3398 298 63763 1373 3953 65610 -7173 5238
"196801" 82866 0 8100 9801 7374 0 0 19877 2362 12334 11102 1232 2100 93 2007 0 3081 0 24631 0 3517 351 9215 10065 -850 117143 3223 1357 44239 0 11389 6490 927 1821 3742 23369 2991 3386 269 64669 1422 3823 66795 -7371 4938
"196802" 88417 0 9439 9824 7061 0 0 19346 2475 11020 9702 1318 2184 93 2091 0 3667 0 28212 0 3931 454 10150 10212 -62 120023 3382 1749 44615 0 11449 6417 856 1892 3669 23953 2796 3533 372 66372 1466 3925 68156 -7175 5750
"196803" 91820 0 10524 10175 7230 0 0 20723 2527 11596 10286 1310 2268 91 2177 0 4332 0 28883 0 4156 468 9661 10352 -691 123129 3879 1832 45310 0 11683 6422 818 2006 3598 24460 2745 3567 398 68143 1483 3924 69837 -7101 6104
"196804" 94457 0 9404 10637 7409 0 0 22606 2826 12577 11231 1346 2352 91 2261 0 4851 0 29517 0 4789 636 9459 10468 -1009 126167 4818 1587 46066 0 12170 6296 774 1907 3615 24746 2854 3797 508 69391 1510 3890 73669 -9678 6452
"196901" 97133 0 13199 10605 7188 0 0 21976 2871 11182 9961 1221 2436 79 2357 0 5487 0 28598 0 4793 553 10221 10790 -569 128103 4922 1856 46872 0 12487 6182 760 1949 3473 25426 2777 3897 393 70163 1531 3660 75296 -10324 6516
