"DATES" "FL144090005.Q" "FL103091003.Q" "FL143020005.Q" "FL143030005.Q" "FL123034005.Q" "FL102050003.Q" "FL124004005.Q" "FL103069100.Q" "FL143061105.Q" "FL103061703.Q" "FL143062005.Q" "FL123065005.Q" "FL123066005.Q" "FL103064203.Q" "FL143070005.Q" "FL143090005.Q" "FL144190005.Q" "FL144104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL143168005.Q" "FL143169005.Q" "FL143165005.Q" "FL143170005.Q" "FL143178005.Q" "FL143190005.Q"
"197103" 459479 1239 59851 11865 0 1063 43123 10510 7071 902 2925 1795 19920 677 210501 131160 758193 552463 7434 53 181204 130556 45297 187919 167568 12805 25356
"197104" 477742 1234 61747 12509 0 1077 48458 11275 9957 911 3175 2114 21026 690 211924 140103 782071 564713 6247 86 185563 132783 44892 195142 177024 14123 26212
"197201" 491222 1421 59480 15140 0 2565 46623 12388 8157 823 3425 2412 19418 701 218854 146438 797433 578269 7538 126 188338 133619 46928 201721 176082 15798 27284
"197202" 503046 1626 59555 16124 0 3111 46563 13219 6200 808 3675 2649 20012 711 224373 150983 819751 599119 8126 293 192150 138598 48053 211900 179404 14020 27208
"197203" 517466 1820 62548 15141 0 2103 47615 13513 5878 975 3925 2996 20328 721 232379 155139 844155 612056 7761 466 195187 140319 47736 220586 188589 15950 27560
"197204" 556170 2172 64395 16490 0 2688 52281 14235 7981 1036 4175 3226 21628 732 238977 178435 883300 635683 6968 634 197750 148426 50093 231813 201344 18010 28262
"197301" 577167 2722 61645 20589 0 6514 49611 13258 7080 1097 4425 3434 20317 743 249610 185733 915592 659113 5871 955 199202 160298 53425 239362 205791 20487 30201
"197302" 597919 3005 62786 23290 0 6345 50615 13437 5920 1256 5050 3599 21353 754 261126 189998 959001 688058 6032 1490 202249 170726 56016 251545 220366 18982 31595
"197303" 617662 2729 65587 23084 0 9501 48058 13633 3099 1659 4675 3642 21350 765 274447 193491 996232 709957 6335 1979 204906 177137 57203 262397 232290 21164 32821
"197304" 647312 3329 70352 22836 0 11262 50816 14876 3665 2035 4038 3609 22593 775 280403 207539 1040896 729502 8382 2430 206909 182862 59252 269667 252809 23290 35295
"197401" 662891 3729 66731 25526 0 12472 50285 16212 2167 2330 4569 3751 21256 785 294469 208894 1071273 750882 9235 2841 210614 189865 61974 276354 254957 26744 38689
"197402" 679519 3529 67311 26384 0 10046 51377 15131 2706 2607 4558 3877 22498 794 311006 209072 1115666 782475 9967 3265 216000 203503 64283 285457 267319 26144 39728
"197403" 698133 3129 70007 26591 0 8630 54606 16933 3207 3080 4593 4035 22758 804 319106 215260 1154228 802163 12569 3596 220192 208150 67262 290394 277278 30652 44135
