"DATES" "FL404090005.Q" "FL403020005.Q" "FL403030005.Q" "FL402050005.Q" "FL404004005.Q" "FL403069105.Q" "FL403061105.Q" "FL403061705.Q" "FL403062005.Q" "FL403063005.Q" "FL403069305.Q" "FL403069385.Q" "FL403069345.Q" "FL403069330.Q" "FL403065005.Q" "FL403065105.Q" "FL403065405.Q" "FL403065605.Q" "FL403066005.Q" "FL403093005.Q" "FL404190005.Q" "FL404104005.Q" "FL403161705.Q" "FL403169283.Q" "FL403190005.Q"
"196801" 24970 125 0 2 24458 0 2850 169 0 0 9481 0 5212 4269 11958 6154 11 5793 0 385 24079 19524 19462 62 4555
"196802" 26593 148 0 10 26059 0 2998 182 0 0 10283 0 5394 4889 12596 6612 11 5973 0 376 25730 20912 20856 56 4818
"196803" 26519 151 0 8 26021 0 2585 182 0 0 10346 0 5320 5026 12908 6830 14 6064 0 339 25682 21305 21011 294 4377
"196804" 27116 181 0 12 26518 0 2550 185 0 0 10490 0 5231 5259 13293 7151 16 6126 0 405 26244 21862 21579 283 4382
"196901" 28046 194 0 46 27388 0 2275 192 0 0 10915 0 5584 5331 14006 7671 18 6317 0 418 27137 22728 22728 0 4409
"196902" 30453 216 0 90 29621 0 2334 193 0 0 12362 0 5949 6413 14732 8155 20 6557 0 526 29572 25059 25059 0 4513
"196903" 32893 394 0 122 31764 0 1725 183 0 0 13854 0 5914 7940 16002 9298 28 6676 0 613 32108 27756 27756 0 4352
"196904" 36291 230 0 193 35107 0 1964 183 0 0 15296 0 6007 9289 17664 10919 31 6714 0 761 35390 30645 30645 0 4745
"197001" 40192 160 0 200 38999 0 3256 182 0 0 16229 0 6484 9745 19332 12446 53 6833 0 833 39035 34278 34278 0 4757
"197002" 42196 173 0 487 40616 0 2701 180 0 0 17082 0 6846 10236 20653 13508 150 6995 0 920 41055 35822 35822 0 5233
"197003" 43921 180 0 902 42009 0 2212 187 0 0 17380 0 6855 10525 22230 14883 246 7101 0 830 42759 37415 37415 0 5344
"197004" 46599 193 0 966 43912 0 3059 188 0 0 17619 0 7004 10615 23046 15538 321 7187 0 1528 45404 38879 38879 0 6525
"197101" 46635 206 0 239 44705 0 4197 198 0 0 17223 0 7533 9690 23087 15305 435 7347 0 1485 45408 37848 37848 0 7560
"197102" 44367 188 0 293 42250 0 3424 208 0 0 15191 0 7950 7241 23427 15263 585 7579 0 1636 43123 36924 36924 0 6199
