,Mom
1972Q4,-0.029534846160000017
1973Q1,0.03404044520000005
1973Q2,0.12570209435000002
1973Q3,-0.012193888609000059
1973Q4,0.028925865404000106
1974Q1,0.09293529910399978
1974Q2,0.014132457799999942
1974Q3,0.050839701600000176
1974Q4,0.06829260098399992
1975Q1,-0.09278327279999998
1975Q2,-0.011678277094000156
1975Q3,-0.0028187521119998893
1975Q4,0.00018833407999996332
1976Q1,0.03744301850000009
1976Q2,0.011340204308000201
1976Q3,-0.016530340619999917
1976Q4,-0.01009059292000003
1977Q1,0.07765194733000014
1977Q2,0.052551468727999984
1977Q3,0.0403600020799999
1977Q4,0.0031524707599999147
1978Q1,0.03162194649200001
1978Q2,0.0394526825799999
1978Q3,0.10052777551400016
1978Q4,-0.08691076799999997
1979Q1,0.07070721156500004
