DATES,FL664090005.Q,FL663020003.Q,FL664004005.Q,FL663069103.Q,FL663061105.Q,FL663061703.Q,FL663062003.Q,FL663063005.Q,FL663069803.Q,FL663064003.Q,FL663067003.Q,FL663090005.Q,FL664190005.Q,FL662150005.Q,FL664104005.Q,FL663163003.Q,FL663168005.Q,FL663170003.Q,FL663167005.Q,FL663167003.Q,FL763067005.Q,FL663178003.Q,FL663190005.Q,FL663192003.Q,FL663194005.Q,FL663193005.Q,tot_asset,tot_liabilities,Leverage,LevFac,LogLev,Z-LevFac,Z-LogLev,No Seasonal-Adj LevFac,No Seasonal-Adj LogLev
1976Q2,25430,1011,8972,3492,2571,0,1262,1647,0,1328,11223,2896,21755,-2571,0,0,0,990,20055,5438,14617,199,3082,629,0,2453,25430,21755,6.919727891156462,0.08216220354645037,1.9343764467692282,0.38303800468958493,-1.2691521841727058,0.3193715111688752,-1.2691521841727058
1976Q3,29444,964,12754,4287,5143,0,1368,1956,0,1292,11645,2789,25838,1392,0,0,0,1010,20345,5557,14788,185,2906,672,0,2234,29444,25838,8.165280088740987,0.24344494333512445,2.099891029415334,1.5787480551587658,-1.014857427391954,1.1839396335610044,-1.014857427391954
1976Q4,34141,1018,16584,7217,5604,0,1672,2091,0,1542,12510,2487,30435,-626,0,0,0,1030,27386,5730,21656,208,2437,760,0,1677,34141,30435,9.212358337830546,0.028111547276647775,2.2205458802282205,-0.017680094599527716,-0.8294846617336965,0.8783793907870997,-0.8294846617336965
1977Q1,27720,1082,8715,3610,1624,0,1590,1891,0,1405,12936,3582,24144,-4942,0,0,0,1050,24840,5907,18933,153,3043,815,0,2228,27720,24144,7.751677852348993,0.0035263341723534014,2.0479093170104345,-0.19994873934260116,-1.0947215499467282,-1.1193631728086537,-1.0947215499467282
1977Q2,30344,1130,10183,3810,1990,0,2129,2254,0,1579,14024,3428,26710,-3730,0,0,0,1070,25492,6177,19315,129,3749,875,0,2874,30344,26710,8.350027517886627,0.10885994616752498,2.1222648344126185,0.5809684169499802,-0.980482563201229,0.5630133602936254,-0.980482563201229
1977Q3,27744,1077,7849,3336,148,0,2213,2152,0,1581,13981,3256,24154,-7562,0,0,0,1090,27069,5190,21879,121,3436,935,0,2501,27744,24154,7.728133704735376,0.0004919301917021418,2.044867398097944,-0.22244505445730256,-1.099395120200369,-0.4706457251368121,-1.099395120200369
1977Q4,29952,1036,11274,6670,350,0,2104,2150,0,1840,14527,1275,26566,-5984,0,0,0,1100,29631,5739,23892,119,1700,979,0,721,29952,26566,8.845835794447726,0.03926410610774361,2.179946816584238,0.06500219800204282,-0.8918606098212873,0.9766317480812022,-0.8918606098212873
1978Q1,31958,1120,9026,6081,-947,0,1714,2178,0,1673,16401,3738,28393,-3902,0,0,0,1120,27617,7567,20050,96,3462,988,0,2474,31958,28393,8.96437587657784,0.17594066996706448,2.1932584868509375,1.0782881905658868,-0.8714087082504531,0.14721567296195046,-0.8714087082504531
1978Q2,33843,1102,8350,5383,-884,0,1972,1879,0,2024,18950,3417,30155,-5830,0,0,0,1140,30838,8938,21900,157,3850,1000,0,2850,33843,30155,9.176518438177874,0.05375854668873856,2.2166478775965457,0.17246036929385436,-0.8354735094551804,0.21585965700517704,-0.8354735094551804
1978Q3,35165,1299,6745,4166,-902,0,1585,1896,0,2282,20731,4108,31251,-6247,0,0,0,1160,31551,10349,21202,235,4552,1001,0,3551,35165,31251,8.984414920797139,0.05268054043193336,2.1954914007860973,0.1644682994826671,-0.867978084211314,-0.08756271198284503,-0.867978084211314
1978Q4,32520,1225,7564,5804,-1605,0,1877,1488,0,1918,17145,4668,28641,-7271,0,0,0,1190,29546,8521,21025,187,4989,985,0,4004,32520,28641,8.383604021655065,-0.15324104430409172,2.12627789622178,-1.362183026009616,-0.9743169398441088,-0.4149012061597194,-0.9743169398441088
1979Q1,31805,1374,7847,4960,-444,0,1755,1576,0,2092,16326,4166,27728,-5585,0,0,0,1240,27699,7887,19812,186,4188,905,0,3283,31805,27728,7.801079224920285,0.0845723104540875,2.0542620862936514,0.40090593684365716,-1.0849612261496766,-0.43398899541526387,-1.0849612261496766
1979Q2,41634,1526,13996,8025,1998,0,1904,2069,0,2237,18958,4917,37417,-2090,0,0,0,1270,33294,10725,22569,185,4758,989,0,3769,41634,37417,9.872895423286696,0.24817355362848814,2.289793166381044,1.613804793777761,-0.7230939044454977,1.660854164300467,-0.7230939044454977
1979Q3,40157,1936,10125,7861,-1551,0,1888,1927,0,2487,20249,5360,35841,-4368,0,0,0,1300,33093,11463,21630,206,5610,1073,0,4537,40157,35841,9.30421686746988,0.013544136539201973,2.230467724002093,-0.1256792484513263,-0.8142408517384879,-0.34754907188577827,-0.8142408517384879
